,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
130,2017,North East,Q,   1,*,195,*
131,2017,North East,Q,   2-4,2,550,*
132,2017,North East,Q,   5-9,2,310,*
133,2017,North East,Q,   10-19,6,385,307
134,2017,North East,Q,   20-49,10,305,506
135,2017,North East,Q,   50-99,6,90,278
136,2017,North East,Q,   100-199,5,40,*
137,2017,North East,Q,   200-249,*,0,*
138,2017,North East,Q,   250-499,3,10,80
139,2017,North East,Q,   500 or more,47,15,1223
140,2017,North East,R,   1,0,75,8
141,2017,North East,R,   2-4,1,310,*
142,2017,North East,R,   5-9,1,125,*
143,2017,North East,R,   10-19,*,80,*
144,2017,North East,R,   20-49,2,60,*
145,2017,North East,R,   50-99,1,10,*
146,2017,North East,R,   100-199,1,10,*
147,2017,North East,R,   200-249,*,5,*
148,2017,North East,R,   250-499,*,5,*
149,2017,North East,R,   500 or more,6,5,*
150,2017,North East,S,   1,*,540,*
151,2017,North East,S,   2-4,5,1465,163
152,2017,North East,S,   5-9,3,460,*
153,2017,North East,S,   10-19,2,120,*
154,2017,North East,S,   20-49,1,30,41
155,2017,North East,S,   50-99,*,5,*
156,2017,North East,S,   100-199,*,0,*
157,2017,North East,S,   200-249,*,0,*
158,2017,North East,S,   250-499,0,0,0
159,2017,North East,S,   500 or more,0,0,0
160,2017,North West,A,   1,5,1840,378
161,2017,North West,A,   2-4,8,1960,737
162,2017,North West,A,   5-9,4,490,421
163,2017,North West,A,   10-19,2,155,245
164,2017,North West,A,   20-49,2,60,166
165,2017,North West,A,   50-99,1,15,*
166,2017,North West,A,   100-199,*,5,64
167,2017,North West,A,   200-249,*,0,*
168,2017,North West,A,   250-499,*,0,*
169,2017,North West,A,   500 or more,*,0,*
170,2017,North West,B,   1,*,20,3
171,2017,North West,B,   2-4,1,325,282
172,2017,North West,B,   5-9,1,190,339
173,2017,North West,B,   10-19,2,135,276
174,2017,North West,B,   20-49,2,80,333
175,2017,North West,B,   50-99,2,30,326
176,2017,North West,B,   100-199,*,10,369
177,2017,North West,B,   200-249,1,5,79
178,2017,North West,B,   250-499,2,5,1714
179,2017,North West,B,   500 or more,4,5,1551
180,2017,North West,C,   1,1,605,88
181,2017,North West,C,   2-4,10,3625,1053
182,2017,North West,C,   5-9,14,2090,1247
183,2017,North West,C,   10-19,21,1495,2021
184,2017,North West,C,   20-49,35,1105,4258
185,2017,North West,C,   50-99,33,475,5757
186,2017,North West,C,   100-199,30,215,5530
187,2017,North West,C,   200-249,12,55,1928
188,2017,North West,C,   250-499,28,85,6040
189,2017,North West,C,   500 or more,97,65,32795
190,2017,North West,F,   1,4,1965,352
191,2017,North West,F,   2-4,23,8665,3193
192,2017,North West,F,   5-9,17,2510,2469
193,2017,North West,F,   10-19,16,1160,2141
