,Region,Year,Gross value added (Balanced) at current basic prices,Value Added Tax (VAT) on products,Other taxes on products,Subsidies on products,Gross domestic product (GDP) at current market prices,Total resident population numbers,Gross domestic product (GDP) per head at current market prices,Whole economy gross value added (GVA) implied deflators,"Gross domestic product (GDP) chained volume measures (CVM) index, 2019 equals 100",Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head","Gross domestic product (GDP) chained volume measures (CVM) annual growth rates, percentage","Gross domestic product (GDP) chained volume measures (CVM) per head annual growth rates, percentage"
258,Northern Ireland,2005,28755,2403,1732,158,32733,1727733,18946,74.0,88.4,44235,25603,3.6,2.8
259,Northern Ireland,2006,30496,2583,1830,186,34723,1743113,19920,76.2,91.0,45548,26130,3.0,2.1
260,Northern Ireland,2007,31577,2789,1963,175,36154,1761683,20522,79.4,91.0,45536,25848,0.0,-1.1
261,Northern Ireland,2008,31942,2813,1901,148,36508,1779152,20520,82.7,88.2,44163,24822,-3.0,-4.0
262,Northern Ireland,2009,31366,2469,1972,170,35636,1793333,19871,85.1,83.6,41851,23337,-5.2,-6.0
263,Northern Ireland,2010,31020,2932,2061,172,35841,1804833,19859,85.3,83.9,42000,23271,0.4,-0.3
264,Northern Ireland,2011,31656,3437,2105,136,37062,1814318,20428,85.5,86.6,43326,23880,3.2,2.6
265,Northern Ireland,2012,32973,3511,2131,146,38469,1824603,21084,87.3,88.0,44061,24148,1.7,1.1
266,Northern Ireland,2013,34040,3616,2169,145,39679,1831677,21663,88.9,89.1,44624,24362,1.3,0.9
267,Northern Ireland,2014,35117,3735,2208,155,40904,1843186,22192,89.8,91.0,45531,24702,2.0,1.4
268,Northern Ireland,2015,36403,3937,2233,187,42385,1854943,22850,92.1,91.9,46017,24808,1.1,0.4
269,Northern Ireland,2016,38590,4009,2353,202,44750,1866042,23981,93.6,95.5,47826,25629,3.9,3.3
270,Northern Ireland,2017,40166,4106,2447,238,46481,1875178,24787,95.5,97.2,48681,25961,1.8,1.3
271,Northern Ireland,2018,41406,4143,2392,289,47652,1886259,25263,97.6,97.5,48811,25877,0.3,-0.3
272,Northern Ireland,2019,43816,4194,2365,318,50057,1898519,26367,100.0,100.0,50057,26367,2.6,1.9
273,Northern Ireland,2020,42110,3817,2110,517,47519,1900523,25003,108.2,87.7,43922,23111,-12.3,-12.3
274,Northern Ireland,2021,46193,4440,2266,510,52389,1904564,27507,106.7,98.1,49102,25781,11.8,11.6
275,Northern Ireland,2022,49901,5099,2322,628,56694,1910543,29674,112.1,101.1,50591,26480,3.0,2.7
