,Region,Year,Table A.1a  Total identifiable expenditure on services,"Table A.1b  Total UK identifiable expenditure on services, per head ",Table A.2a  Real terms (1): Total identifiable expenditure on services,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.3a  Total current and capital identifiable expenditure,"Table A.3b  Total current and capital UK identifiable expenditure, per head",Table A.4a  Real terms (1): Total current and capital identifiable expenditure,"Table A.4b  Real terms (1): Total current and capital UK identifiable expenditure, per head (2)",Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1),Table A.20  UK identifiable expenditure excluding local government (1) per head (2),"Table A.21  Identifiable expenditure on services for Scotland, Wales and Northern Ireland in 2022-23"
74,Outside UK,2022,25137,,25137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25137.0,,
75,Total identifiable expenditure,2018,666644,,761452.0,,666644.0,,761452.0,,18136.0,7616.0,10520.0,-,736,30593.0,58891.0,12606.0,5614.0,2679.0,5733.0,32258.0,10777.0,12149.0,152917.0,7705.0,88051.0,274461.0,,,,,,,
76,Total identifiable expenditure,2019,691545,,771676.0,,691545.0,,771676.0,,19113.0,8854.0,10259.0,-,529,32564.0,64445.0,16832.0,5959.0,2237.0,5803.0,33614.0,11491.0,14212.0,164140.0,8076.0,90622.0,275467.0,,,,,,,
77,Total identifiable expenditure,2020,919888,,973467.0,,919888.0,,973467.0,,21197.0,11477.0,9720.0,-,621,35253.0,203896.0,139404.0,6597.0,2603.0,6317.0,48975.0,12420.0,13687.0,218567.0,9527.0,95526.0,298800.0,,,,,,,
78,Total identifiable expenditure,2021,817017,,871560.0,,817017.0,,871560.0,,25969.0,19327.0,6642.0,-,633,36789.0,99618.0,38554.0,6576.0,4205.0,6021.0,44262.0,13404.0,15219.0,216237.0,9243.0,100129.0,299473.0,,,,,,,
79,Total identifiable expenditure,2022,873293,,873293.0,,873293.0,,873293.0,,25876.0,19869.0,6007.0,-,2717,39348.0,124525.0,62867.0,7161.0,3802.0,6765.0,43930.0,13473.0,17466.0,209456.0,9495.0,106835.0,324495.0,,,,,,,
80,Identifiable expenditure,2018,666644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Identifiable expenditure,2019,691545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Identifiable expenditure,2020,919888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Identifiable expenditure,2021,817017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Identifiable expenditure,2022,873293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Non-identifiable expenditure,2018,106521,,121670.0,,106521.0,,121670.0,,63357.0,5104.0,1347.0,56906,39502,1820.0,1904.0,1460.0,,,,,,,,,,350.0,,,850.0,,105671.0,,
86,Non-identifiable expenditure,2019,107667,,120142.0,,107667.0,,120142.0,,61819.0,5544.0,1444.0,54830,41717,1961.0,2123.0,1316.0,,,,,,,,,,335.0,,,667.0,,107000.0,,
87,Non-identifiable expenditure,2020,101153,,107044.0,,101153.0,,107044.0,,50485.0,6617.0,1497.0,42371,43961,3637.0,2183.0,1771.0,,,,,,,,,,516.0,,,772.0,,100381.0,,
88,Non-identifiable expenditure,2021,141383,,150822.0,,141383.0,,150822.0,,84723.0,8470.0,1719.0,74534,48033,2980.0,3340.0,2918.0,,,,,,,,,,589.0,,,877.0,,140506.0,,
89,Non-identifiable expenditure,2022,203850,,203850.0,,203850.0,,203850.0,,139928.0,7153.0,2471.0,130303,52825,4847.0,2269.0,1800.0,,,,,,,,,,656.0,,,745.0,,203105.0,,
90,Public sector expenditure on services,2018,773165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Public sector expenditure on services,2019,799212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Public sector expenditure on services,2020,1021041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Public sector expenditure on services,2021,958401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Public sector expenditure on services,2022,1077142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Accounting adjustments,2018,84693,,96738.0,,84693.0,,96738.0,,,,,,,,,,,,,,,,,,,,,,26671.0,,58022.0,,
96,Accounting adjustments,2019,88873,,99171.0,,88873.0,,99171.0,,,,,,,,,,,,,,,,,,,,,,31166.0,,57708.0,,
97,Accounting adjustments,2020,85863,,90864.0,,85863.0,,90864.0,,,,,,,,,,,,,,,,,,,,,,48981.0,,36882.0,,
98,Accounting adjustments,2021,86310,,92072.0,,86310.0,,92072.0,,,,,,,,,,,,,,,,,,,,,,36006.0,,50304.0,,
99,Accounting adjustments,2022,74283,,74283.0,,74283.0,,74283.0,,,,,,,,,,,,,,,,,,,,,,34087.0,,40195.0,,
100,Total Managed Expenditure,2018,857858,,979860.0,,857858.0,,979860.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Total Managed Expenditure,2019,888085,,990989.0,,888085.0,,990989.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Total Managed Expenditure,2020,1106904,,1171375.0,,1106904.0,,1171375.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Total Managed Expenditure,2021,1044711,,1114454.0,,1044711.0,,1114454.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Total Managed Expenditure,2022,1151425,,1151425.0,,1151425.0,,1151425.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,North East,2017,25720,9725.0,28447.0,10756.0,25720.0,9725.0,28447.0,10756.0,237.0,235.0,2.0,-,2,1236.0,1556.0,285.0,193.0,172.0,192.0,714.0,291.0,415.0,6299.0,263.0,3430.0,11991.0,,,6168.0,2332.0,19552.0,7393.0,
106,North West,2017,70996,9781.0,78521.0,10818.0,70996.0,9781.0,78521.0,10818.0,616.0,610.0,6.0,-,5,3277.0,5233.0,667.0,416.0,316.0,343.0,3491.0,,780.0,17145.0,761.0,8961.0,31032.0,,,18295.0,2521.0,52700.0,7260.0,
107,Yorkshire and The Humber,2017,48496,8898.0,53636.0,9841.0,48496.0,8898.0,53636.0,9841.0,329.0,324.0,5.0,-,2,2378.0,3010.0,409.0,261.0,276.0,425.0,1639.0,665.0,885.0,11614.0,583.0,7103.0,21926.0,,,11421.0,2096.0,37075.0,6803.0,
108,East Midlands,2017,39766,8334.0,43981.0,9217.0,39766.0,8334.0,43981.0,9217.0,433.0,429.0,4.0,-,3,1837.0,2449.0,609.0,204.0,188.0,367.0,1082.0,470.0,516.0,9286.0,417.0,5867.0,18486.0,,,8873.0,1860.0,30892.0,6474.0,
109,West Midlands,2017,52291,8922.0,57833.0,9868.0,52291.0,8922.0,57833.0,9868.0,568.0,563.0,5.0,-,3,2347.0,3552.0,546.0,442.0,299.0,264.0,2002.0,568.0,682.0,12826.0,487.0,7592.0,23665.0,,,11919.0,2034.0,40372.0,6889.0,
110,East,2017,51537,8355.0,57000.0,9241.0,51537.0,8355.0,57000.0,9241.0,563.0,557.0,5.0,-,5,2241.0,4148.0,636.0,457.0,159.0,458.0,2439.0,900.0,622.0,12166.0,504.0,7544.0,22845.0,,,11993.0,1944.0,39544.0,6411.0,
111,London,2017,90933,10304.0,100572.0,11396.0,90933.0,10304.0,100572.0,11396.0,828.0,820.0,8.0,-,6,6045.0,10852.0,1466.0,632.0,390.0,91.0,8274.0,1047.0,2639.0,23650.0,1299.0,12893.0,31675.0,,,29293.0,3319.0,61640.0,6985.0,
112,South East,2017,75332,8296.0,83317.0,9175.0,75332.0,8296.0,83317.0,9175.0,904.0,896.0,8.0,-,7,3126.0,6558.0,1785.0,899.0,218.0,431.0,3225.0,1288.0,1027.0,17844.0,826.0,10918.0,32834.0,,,18967.0,2089.0,56365.0,6207.0,
113,South West,2017,47926,8621.0,53006.0,9535.0,47926.0,8621.0,53006.0,9535.0,484.0,479.0,5.0,-,3,1945.0,3410.0,792.0,286.0,119.0,587.0,1626.0,914.0,526.0,11308.0,491.0,6276.0,22568.0,,,10801.0,1943.0,37125.0,6678.0,
114,Total England,2017,502996,,,,,,,,,,,,,,,,,,,,,,,,,,,,127731.0,2297.0,375265.0,6747.0,
115,Scotland,2017,58637,10809.0,64852.0,11955.0,58637.0,10809.0,64852.0,11955.0,1207.0,1201.0,6.0,-,3,2701.0,6444.0,1383.0,340.0,256.0,909.0,3556.0,1244.0,1847.0,12725.0,1000.0,8493.0,22972.0,,,14527.0,2678.0,44110.0,8131.0,
116,Wales,2017,32406,10369.0,35841.0,11469.0,32406.0,10369.0,35841.0,11469.0,536.0,533.0,3.0,-,3,1359.0,2587.0,558.0,161.0,133.0,499.0,1236.0,618.0,711.0,7217.0,537.0,4280.0,14559.0,,,8398.0,2687.0,24009.0,7682.0,
117,Northern Ireland,2017,20820,11129.0,23026.0,12308.0,20820.0,11129.0,23026.0,12308.0,374.0,372.0,2.0,-,-,1212.0,1540.0,361.0,62.0,81.0,499.0,539.0,264.0,757.0,4311.0,441.0,2700.0,9221.0,,,,,,,
118,UK identifiable expenditure,2017,614859,9310.0,680032.0,10297.0,614859.0,9310.0,680032.0,10297.0,7079.0,7022.0,58.0,-,42,29704.0,51340.0,9496.0,4352.0,2606.0,5064.0,29823.0,11453.0,11406.0,146391.0,7610.0,86057.0,263775.0,,,,,,,
119,Outside UK,2017,26409,,29208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26409.0,,
120,Total identifiable expenditure,2017,641268,,709240.0,,641268.0,,709240.0,,16911.0,7369.0,9542.0,-,843,29704.0,51585.0,9497.0,4358.0,2606.0,5177.0,29948.0,11464.0,11406.0,147338.0,7841.0,86057.0,268629.0,,,,,,,
121,Identifiable expenditure,2017,641268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Non-identifiable expenditure,2017,108742,,120268.0,,108742.0,,120268.0,,67641.0,5130.0,880.0,61631,37827,1765.0,1565.0,1176.0,,,,,,,,,,99.0,,,832.0,,107910.0,,
123,Public sector expenditure on services,2017,750010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Accounting adjustments,2017,89538,,99029.0,,89538.0,,99029.0,,,,,,,,,,,,,,,,,,,,,,25189.0,,64350.0,,
125,Total Managed Expenditure,2017,839548,,928537.0,,839548.0,,928537.0,,,,,,,,,,,,,,,,,,,,,,,,,,
