,Region,Year,Table A.1a  Total identifiable expenditure on services,"Table A.1b  Total UK identifiable expenditure on services, per head ",Table A.2a  Real terms (1): Total identifiable expenditure on services,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.3a  Total current and capital identifiable expenditure,"Table A.3b  Total current and capital UK identifiable expenditure, per head",Table A.4a  Real terms (1): Total current and capital identifiable expenditure,"Table A.4b  Real terms (1): Total current and capital UK identifiable expenditure, per head (2)",Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1),Table A.20  UK identifiable expenditure excluding local government (1) per head (2),"Table A.21  Identifiable expenditure on services for Scotland, Wales and Northern Ireland in 2022-23"
26,East,2019,56815,9055.0,63399.0,10105.0,56815.0,9055.0,63399.0,10105.0,695.0,689.0,6.0,-,5,2499.0,6054.0,1831.0,607.0,160.0,556.0,2899.0,1002.0,991.0,13538.0,534.0,8043.0,23454.0,,,12358.0,1970.0,44457.0,7086.0,
27,East,2020,78191,12416.0,82746.0,13139.0,78191.0,12416.0,82746.0,13139.0,1103.0,1098.0,5.0,-,19,2712.0,19474.0,13768.0,603.0,197.0,603.0,4304.0,1072.0,927.0,18494.0,613.0,8339.0,25439.0,,,13083.0,2077.0,65108.0,10338.0,
28,East,2021,67699,10662.0,72218.0,11374.0,67699.0,10662.0,72218.0,11374.0,865.0,859.0,6.0,-,5,2813.0,8880.0,3794.0,467.0,316.0,518.0,3785.0,1160.0,951.0,18150.0,584.0,8832.0,25459.0,,,12860.0,2025.0,54839.0,8637.0,
29,East,2022,72359,11309.0,72359.0,11309.0,72359.0,11309.0,72359.0,11309.0,811.0,805.0,5.0,-,4,3038.0,10907.0,5912.0,725.0,287.0,596.0,3385.0,1114.0,1122.0,17507.0,585.0,9648.0,27625.0,,,13350.0,2086.0,59009.0,9222.0,
30,London,2018,93127,10543.0,106371.0,12042.0,93127.0,10543.0,106371.0,12042.0,678.0,670.0,8.0,-,6,6175.0,11798.0,2256.0,1069.0,396.0,116.0,7961.0,1128.0,2418.0,24569.0,1106.0,13230.0,32019.0,,,28665.0,3245.0,64463.0,7298.0,
31,London,2019,98297,11057.0,109687.0,12339.0,98297.0,11057.0,109687.0,12339.0,1006.0,998.0,8.0,-,12,6606.0,12615.0,3531.0,1075.0,369.0,151.0,7489.0,1152.0,3096.0,26521.0,1271.0,13258.0,32760.0,,,28945.0,3256.0,69352.0,7801.0,
32,London,2020,138051,15569.0,146092.0,16476.0,138051.0,15569.0,146092.0,16476.0,1357.0,1350.0,7.0,-,17,7086.0,38368.0,23928.0,1239.0,487.0,205.0,12509.0,1319.0,2867.0,34186.0,1714.0,13793.0,37344.0,,,32501.0,3665.0,105550.0,11904.0,
33,London,2021,120707,13709.0,128766.0,14625.0,120707.0,13709.0,128766.0,14625.0,1501.0,1493.0,8.0,-,22,7393.0,20808.0,7763.0,1136.0,797.0,192.0,10921.0,1397.0,3744.0,33471.0,1328.0,14282.0,36759.0,,,31350.0,3561.0,89358.0,10149.0,
34,London,2022,128438,14486.0,128438.0,14486.0,128438.0,14486.0,128438.0,14486.0,1213.0,1205.0,8.0,-,17,7666.0,23809.0,10213.0,1316.0,719.0,285.0,11276.0,1585.0,4692.0,33041.0,1344.0,15353.0,39718.0,,,32965.0,3718.0,95473.0,10768.0,
35,South East,2018,79136,8649.0,90391.0,9878.0,79136.0,8649.0,90391.0,9878.0,1094.0,1085.0,9.0,-,7,3278.0,8403.0,2530.0,1012.0,214.0,559.0,4087.0,1090.0,1109.0,18517.0,796.0,11282.0,33561.0,,,19589.0,2141.0,59547.0,6508.0,
