,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
4449,2015,East Midlands,P,   500 or more,*,5,*
4450,2015,East Midlands,Q,   1,1,370,54
4451,2015,East Midlands,Q,   2-4,4,1290,202
4452,2015,East Midlands,Q,   5-9,6,785,302
4453,2015,East Midlands,Q,   10-19,13,855,648
4454,2015,East Midlands,Q,   20-49,24,765,1214
4455,2015,East Midlands,Q,   50-99,13,195,578
4456,2015,East Midlands,Q,   100-199,9,65,446
4457,2015,East Midlands,Q,   200-249,3,15,146
4458,2015,East Midlands,Q,   250-499,8,25,196
4459,2015,East Midlands,Q,   500 or more,36,20,972
4460,2015,East Midlands,R,   1,*,130,*
4461,2015,East Midlands,R,   2-4,*,690,*
4462,2015,East Midlands,R,   5-9,*,285,111
4463,2015,East Midlands,R,   10-19,3,185,*
4464,2015,East Midlands,R,   20-49,3,110,*
4465,2015,East Midlands,R,   50-99,*,30,111
4466,2015,East Midlands,R,   100-199,*,20,90
4467,2015,East Midlands,R,   200-249,*,0,*
4468,2015,East Midlands,R,   250-499,*,5,*
4469,2015,East Midlands,R,   500 or more,*,5,*
4470,2015,East Midlands,S,   1,2,895,*
4471,2015,East Midlands,S,   2-4,8,2470,332
4472,2015,East Midlands,S,   5-9,6,910,263
4473,2015,East Midlands,S,   10-19,4,330,255
4474,2015,East Midlands,S,   20-49,3,100,*
4475,2015,East Midlands,S,   50-99,1,10,*
4476,2015,East Midlands,S,   100-199,*,10,*
4477,2015,East Midlands,S,   200-249,0,0,0
4478,2015,East Midlands,S,   250-499,*,0,*
4479,2015,East Midlands,S,   500 or more,0,0,0
4480,2015,West Midlands,A,   1,5,1785,390
4481,2015,West Midlands,A,   2-4,8,1960,825
4482,2015,West Midlands,A,   5-9,4,590,507
4483,2015,West Midlands,A,   10-19,*,215,255
4484,2015,West Midlands,A,   20-49,*,75,199
4485,2015,West Midlands,A,   50-99,2,30,*
4486,2015,West Midlands,A,   100-199,2,15,151
4487,2015,West Midlands,A,   200-249,*,5,*
4488,2015,West Midlands,A,   250-499,*,10,*
4489,2015,West Midlands,A,   500 or more,*,0,*
4490,2015,West Midlands,B,   1,0,20,3
4491,2015,West Midlands,B,   2-4,1,220,121
4492,2015,West Midlands,B,   5-9,1,160,279
4493,2015,West Midlands,B,   10-19,2,125,225
4494,2015,West Midlands,B,   20-49,*,50,468
4495,2015,West Midlands,B,   50-99,*,15,*
4496,2015,West Midlands,B,   100-199,*,0,*
4497,2015,West Midlands,B,   200-249,*,0,*
4498,2015,West Midlands,B,   250-499,*,5,*
4499,2015,West Midlands,B,   500 or more,*,5,*
4500,2015,West Midlands,C,   1,1,585,77
4501,2015,West Midlands,C,   2-4,11,3640,1089
4502,2015,West Midlands,C,   5-9,15,2175,1292
4503,2015,West Midlands,C,   10-19,22,1620,2576
4504,2015,West Midlands,C,   20-49,40,1300,4294
4505,2015,West Midlands,C,   50-99,33,480,4476
4506,2015,West Midlands,C,   100-199,30,210,4434
4507,2015,West Midlands,C,   200-249,8,35,1840
4508,2015,West Midlands,C,   250-499,36,105,6231
4509,2015,West Midlands,C,   500 or more,100,55,70626
4510,2015,West Midlands,F,   1,4,1710,*
4511,2015,West Midlands,F,   2-4,19,6840,2214
4512,2015,West Midlands,F,   5-9,12,1885,1535
4513,2015,West Midlands,F,   10-19,12,860,1627
4514,2015,West Midlands,F,   20-49,11,350,1619
4515,2015,West Midlands,F,   50-99,7,100,1244
4516,2015,West Midlands,F,   100-199,*,20,432
4517,2015,West Midlands,F,   200-249,*,10,*
4518,2015,West Midlands,F,   250-499,5,15,1099
4519,2015,West Midlands,F,   500 or more,20,10,2291
4520,2015,West Midlands,G,   1,6,2695,581
4521,2015,West Midlands,G,   2-4,33,10515,4503
4522,2015,West Midlands,G,   5-9,34,5030,5129
4523,2015,West Midlands,G,   10-19,31,2305,6142
4524,2015,West Midlands,G,   20-49,30,1015,7133
4525,2015,West Midlands,G,   50-99,21,310,5763
4526,2015,West Midlands,G,   100-199,16,110,5036
4527,2015,West Midlands,G,   200-249,5,20,1610
4528,2015,West Midlands,G,   250-499,16,45,3626
4529,2015,West Midlands,G,   500 or more,178,50,30514
4530,2015,West Midlands,H,   1,*,385,*
4531,2015,West Midlands,H,   2-4,5,1640,451
4532,2015,West Midlands,H,   5-9,4,630,444
4533,2015,West Midlands,H,   10-19,6,415,605
4534,2015,West Midlands,H,   20-49,7,245,830
4535,2015,West Midlands,H,   50-99,5,70,524
4536,2015,West Midlands,H,   100-199,4,25,680
4537,2015,West Midlands,H,   200-249,*,5,*
4538,2015,West Midlands,H,   250-499,4,10,370
4539,2015,West Midlands,H,   500 or more,39,15,4028
4540,2015,West Midlands,I,   1,3,1125,119
4541,2015,West Midlands,I,   2-4,15,4230,641
4542,2015,West Midlands,I,   5-9,17,2375,537
4543,2015,West Midlands,I,   10-19,16,1170,550
4544,2015,West Midlands,I,   20-49,16,555,467
4545,2015,West Midlands,I,   50-99,7,110,244
4546,2015,West Midlands,I,   100-199,4,35,175
4547,2015,West Midlands,I,   200-249,2,10,65
4548,2015,West Midlands,I,   250-499,6,15,608
4549,2015,West Midlands,I,   500 or more,165,25,7245
4550,2015,West Midlands,J,   1,29,12625,2132
4551,2015,West Midlands,J,   2-4,156,52975,15029
4552,2015,West Midlands,J,   5-9,140,20495,13619
4553,2015,West Midlands,J,   10-19,153,11150,16371
4554,2015,West Midlands,J,   20-49,177,5845,20161
4555,2015,West Midlands,J,   50-99,126,1820,16025
4556,2015,West Midlands,J,   100-199,100,710,13621
4557,2015,West Midlands,J,   200-249,34,150,5012
4558,2015,West Midlands,J,   250-499,113,330,15251
4559,2015,West Midlands,J,   500 or more,780,265,165706
4560,2015,West Midlands,K,   1,0,80, ..
4561,2015,West Midlands,K,   2-4,*,740, ..
4562,2015,West Midlands,K,   5-9,2,270, ..
4563,2015,West Midlands,K,   10-19,*,120, ..
4564,2015,West Midlands,K,   20-49,2,55, ..
4565,2015,West Midlands,K,   50-99,2,20, ..
4566,2015,West Midlands,K,   100-199,2,15, ..
4567,2015,West Midlands,K,   200-249,*,0, ..
4568,2015,West Midlands,K,   250-499,*,5, ..
4569,2015,West Midlands,K,   500 or more,*,10, ..
4570,2015,West Midlands,L,   1,1,220,*
4571,2015,West Midlands,L,   2-4,5,1615,558
4572,2015,West Midlands,L,   5-9,4,590,289
4573,2015,West Midlands,L,   10-19,3,225,219
4574,2015,West Midlands,L,   20-49,2,70,200
4575,2015,West Midlands,L,   50-99,2,20,201
4576,2015,West Midlands,L,   100-199,2,10,178
4577,2015,West Midlands,L,   200-249,*,0,*
4578,2015,West Midlands,L,   250-499,*,5,*
4579,2015,West Midlands,L,   500 or more,*,5,*
4580,2015,West Midlands,M,   1,2,1000,128
4581,2015,West Midlands,M,   2-4,21,8050,1613
4582,2015,West Midlands,M,   5-9,13,1910,1130
4583,2015,West Midlands,M,   10-19,14,1005,1071
4584,2015,West Midlands,M,   20-49,13,430,1368
4585,2015,West Midlands,M,   50-99,9,125,664
4586,2015,West Midlands,M,   100-199,7,45,561
4587,2015,West Midlands,M,   200-249,4,15,334
4588,2015,West Midlands,M,   250-499,8,20,623
4589,2015,West Midlands,M,   500 or more,23,15,1656
4590,2015,West Midlands,N,   1,3,1215,297
4591,2015,West Midlands,N,   2-4,12,4075,1363
4592,2015,West Midlands,N,   5-9,9,1375,1127
4593,2015,West Midlands,N,   10-19,11,790,1198
4594,2015,West Midlands,N,   20-49,13,410,1261
4595,2015,West Midlands,N,   50-99,12,170,779
4596,2015,West Midlands,N,   100-199,14,95,630
4597,2015,West Midlands,N,   200-249,4,15,260
4598,2015,West Midlands,N,   250-499,11,35,955
4599,2015,West Midlands,N,   500 or more,153,40,7473
4600,2015,West Midlands,P,   1,0,80,*
4601,2015,West Midlands,P,   2-4,2,745,*
4602,2015,West Midlands,P,   5-9,2,345,*
4603,2015,West Midlands,P,   10-19,3,200,*
4604,2015,West Midlands,P,   20-49,2,85,*
4605,2015,West Midlands,P,   50-99,3,35,*
4606,2015,West Midlands,P,   100-199,3,25,*
4607,2015,West Midlands,P,   200-249,*,5,*
4608,2015,West Midlands,P,   250-499,*,5,*
4609,2015,West Midlands,P,   500 or more,*,5,*
4610,2015,West Midlands,Q,   1,1,405,46
4611,2015,West Midlands,Q,   2-4,5,1575,256
4612,2015,West Midlands,Q,   5-9,9,1110,441
4613,2015,West Midlands,Q,   10-19,17,1150,868
4614,2015,West Midlands,Q,   20-49,26,820,1327
4615,2015,West Midlands,Q,   50-99,14,210,692
4616,2015,West Midlands,Q,   100-199,9,65,356
4617,2015,West Midlands,Q,   200-249,4,20,136
4618,2015,West Midlands,Q,   250-499,9,25,233
4619,2015,West Midlands,Q,   500 or more,30,15,1914
4620,2015,West Midlands,R,   1,*,155,*
4621,2015,West Midlands,R,   2-4,*,780,*
4622,2015,West Midlands,R,   5-9,2,320,*
4623,2015,West Midlands,R,   10-19,3,190,*
4624,2015,West Midlands,R,   20-49,3,105,109
4625,2015,West Midlands,R,   50-99,2,35,*
4626,2015,West Midlands,R,   100-199,*,15,84
4627,2015,West Midlands,R,   200-249,*,5,*
4628,2015,West Midlands,R,   250-499,5,15,221
4629,2015,West Midlands,R,   500 or more,*,5,*
4630,2015,West Midlands,S,   1,2,1075,*
4631,2015,West Midlands,S,   2-4,10,3060,489
4632,2015,West Midlands,S,   5-9,8,1125,348
4633,2015,West Midlands,S,   10-19,6,410,315
4634,2015,West Midlands,S,   20-49,3,110,242
4635,2015,West Midlands,S,   50-99,*,30,199
4636,2015,West Midlands,S,   100-199,*,5,*
4637,2015,West Midlands,S,   200-249,0,0,0
4638,2015,West Midlands,S,   250-499,*,5,*
4639,2015,West Midlands,S,   500 or more,*,5,*
4640,2015,East of England,A,   1,4,1530,*
4641,2015,East of England,A,   2-4,9,2465,958
4642,2015,East of England,A,   5-9,7,985,790
4643,2015,East of England,A,   10-19,5,365,636
4644,2015,East of England,A,   20-49,5,165,718
4645,2015,East of England,A,   50-99,3,50,534
4646,2015,East of England,A,   100-199,2,20,671
4647,2015,East of England,A,   200-249,*,5,*
4648,2015,East of England,A,   250-499,*,5,*
4649,2015,East of England,A,   500 or more,*,5,*
4650,2015,East of England,B,   1,0,20,4
4651,2015,East of England,B,   2-4,1,300,150
4652,2015,East of England,B,   5-9,1,185,*
4653,2015,East of England,B,   10-19,1,90,*
4654,2015,East of England,B,   20-49,2,65,340
4655,2015,East of England,B,   50-99,1,10,121
4656,2015,East of England,B,   100-199,*,5,*
4657,2015,East of England,B,   200-249,*,0,*
4658,2015,East of England,B,   250-499,2,10,1187
4659,2015,East of England,B,   500 or more,*,0,*
4660,2015,East of England,C,   1,1,575,75
4661,2015,East of England,C,   2-4,10,3535,917
4662,2015,East of England,C,   5-9,14,2005,1166
4663,2015,East of England,C,   10-19,18,1300,1805
4664,2015,East of England,C,   20-49,30,960,3374
4665,2015,East of England,C,   50-99,24,345,3243
4666,2015,East of England,C,   100-199,23,165,4543
4667,2015,East of England,C,   200-249,9,40,1386
4668,2015,East of England,C,   250-499,18,50,4987
4669,2015,East of England,C,   500 or more,73,55,36448
4670,2015,East of England,F,   1,*,2410,*
4671,2015,East of England,F,   2-4,28,10695,4152
4672,2015,East of England,F,   5-9,18,2745,2726
4673,2015,East of England,F,   10-19,15,1125,2186
4674,2015,East of England,F,   20-49,15,500,2745
4675,2015,East of England,F,   50-99,8,120,1500
4676,2015,East of England,F,   100-199,7,55,1980
4677,2015,East of England,F,   200-249,*,10,*
4678,2015,East of England,F,   250-499,5,15,1253
4679,2015,East of England,F,   500 or more,36,20,8502
4680,2015,East of England,G,   1,6,2535,546
4681,2015,East of England,G,   2-4,35,11150,5531
4682,2015,East of England,G,   5-9,38,5540,5970
4683,2015,East of England,G,   10-19,35,2560,8614
4684,2015,East of England,G,   20-49,34,1140,8527
4685,2015,East of England,G,   50-99,22,320,6240
4686,2015,East of England,G,   100-199,16,120,6588
4687,2015,East of England,G,   200-249,6,30,2697
4688,2015,East of England,G,   250-499,20,60,5765
4689,2015,East of England,G,   500 or more,418,50,72470
4690,2015,East of England,H,   1,*,420,*
4691,2015,East of England,H,   2-4,5,1875,685
4692,2015,East of England,H,   5-9,5,795,857
4693,2015,East of England,H,   10-19,8,545,1231
4694,2015,East of England,H,   20-49,10,335,1738
4695,2015,East of England,H,   50-99,8,115,1314
4696,2015,East of England,H,   100-199,7,50,1366
4697,2015,East of England,H,   200-249,*,10,*
4698,2015,East of England,H,   250-499,3,10,816
4699,2015,East of England,H,   500 or more,31,20,9743
4700,2015,East of England,I,   1,*,985,106
4701,2015,East of England,I,   2-4,16,4545,657
4702,2015,East of England,I,   5-9,20,2915,702
4703,2015,East of England,I,   10-19,21,1500,625
4704,2015,East of England,I,   20-49,20,685,574
4705,2015,East of England,I,   50-99,9,130,327
4706,2015,East of England,I,   100-199,6,40,223
4707,2015,East of England,I,   200-249,*,5,*
4708,2015,East of England,I,   250-499,8,25,*
4709,2015,East of England,I,   500 or more,156,25,7313
4710,2015,East of England,J,   1,32,14060,2599
4711,2015,East of England,J,   2-4,194,67910,19838
4712,2015,East of England,J,   5-9,170,24865,17890
4713,2015,East of England,J,   10-19,175,12725,20794
4714,2015,East of England,J,   20-49,207,6830,24558
4715,2015,East of England,J,   50-99,136,1980,18618
4716,2015,East of England,J,   100-199,120,865,20141
4717,2015,East of England,J,   200-249,34,155,5396
4718,2015,East of England,J,   250-499,113,330,18795
4719,2015,East of England,J,   500 or more,1136,345,167609
4720,2015,East of England,K,   1,0,110, ..
4721,2015,East of England,K,   2-4,3,1055, ..
4722,2015,East of England,K,   5-9,3,380, ..
4723,2015,East of England,K,   10-19,2,175, ..
4724,2015,East of England,K,   20-49,2,70, ..
4725,2015,East of England,K,   50-99,2,25, ..
4726,2015,East of England,K,   100-199,3,15, ..
4727,2015,East of England,K,   200-249,*,5, ..
4728,2015,East of England,K,   250-499,*,5, ..
4729,2015,East of England,K,   500 or more,34,15, ..
4730,2015,East of England,L,   1,*,255,*
4731,2015,East of England,L,   2-4,6,2245,570
4732,2015,East of England,L,   5-9,5,785,351
4733,2015,East of England,L,   10-19,4,315,266
4734,2015,East of England,L,   20-49,3,100,267
4735,2015,East of England,L,   50-99,*,20,73
4736,2015,East of England,L,   100-199,3,20,315
4737,2015,East of England,L,   200-249,*,0,*
4738,2015,East of England,L,   250-499,4,10,507
4739,2015,East of England,L,   500 or more,21,10,1781
4740,2015,East of England,M,   1,3,1485,180
4741,2015,East of England,M,   2-4,30,11850,2199
4742,2015,East of England,M,   5-9,16,2380,1831
4743,2015,East of England,M,   10-19,16,1205,1520
4744,2015,East of England,M,   20-49,17,560,1583
4745,2015,East of England,M,   50-99,13,185,1287
4746,2015,East of England,M,   100-199,10,75,1009
4747,2015,East of England,M,   200-249,2,10,244
4748,2015,East of England,M,   250-499,9,25,978
4749,2015,East of England,M,   500 or more,44,25,6632
4750,2015,East of England,N,   1,3,1655,389
4751,2015,East of England,N,   2-4,15,5390,1937
4752,2015,East of England,N,   5-9,12,1795,1452
4753,2015,East of England,N,   10-19,14,1000,1692
4754,2015,East of England,N,   20-49,18,595,1612
4755,2015,East of England,N,   50-99,17,245,1900
4756,2015,East of England,N,   100-199,16,120,1440
4757,2015,East of England,N,   200-249,5,20,255
4758,2015,East of England,N,   250-499,17,50,1217
4759,2015,East of England,N,   500 or more,192,70,6814
4760,2015,East of England,P,   1,*,80,*
4761,2015,East of England,P,   2-4,3,890,153
4762,2015,East of England,P,   5-9,4,515,191
4763,2015,East of England,P,   10-19,4,305,207
4764,2015,East of England,P,   20-49,4,125,192
4765,2015,East of England,P,   50-99,3,40,*
4766,2015,East of England,P,   100-199,*,15,*
4767,2015,East of England,P,   200-249,*,0,*
4768,2015,East of England,P,   250-499,4,10,*
4769,2015,East of England,P,   500 or more,*,5,*
4770,2015,East of England,Q,   1,1,530,58
4771,2015,East of England,Q,   2-4,5,1755,277
4772,2015,East of England,Q,   5-9,8,1135,489
4773,2015,East of England,Q,   10-19,15,1025,757
4774,2015,East of England,Q,   20-49,29,925,1525
4775,2015,East of England,Q,   50-99,16,230,763
4776,2015,East of England,Q,   100-199,11,80,485
4777,2015,East of England,Q,   200-249,2,10,53
4778,2015,East of England,Q,   250-499,8,25,253
4779,2015,East of England,Q,   500 or more,67,20,2193
4780,2015,East of England,R,   1,*,230,*
4781,2015,East of England,R,   2-4,3,1170,217
4782,2015,East of England,R,   5-9,3,420,164
4783,2015,East of England,R,   10-19,4,275,*
4784,2015,East of England,R,   20-49,5,180,197
4785,2015,East of England,R,   50-99,*,40,*
4786,2015,East of England,R,   100-199,3,25,*
4787,2015,East of England,R,   200-249,*,5,*
4788,2015,East of England,R,   250-499,5,15,328
4789,2015,East of England,R,   500 or more,*,5,*
4790,2015,East of England,S,   1,2,1095,*
4791,2015,East of England,S,   2-4,11,3280,464
4792,2015,East of England,S,   5-9,9,1370,*
4793,2015,East of England,S,   10-19,6,455,337
4794,2015,East of England,S,   20-49,4,140,229
4795,2015,East of England,S,   50-99,2,25,*
4796,2015,East of England,S,   100-199,2,20,150
4797,2015,East of England,S,   200-249,*,0,*
4798,2015,East of England,S,   250-499,*,5,*
4799,2015,East of England,S,   500 or more,*,0,*
4800,2015,London,A,   1,0,45,*
4801,2015,London,A,   2-4,0,165,39
4802,2015,London,A,   5-9,0,70,50
4803,2015,London,A,   10-19,0,20,35
4804,2015,London,A,   20-49,0,15,*
4805,2015,London,A,   50-99,*,5,*
4806,2015,London,A,   100-199,*,5,*
4807,2015,London,A,   200-249,0,0,0
4808,2015,London,A,   250-499,0,0,0
4809,2015,London,A,   500 or more,0,0,0
4810,2015,London,B,   1,*,15,*
4811,2015,London,B,   2-4,1,400,1253
4812,2015,London,B,   5-9,2,260,1928
4813,2015,London,B,   10-19,2,160,583
4814,2015,London,B,   20-49,2,55,1567
4815,2015,London,B,   50-99,*,20,939
4816,2015,London,B,   100-199,2,15,4536
4817,2015,London,B,   200-249,*,5,*
4818,2015,London,B,   250-499,*,0,*
4819,2015,London,B,   500 or more,*,10,*
4820,2015,London,C,   1,1,450,62
4821,2015,London,C,   2-4,10,3520,1078
4822,2015,London,C,   5-9,11,1645,1306
4823,2015,London,C,   10-19,13,930,1425
4824,2015,London,C,   20-49,16,515,2409
4825,2015,London,C,   50-99,12,170,1792
4826,2015,London,C,   100-199,11,80,2030
4827,2015,London,C,   200-249,3,15,845
4828,2015,London,C,   250-499,8,25,2224
4829,2015,London,C,   500 or more,81,30,63129
4830,2015,London,F,   1,3,1245,262
4831,2015,London,F,   2-4,32,12265,6838
4832,2015,London,F,   5-9,19,2945,4946
4833,2015,London,F,   10-19,16,1210,3604
4834,2015,London,F,   20-49,12,405,3150
4835,2015,London,F,   50-99,8,115,1957
4836,2015,London,F,   100-199,7,45,2308
4837,2015,London,F,   200-249,4,15,1076
4838,2015,London,F,   250-499,8,25,3050
4839,2015,London,F,   500 or more,45,15,8351
4840,2015,London,G,   1,7,3170,869
4841,2015,London,G,   2-4,55,18420,15749
4842,2015,London,G,   5-9,54,8175,21457
4843,2015,London,G,   10-19,48,3540,40281
4844,2015,London,G,   20-49,45,1515,67830
4845,2015,London,G,   50-99,29,430,23217
4846,2015,London,G,   100-199,25,180,59949
4847,2015,London,G,   200-249,10,45,6386
4848,2015,London,G,   250-499,24,70,142219
4849,2015,London,G,   500 or more,569,110,103010
4850,2015,London,H,   1,1,270,43
4851,2015,London,H,   2-4,7,2440,1357
4852,2015,London,H,   5-9,6,970,3033
4853,2015,London,H,   10-19,7,520,2041
4854,2015,London,H,   20-49,7,250,2339
4855,2015,London,H,   50-99,7,105,4012
4856,2015,London,H,   100-199,9,65,3277
4857,2015,London,H,   200-249,2,10,487
4858,2015,London,H,   250-499,10,25,2944
4859,2015,London,H,   500 or more,152,50,31044
4860,2015,London,I,   1,3,1340,123
4861,2015,London,I,   2-4,27,8160,1204
4862,2015,London,I,   5-9,31,4685,1369
4863,2015,London,I,   10-19,35,2595,1698
4864,2015,London,I,   20-49,46,1545,2496
4865,2015,London,I,   50-99,30,440,1722
4866,2015,London,I,   100-199,26,190,1469
4867,2015,London,I,   200-249,8,35,483
4868,2015,London,I,   250-499,24,70,1410
4869,2015,London,I,   500 or more,204,80,9566
4870,2015,London,J,   1,39,18050,3576
4871,2015,London,J,   2-4,321,116035,51872
4872,2015,London,J,   5-9,279,41680,55128
4873,2015,London,J,   10-19,293,21435,69941
4874,2015,London,J,   20-49,322,10570,111650
4875,2015,London,J,   50-99,249,3590,57193
4876,2015,London,J,   100-199,222,1595,94325
4877,2015,London,J,   200-249,84,375,19750
4878,2015,London,J,   250-499,245,700,175596
4879,2015,London,J,   500 or more,2209,760,389930
4880,2015,London,K,   1,0,110, ..
4881,2015,London,K,   2-4,7,2555, ..
4882,2015,London,K,   5-9,8,1225, ..
4883,2015,London,K,   10-19,10,755, ..
4884,2015,London,K,   20-49,16,495, ..
4885,2015,London,K,   50-99,17,235, ..
4886,2015,London,K,   100-199,22,155, ..
4887,2015,London,K,   200-249,8,35, ..
4888,2015,London,K,   250-499,26,75, ..
4889,2015,London,K,   500 or more,266,90, ..
4890,2015,London,L,   1,1,405,235
4891,2015,London,L,   2-4,18,6585,3275
4892,2015,London,L,   5-9,18,2710,3434
4893,2015,London,L,   10-19,16,1200,1810
4894,2015,London,L,   20-49,7,235,1347
4895,2015,London,L,   50-99,5,80,1101
4896,2015,London,L,   100-199,6,40,1221
4897,2015,London,L,   200-249,2,10,268
4898,2015,London,L,   250-499,6,15,813
4899,2015,London,L,   500 or more,22,20,3486
4900,2015,London,M,   1,8,3740,668
4901,2015,London,M,   2-4,62,23520,7495
4902,2015,London,M,   5-9,46,6825,6709
4903,2015,London,M,   10-19,47,3415,6789
4904,2015,London,M,   20-49,53,1710,9491
4905,2015,London,M,   50-99,40,565,6583
4906,2015,London,M,   100-199,36,250,6610
4907,2015,London,M,   200-249,15,65,3575
4908,2015,London,M,   250-499,43,120,9145
4909,2015,London,M,   500 or more,155,95,27797
4910,2015,London,N,   1,7,3240,809
4911,2015,London,N,   2-4,29,10400,6601
4912,2015,London,N,   5-9,24,3565,4703
4913,2015,London,N,   10-19,27,2010,4479
4914,2015,London,N,   20-49,35,1125,6534
4915,2015,London,N,   50-99,36,510,6899
4916,2015,London,N,   100-199,31,225,3241
4917,2015,London,N,   200-249,15,70,3386
4918,2015,London,N,   250-499,47,135,4976
4919,2015,London,N,   500 or more,325,115,20992
4920,2015,London,P,   1,*,130,*
4921,2015,London,P,   2-4,4,1495,356
4922,2015,London,P,   5-9,5,745,394
4923,2015,London,P,   10-19,8,550,471
4924,2015,London,P,   20-49,8,265,*
4925,2015,London,P,   50-99,7,100,*
4926,2015,London,P,   100-199,*,35,*
4927,2015,London,P,   200-249,*,5,*
4928,2015,London,P,   250-499,6,20,*
4929,2015,London,P,   500 or more,11,10,1494
4930,2015,London,Q,   1,2,1035,*
4931,2015,London,Q,   2-4,12,3975,704
4932,2015,London,Q,   5-9,16,2195,894
4933,2015,London,Q,   10-19,24,1635,1281
4934,2015,London,Q,   20-49,29,935,1539
4935,2015,London,Q,   50-99,19,275,914
4936,2015,London,Q,   100-199,11,85,487
4937,2015,London,Q,   200-249,4,20,*
4938,2015,London,Q,   250-499,14,35,*
4939,2015,London,Q,   500 or more,88,35,4016
4940,2015,London,R,   1,*,610,*
4941,2015,London,R,   2-4,8,2990,1003
4942,2015,London,R,   5-9,6,945,859
4943,2015,London,R,   10-19,7,520,787
4944,2015,London,R,   20-49,6,185,613
4945,2015,London,R,   50-99,6,85,*
4946,2015,London,R,   100-199,*,30,1662
4947,2015,London,R,   200-249,*,5,*
4948,2015,London,R,   250-499,7,20,993
4949,2015,London,R,   500 or more,49,20,32977
4950,2015,London,S,   1,4,1990,*
4951,2015,London,S,   2-4,17,5330,941
4952,2015,London,S,   5-9,13,1900,844
4953,2015,London,S,   10-19,11,800,661
4954,2015,London,S,   20-49,8,300,*
4955,2015,London,S,   50-99,5,75,*
4956,2015,London,S,   100-199,3,15,*
4957,2015,London,S,   200-249,*,5,*
4958,2015,London,S,   250-499,*,5,*
4959,2015,London,S,   500 or more,*,5,*
4960,2015,South East,A,   1,4,1585,307
4961,2015,South East,A,   2-4,9,2405,783
4962,2015,South East,A,   5-9,6,900,623
4963,2015,South East,A,   10-19,5,340,670
4964,2015,South East,A,   20-49,5,165,427
4965,2015,South East,A,   50-99,3,40,*
4966,2015,South East,A,   100-199,*,20,394
4967,2015,South East,A,   200-249,*,5,*
4968,2015,South East,A,   250-499,4,10,*
4969,2015,South East,A,   500 or more,*,5,*
4970,2015,South East,B,   1,0,40,9
4971,2015,South East,B,   2-4,1,445,236
4972,2015,South East,B,   5-9,1,200,236
4973,2015,South East,B,   10-19,*,120,*
4974,2015,South East,B,   20-49,2,65,*
4975,2015,South East,B,   50-99,*,30,656
4976,2015,South East,B,   100-199,1,10,*
4977,2015,South East,B,   200-249,*,5,*
4978,2015,South East,B,   250-499,*,5,*
4979,2015,South East,B,   500 or more,61,20,35447
4980,2015,South East,C,   1,2,720,95
4981,2015,South East,C,   2-4,14,4800,1309
4982,2015,South East,C,   5-9,17,2580,1642
4983,2015,South East,C,   10-19,23,1700,2700
4984,2015,South East,C,   20-49,32,1055,3758
4985,2015,South East,C,   50-99,28,400,4278
4986,2015,South East,C,   100-199,27,190,5293
4987,2015,South East,C,   200-249,13,55,1965
4988,2015,South East,C,   250-499,27,75,6307
4989,2015,South East,C,   500 or more,159,80,72196
4990,2015,South East,F,   1,8,3470,598
4991,2015,South East,F,   2-4,41,15185,5835
4992,2015,South East,F,   5-9,25,3805,3842
4993,2015,South East,F,   10-19,22,1630,3236
4994,2015,South East,F,   20-49,20,670,3329
4995,2015,South East,F,   50-99,11,165,2405
4996,2015,South East,F,   100-199,7,50,1565
4997,2015,South East,F,   200-249,2,10,822
4998,2015,South East,F,   250-499,8,20,1689
4999,2015,South East,F,   500 or more,62,25,13064
5000,2015,South East,G,   1,7,3170,723
5001,2015,South East,G,   2-4,49,15735,8772
5002,2015,South East,G,   5-9,52,7680,9211
5003,2015,South East,G,   10-19,50,3670,12271
5004,2015,South East,G,   20-49,51,1715,12694
5005,2015,South East,G,   50-99,33,480,13185
5006,2015,South East,G,   100-199,29,215,13968
5007,2015,South East,G,   200-249,9,40,2853
5008,2015,South East,G,   250-499,33,95,13681
5009,2015,South East,G,   500 or more,185,95,155453
5010,2015,South East,H,   1,*,490,*
5011,2015,South East,H,   2-4,7,2345,1068
5012,2015,South East,H,   5-9,7,1020,1041
5013,2015,South East,H,   10-19,8,585,1452
5014,2015,South East,H,   20-49,12,385,1950
5015,2015,South East,H,   50-99,8,115,1245
5016,2015,South East,H,   100-199,8,60,1350
5017,2015,South East,H,   200-249,*,5,*
5018,2015,South East,H,   250-499,8,25,1405
5019,2015,South East,H,   500 or more,98,30,16486
5020,2015,South East,I,   1,3,1420,152
5021,2015,South East,I,   2-4,22,6430,937
5022,2015,South East,I,   5-9,32,4490,1201
5023,2015,South East,I,   10-19,36,2605,1105
5024,2015,South East,I,   20-49,32,1140,1128
5025,2015,South East,I,   50-99,15,220,539
5026,2015,South East,I,   100-199,13,90,464
5027,2015,South East,I,   200-249,6,25,250
5028,2015,South East,I,   250-499,12,35,375
5029,2015,South East,I,   500 or more,83,40,3287
5030,2015,South East,J,   1,44,19635,3316
5031,2015,South East,J,   2-4,296,105750,34350
5032,2015,South East,J,   5-9,253,37115,28280
5033,2015,South East,J,   10-19,270,19640,33120
5034,2015,South East,J,   20-49,307,10115,37963
5035,2015,South East,J,   50-99,211,3045,33136
5036,2015,South East,J,   100-199,190,1365,32065
5037,2015,South East,J,   200-249,62,280,9420
