,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
149,2013,North East,R,   500 or more,*,5,*
150,2013,North East,S,   1,*,550,41
151,2013,North East,S,   2-4,4,1240,152
152,2013,North East,S,   5-9,3,405,86
153,2013,North East,S,   10-19,1,105,66
154,2013,North East,S,   20-49,*,45,65
155,2013,North East,S,   50-99,*,0,*
156,2013,North East,S,   100-199,*,5,*
157,2013,North East,S,   200-249,0,0,0
158,2013,North East,S,   250-499,0,0,0
159,2013,North East,S,   500 or more,0,0,0
160,2013,North West,A,   1,5,1905,406
161,2013,North West,A,   2-4,7,1925,667
162,2013,North West,A,   5-9,3,465,*
163,2013,North West,A,   10-19,2,135,224
164,2013,North West,A,   20-49,*,50,184
165,2013,North West,A,   50-99,*,15,84
166,2013,North West,A,   100-199,*,10,*
167,2013,North West,A,   200-249,0,0,0
168,2013,North West,A,   250-499,*,0,*
169,2013,North West,A,   500 or more,*,0,*
170,2013,North West,B,   1,*,25,5
171,2013,North West,B,   2-4,1,285,*
172,2013,North West,B,   5-9,1,155,*
173,2013,North West,B,   10-19,1,105,194
174,2013,North West,B,   20-49,*,70,*
175,2013,North West,B,   50-99,*,20,*
176,2013,North West,B,   100-199,1,15,900
177,2013,North West,B,   200-249,*,5,*
178,2013,North West,B,   250-499,*,0,*
179,2013,North West,B,   500 or more,*,0,*
180,2013,North West,C,   1,2,690,92
181,2013,North West,C,   2-4,11,3635,990
182,2013,North West,C,   5-9,14,2085,1310
183,2013,North West,C,   10-19,21,1545,2226
184,2013,North West,C,   20-49,34,1095,4711
185,2013,North West,C,   50-99,33,475,4774
186,2013,North West,C,   100-199,33,230,6593
187,2013,North West,C,   200-249,12,55,2267
188,2013,North West,C,   250-499,28,80,6093
189,2013,North West,C,   500 or more,71,50,24441
190,2013,North West,F,   1,5,2125,323
191,2013,North West,F,   2-4,21,7420,2223
192,2013,North West,F,   5-9,15,2325,1569
193,2013,North West,F,   10-19,16,1160,1728
194,2013,North West,F,   20-49,17,545,2202
195,2013,North West,F,   50-99,11,155,1594
196,2013,North West,F,   100-199,7,55,1043
197,2013,North West,F,   200-249,3,10,468
198,2013,North West,F,   250-499,7,20,905
199,2013,North West,F,   500 or more,10,10,1129
200,2013,North West,G,   1,8,3630,745
201,2013,North West,G,   2-4,39,12340,5222
