,Unnamed: 0,Region,Year,Table A.1  Total identifiable expenditure on services,"Table A.2  Total UK identifiable expenditure on services, per head ",Table A.3  Real terms (1): Total identifiable expenditure on services,Table A.4  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1)
40,40,South West,2014,43931.0,8169.0,46715.0,8687.0,432.0,419.0,13.0,-,5,1846.0,2435.0,336.0,304.0,199.0,639.0,958.0,850.0,525.0,9866.0,440.0,6365.0,21166.0,,,10622.0,1975.0,33308.0
41,41,South West,2015,45256.0,8345.0,47514.0,8761.0,555.0,547.0,8.0,-,5,1881.0,2557.0,361.0,357.0,136.0,619.0,1083.0,982.0,475.0,10245.0,480.0,6268.0,21807.0,,,10834.0,1998.0,34421.0
42,42,South West,2016,45871.0,8383.0,47777.0,8732.0,451.0,443.0,8.0,-,3,1848.0,2785.0,400.0,335.0,114.0,493.0,1443.0,890.0,509.0,10576.0,426.0,6258.0,22124.0,,,10784.0,1971.0,35086.0
43,43,South West,2017,46846.0,8491.0,47736.0,8652.0,545.0,535.0,9.0,-,4,1747.0,3251.0,471.0,386.0,122.0,633.0,1640.0,849.0,526.0,10899.0,450.0,6377.0,22200.0,,,10618.0,1925.0,36228.0
44,44,South West,2018,47964.0,8628.0,47964.0,8628.0,526.0,518.0,9.0,-,3,1831.0,3503.0,744.0,436.0,122.0,591.0,1610.0,882.0,510.0,11132.0,507.0,6528.0,22541.0,,,10767.0,1937.0,37197.0
50,50,Scotland,2014,54063.0,10148.0,57490.0,10791.0,1109.0,1096.0,13.0,-,3,2388.0,5572.0,1006.0,380.0,340.0,953.0,2893.0,1293.0,1529.0,11459.0,1128.0,7558.0,22024.0,,,13818.0,2594.0,40245.0
51,51,Scotland,2015,54948.0,10275.0,57689.0,10788.0,1134.0,1126.0,8.0,-,3,2649.0,5354.0,980.0,406.0,266.0,923.0,2779.0,1270.0,1548.0,11592.0,1209.0,7613.0,22575.0,,,13804.0,2581.0,41144.0
52,52,Scotland,2016,56173.0,10455.0,58508.0,10889.0,1128.0,1120.0,8.0,-,4,2650.0,5566.0,943.0,479.0,229.0,819.0,3096.0,1256.0,1566.0,12131.0,1074.0,7838.0,22962.0,,,14083.0,2621.0,42090.0
53,53,Scotland,2017,57323.0,10606.0,58412.0,10808.0,1094.0,1085.0,9.0,-,4,2584.0,6165.0,1178.0,488.0,237.0,932.0,3330.0,1225.0,1584.0,12600.0,1053.0,8273.0,22743.0,,,14291.0,2644.0,43032.0
54,54,Scotland,2018,59028.0,10881.0,59028.0,10881.0,1087.0,1078.0,9.0,-,3,2696.0,6600.0,1255.0,556.0,258.0,913.0,3618.0,1266.0,1977.0,12767.0,997.0,8398.0,23235.0,,,14743.0,2718.0,44285.0
55,55,Wales,2014,30089.0,9762.0,31997.0,10380.0,506.0,499.0,7.0,-,4,1314.0,2398.0,537.0,155.0,197.0,485.0,1024.0,692.0,615.0,6161.0,523.0,4158.0,13718.0,,,8396.0,2724.0,21694.0
56,56,Wales,2015,30622.0,9904.0,32150.0,10398.0,527.0,522.0,5.0,-,4,1343.0,2344.0,546.0,192.0,158.0,444.0,1005.0,697.0,607.0,6442.0,516.0,3987.0,14155.0,,,8301.0,2685.0,22321.0
57,57,Wales,2016,30975.0,9995.0,32263.0,10410.0,492.0,487.0,4.0,-,3,1225.0,2441.0,453.0,213.0,136.0,430.0,1208.0,646.0,702.0,6591.0,494.0,4084.0,14297.0,,,8181.0,2640.0,22794.0
58,58,Wales,2017,31411.0,10090.0,32007.0,10281.0,510.0,505.0,5.0,-,2,1261.0,2398.0,428.0,195.0,133.0,463.0,1178.0,619.0,712.0,6950.0,477.0,4186.0,14297.0,,,8208.0,2636.0,23203.0
59,59,Wales,2018,32492.0,10397.0,32492.0,10397.0,528.0,523.0,5.0,-,3,1366.0,2642.0,505.0,225.0,134.0,497.0,1281.0,629.0,714.0,7218.0,542.0,4279.0,14571.0,,,8397.0,2687.0,24094.0
60,60,Northern Ireland,2014,19916.0,10885.0,21178.0,11575.0,417.0,413.0,4.0,-,-,1357.0,1646.0,311.0,58.0,176.0,577.0,524.0,258.0,776.0,3870.0,461.0,2617.0,8515.0,,,,,
61,61,Northern Ireland,2015,20337.0,11050.0,21352.0,11601.0,457.0,455.0,3.0,-,-,1271.0,1685.0,349.0,61.0,183.0,572.0,521.0,270.0,787.0,3910.0,471.0,2742.0,8742.0,,,,,
62,62,Northern Ireland,2016,20214.0,10917.0,21054.0,11371.0,392.0,389.0,3.0,-,-,1244.0,1557.0,400.0,91.0,151.0,487.0,429.0,264.0,711.0,4034.0,457.0,2707.0,8848.0,,,,,
63,63,Northern Ireland,2017,20504.0,11011.0,20894.0,11220.0,348.0,345.0,3.0,-,-,1219.0,1586.0,357.0,71.0,99.0,505.0,554.0,263.0,706.0,4176.0,466.0,2715.0,9026.0,,,,,
64,64,Northern Ireland,2018,20934.0,11190.0,20934.0,11190.0,366.0,363.0,3.0,-,-,1211.0,1587.0,377.0,76.0,81.0,498.0,555.0,264.0,737.0,4314.0,497.0,2701.0,9257.0,,,,,
0,0,North East,2019,26531.0,10090.0,30304.0,11525.0,272.0,270.0,2.0,-,1,1243.0,1833.0,320.0,265.0,176.0,224.0,849.0,300.0,442.0,6472.0,252.0,3492.0,12223.0,,,6130.0,2332.0,20400.0
1,1,North East,2020,27403.0,10393.0,30578.0,11597.0,299.0,297.0,2.0,-,2,1314.0,1941.0,411.0,241.0,112.0,222.0,955.0,293.0,532.0,6958.0,306.0,3521.0,12237.0,,,6385.0,2421.0,21018.0
2,2,North East,2021,35459.0,13445.0,37525.0,14228.0,316.0,314.0,2.0,-,35,1454.0,6673.0,4583.0,253.0,115.0,229.0,1493.0,344.0,456.0,9202.0,332.0,3686.0,12961.0,,,6573.0,2492.0,28886.0
3,3,North East,2022,32005.0,12089.0,34142.0,12896.0,427.0,425.0,2.0,-,22,1511.0,2979.0,1111.0,225.0,192.0,221.0,1229.0,393.0,542.0,8955.0,343.0,3870.0,12964.0,,,6817.0,2575.0,25188.0
4,4,North East,2023,34712.0,12938.0,34712.0,12938.0,308.0,306.0,2.0,-,17,1630.0,4291.0,2301.0,233.0,170.0,240.0,1348.0,386.0,623.0,8754.0,367.0,4249.0,14087.0,,,7224.0,2693.0,27488.0
5,5,North West,2019,72271.0,9878.0,82549.0,11283.0,626.0,620.0,7.0,-,4,3345.0,5475.0,996.0,469.0,355.0,370.0,3284.0,2594.0,840.0,17931.0,730.0,9100.0,31624.0,,,17284.0,2362.0,54987.0
6,6,North West,2020,74946.0,10178.0,83630.0,11358.0,647.0,640.0,7.0,-,4,3547.0,5676.0,1140.0,489.0,346.0,382.0,3319.0,2809.0,999.0,19234.0,779.0,9454.0,31797.0,,,17573.0,2387.0,57374.0
7,7,North West,2021,99286.0,13452.0,105069.0,14236.0,899.0,893.0,6.0,-,8,3847.0,20120.0,14495.0,513.0,372.0,433.0,4307.0,3001.0,969.0,25668.0,898.0,9860.0,34018.0,,,18487.0,2505.0,80800.0
8,8,North West,2022,89887.0,12107.0,95887.0,12916.0,904.0,897.0,7.0,-,7,4048.0,9744.0,3649.0,605.0,578.0,394.0,4519.0,3225.0,1109.0,25300.0,994.0,10402.0,34153.0,,,19156.0,2580.0,70730.0
9,9,North West,2023,96545.0,12845.0,96545.0,12845.0,838.0,831.0,6.0,-,5,4357.0,12873.0,6531.0,530.0,530.0,496.0,4786.0,3098.0,1276.0,24763.0,1015.0,11301.0,37017.0,,,20141.0,2680.0,76404.0
15,15,East Midlands,2019,41200.0,8556.0,47059.0,9773.0,369.0,364.0,5.0,-,3,1916.0,2859.0,601.0,282.0,206.0,433.0,1336.0,491.0,514.0,9754.0,419.0,5954.0,18922.0,,,8672.0,1801.0,32528.0
16,16,East Midlands,2020,43065.0,8890.0,48055.0,9920.0,478.0,473.0,5.0,-,4,2054.0,3224.0,828.0,319.0,149.0,431.0,1497.0,515.0,598.0,10690.0,442.0,6192.0,18868.0,,,8861.0,1829.0,34204.0
17,17,East Midlands,2021,58315.0,12010.0,61712.0,12710.0,565.0,561.0,4.0,-,8,2304.0,12391.0,9133.0,342.0,177.0,467.0,2273.0,595.0,643.0,14466.0,546.0,6464.0,20334.0,,,9432.0,1943.0,48883.0
