,Region,Year,Other taxes on products
866,East Surrey,2019,798
867,East Surrey,2020,601
868,East Surrey,2021,695
869,East Surrey,2022,801
870,West Sussex (South West),2017,510
871,West Sussex (South West),2018,485
872,West Sussex (South West),2019,490
873,West Sussex (South West),2020,433
874,West Sussex (South West),2021,483
875,West Sussex (South West),2022,564
876,West Sussex (North East),2017,990
877,West Sussex (North East),2018,1000
878,West Sussex (North East),2019,965
879,West Sussex (North East),2020,530
880,West Sussex (North East),2021,624
881,West Sussex (North East),2022,801
882,Hampshire and Isle of Wight,2017,3064
883,Hampshire and Isle of Wight,2018,3060
884,Hampshire and Isle of Wight,2019,3149
885,Hampshire and Isle of Wight,2020,2900
886,Hampshire and Isle of Wight,2021,3243
887,Hampshire and Isle of Wight,2022,3489
888,Portsmouth,2017,324
889,Portsmouth,2018,344
890,Portsmouth,2019,362
891,Portsmouth,2020,374
892,Portsmouth,2021,364
893,Portsmouth,2022,333
894,Southampton,2017,232
895,Southampton,2018,234
896,Southampton,2019,242
897,Southampton,2020,236
898,Southampton,2021,253
899,Southampton,2022,250
900,Isle of Wight,2017,122
901,Isle of Wight,2018,123
902,Isle of Wight,2019,126
903,Isle of Wight,2020,118
904,Isle of Wight,2021,132
905,Isle of Wight,2022,161
906,South Hampshire,2017,637
907,South Hampshire,2018,609
908,South Hampshire,2019,617
909,South Hampshire,2020,602
910,South Hampshire,2021,646
911,South Hampshire,2022,692
912,Central Hampshire,2017,1072
913,Central Hampshire,2018,1033
914,Central Hampshire,2019,1047
915,Central Hampshire,2020,924
916,Central Hampshire,2021,1097
917,Central Hampshire,2022,1175
918,North Hampshire,2017,677
919,North Hampshire,2018,718
920,North Hampshire,2019,754
921,North Hampshire,2020,646
922,North Hampshire,2021,752
923,North Hampshire,2022,878
924,Kent,2017,2718
925,Kent,2018,2782
926,Kent,2019,2741
927,Kent,2020,2420
928,Kent,2021,2705
929,Kent,2022,2945
930,Medway,2017,331
931,Medway,2018,356
932,Medway,2019,374
933,Medway,2020,330
934,Medway,2021,321
935,Medway,2022,345
936,Kent Thames Gateway,2017,553
937,Kent Thames Gateway,2018,539
938,Kent Thames Gateway,2019,524
939,Kent Thames Gateway,2020,484
940,Kent Thames Gateway,2021,607
941,Kent Thames Gateway,2022,640
942,East Kent,2017,675
943,East Kent,2018,684
944,East Kent,2019,679
945,East Kent,2020,577
946,East Kent,2021,574
947,East Kent,2022,617
948,Mid Kent,2017,413
949,Mid Kent,2018,429
950,Mid Kent,2019,422
951,Mid Kent,2020,381
952,Mid Kent,2021,431
953,Mid Kent,2022,486
954,West Kent,2017,745
955,West Kent,2018,774
956,West Kent,2019,743
957,West Kent,2020,648
958,West Kent,2021,771
959,West Kent,2022,857
960,South West,2017,7353
961,South West,2018,7560
962,South West,2019,7664
963,South West,2020,6738
964,South West,2021,7740
965,South West,2022,8172
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,3560
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,3677
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,3737
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,3231
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,3645
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,3884
972,"Bristol, City of",2017,552
973,"Bristol, City of",2018,549
974,"Bristol, City of",2019,556
975,"Bristol, City of",2020,502
976,"Bristol, City of",2021,576
977,"Bristol, City of",2022,551
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,1018
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,1030
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,1025
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,857
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,1018
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,1083
984,Gloucestershire CC,2017,1003
985,Gloucestershire CC,2018,983
986,Gloucestershire CC,2019,997
987,Gloucestershire CC,2020,864
988,Gloucestershire CC,2021,1005
989,Gloucestershire CC,2022,1017
990,Swindon,2017,332
991,Swindon,2018,456
992,Swindon,2019,491
993,Swindon,2020,425
994,Swindon,2021,370
995,Swindon,2022,566
996,Wiltshire,2017,655
997,Wiltshire,2018,658
998,Wiltshire,2019,669
999,Wiltshire,2020,583
1000,Wiltshire,2021,677
1001,Wiltshire,2022,668
1002,Dorset and Somerset,2017,1569
1003,Dorset and Somerset,2018,1586
1004,Dorset and Somerset,2019,1598
1005,Dorset and Somerset,2020,1455
1006,Dorset and Somerset,2021,1657
1007,Dorset and Somerset,2022,1722
1008,Somerset CC,2017,747
1009,Somerset CC,2018,763
1010,Somerset CC,2019,767
1011,Somerset CC,2020,720
1012,Somerset CC,2021,783
1013,Somerset CC,2022,819
1014,"Bournemouth, Christchurch and Poole",2017,413
1015,"Bournemouth, Christchurch and Poole",2018,409
1016,"Bournemouth, Christchurch and Poole",2019,419
1017,"Bournemouth, Christchurch and Poole",2020,376
1018,"Bournemouth, Christchurch and Poole",2021,437
1019,"Bournemouth, Christchurch and Poole",2022,442
1020,Dorset,2017,408
1021,Dorset,2018,414
1022,Dorset,2019,412
1023,Dorset,2020,359
1024,Dorset,2021,437
1025,Dorset,2022,461
1026,Cornwall and Isles of Scilly,2017,631
1027,Cornwall and Isles of Scilly,2018,648
1028,Cornwall and Isles of Scilly,2019,663
1029,Cornwall and Isles of Scilly,2020,581
1030,Cornwall and Isles of Scilly,2021,687
1031,Cornwall and Isles of Scilly,2022,729
1032,Cornwall and Isles of Scilly,2017,631
1033,Cornwall and Isles of Scilly,2018,648
1034,Cornwall and Isles of Scilly,2019,663
1035,Cornwall and Isles of Scilly,2020,581
1036,Cornwall and Isles of Scilly,2021,687
1037,Cornwall and Isles of Scilly,2022,729
1038,Devon,2017,1593
1039,Devon,2018,1649
1040,Devon,2019,1666
1041,Devon,2020,1471
1042,Devon,2021,1751
1043,Devon,2022,1838
1044,Plymouth,2017,288
1045,Plymouth,2018,305
1046,Plymouth,2019,303
1047,Plymouth,2020,265
1048,Plymouth,2021,306
1049,Plymouth,2022,308
1050,Torbay,2017,117
1051,Torbay,2018,123
1052,Torbay,2019,123
1053,Torbay,2020,115
1054,Torbay,2021,131
1055,Torbay,2022,134
1056,Devon CC,2017,1188
1057,Devon CC,2018,1221
1058,Devon CC,2019,1240
1059,Devon CC,2020,1091
1060,Devon CC,2021,1314
1061,Devon CC,2022,1395
1062,Wales,2017,3933
1063,Wales,2018,4011
1064,Wales,2019,4053
1065,Wales,2020,3604
1066,Wales,2021,4035
1067,Wales,2022,4193
1068,West Wales and The Valleys,2017,2371
1069,West Wales and The Valleys,2018,2422
1070,West Wales and The Valleys,2019,2432
1071,West Wales and The Valleys,2020,2140
1072,West Wales and The Valleys,2021,2542
1073,West Wales and The Valleys,2022,2690
1074,Isle of Anglesey,2017,90
1075,Isle of Anglesey,2018,89
1076,Isle of Anglesey,2019,87
1077,Isle of Anglesey,2020,69
1078,Isle of Anglesey,2021,79
1079,Isle of Anglesey,2022,76
1080,Gwynedd,2017,203
1081,Gwynedd,2018,193
1082,Gwynedd,2019,190
1083,Gwynedd,2020,170
1084,Gwynedd,2021,218
1085,Gwynedd,2022,179
1086,Conwy and Denbighshire,2017,276
1087,Conwy and Denbighshire,2018,287
1088,Conwy and Denbighshire,2019,285
1089,Conwy and Denbighshire,2020,256
1090,Conwy and Denbighshire,2021,259
1091,Conwy and Denbighshire,2022,257
1092,South West Wales,2017,541
1093,South West Wales,2018,575
1094,South West Wales,2019,578
1095,South West Wales,2020,502
1096,South West Wales,2021,651
1097,South West Wales,2022,813
1098,Central Valleys,2017,348
1099,Central Valleys,2018,345
1100,Central Valleys,2019,347
1101,Central Valleys,2020,315
1102,Central Valleys,2021,373
1103,Central Valleys,2022,399
1104,Gwent Valleys,2017,315
1105,Gwent Valleys,2018,321
1106,Gwent Valleys,2019,320
1107,Gwent Valleys,2020,285
1108,Gwent Valleys,2021,327
1109,Gwent Valleys,2022,330
1110,Bridgend and Neath Port Talbot,2017,340
1111,Bridgend and Neath Port Talbot,2018,352
1112,Bridgend and Neath Port Talbot,2019,362
1113,Bridgend and Neath Port Talbot,2020,311
1114,Bridgend and Neath Port Talbot,2021,372
1115,Bridgend and Neath Port Talbot,2022,377
1116,Swansea,2017,259
1117,Swansea,2018,260
1118,Swansea,2019,264
1119,Swansea,2020,231
1120,Swansea,2021,263
1121,Swansea,2022,260
1122,East Wales,2017,1561
1123,East Wales,2018,1590
1124,East Wales,2019,1621
1125,East Wales,2020,1465
1126,East Wales,2021,1494
1127,East Wales,2022,1502
1128,Monmouthshire and Newport,2017,333
1129,Monmouthshire and Newport,2018,335
1130,Monmouthshire and Newport,2019,327
1131,Monmouthshire and Newport,2020,284
1132,Monmouthshire and Newport,2021,304
1133,Monmouthshire and Newport,2022,306
1134,Cardiff and Vale of Glamorgan,2017,702
1135,Cardiff and Vale of Glamorgan,2018,724
1136,Cardiff and Vale of Glamorgan,2019,764
1137,Cardiff and Vale of Glamorgan,2020,659
1138,Cardiff and Vale of Glamorgan,2021,621
1139,Cardiff and Vale of Glamorgan,2022,599
1140,Flintshire and Wrexham,2017,372
1141,Flintshire and Wrexham,2018,380
1142,Flintshire and Wrexham,2019,381
1143,Flintshire and Wrexham,2020,388
1144,Flintshire and Wrexham,2021,419
1145,Flintshire and Wrexham,2022,447
1146,Powys,2017,153
1147,Powys,2018,152
1148,Powys,2019,149
1149,Powys,2020,133
1150,Powys,2021,149
1151,Powys,2022,150
1152,Scotland,2017,7800
1153,Scotland,2018,8047
1154,Scotland,2019,8278
1155,Scotland,2020,7594
1156,Scotland,2021,8304
1157,Scotland,2022,8689
1158,North Eastern Scotland,2017,817
1159,North Eastern Scotland,2018,788
1160,North Eastern Scotland,2019,797
1161,North Eastern Scotland,2020,669
1162,North Eastern Scotland,2021,771
1163,North Eastern Scotland,2022,889
1164,Aberdeen City and Aberdeenshire,2017,817
1165,Aberdeen City and Aberdeenshire,2018,788
1166,Aberdeen City and Aberdeenshire,2019,797
1167,Aberdeen City and Aberdeenshire,2020,669
1168,Aberdeen City and Aberdeenshire,2021,771
1169,Aberdeen City and Aberdeenshire,2022,889
1170,Highlands and Islands,2017,677
1171,Highlands and Islands,2018,710
1172,Highlands and Islands,2019,727
1173,Highlands and Islands,2020,641
1174,Highlands and Islands,2021,733
1175,Highlands and Islands,2022,750
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,125
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,130
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,135
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,117
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,132
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,137
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,332
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,352
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,357
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,313
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,363
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,361
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,140
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,145
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,151
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,135
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,152
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,157
1194,Na h-Eileanan Siar,2017,26
1195,Na h-Eileanan Siar,2018,27
1196,Na h-Eileanan Siar,2019,28
1197,Na h-Eileanan Siar,2020,27
1198,Na h-Eileanan Siar,2021,30
1199,Na h-Eileanan Siar,2022,31
1200,Orkney Islands,2017,20
1201,Orkney Islands,2018,21
1202,Orkney Islands,2019,22
1203,Orkney Islands,2020,20
1204,Orkney Islands,2021,22
1205,Orkney Islands,2022,25
1206,Shetland Islands,2017,35
1207,Shetland Islands,2018,34
1208,Shetland Islands,2019,35
1209,Shetland Islands,2020,29
1210,Shetland Islands,2021,34
1211,Shetland Islands,2022,40
1212,Eastern Scotland,2017,2687
1213,Eastern Scotland,2018,2749
1214,Eastern Scotland,2019,2810
1215,Eastern Scotland,2020,2491
1216,Eastern Scotland,2021,2845
1217,Eastern Scotland,2022,2965
1218,Angus and Dundee City,2017,268
1219,Angus and Dundee City,2018,267
1220,Angus and Dundee City,2019,274
1221,Angus and Dundee City,2020,240
1222,Angus and Dundee City,2021,267
1223,Angus and Dundee City,2022,275
1224,Clackmannanshire and Fife,2017,455
1225,Clackmannanshire and Fife,2018,457
1226,Clackmannanshire and Fife,2019,465
1227,Clackmannanshire and Fife,2020,409
1228,Clackmannanshire and Fife,2021,473
1229,Clackmannanshire and Fife,2022,528
1230,East Lothian and Midlothian,2017,241
1231,East Lothian and Midlothian,2018,245
1232,East Lothian and Midlothian,2019,247
1233,East Lothian and Midlothian,2020,235
1234,East Lothian and Midlothian,2021,266
1235,East Lothian and Midlothian,2022,255
1236,City of Edinburgh,2017,692
1237,City of Edinburgh,2018,711
1238,City of Edinburgh,2019,751
1239,City of Edinburgh,2020,634
1240,City of Edinburgh,2021,745
1241,City of Edinburgh,2022,816
1242,Falkirk,2017,236
1243,Falkirk,2018,244
1244,Falkirk,2019,234
1245,Falkirk,2020,202
1246,Falkirk,2021,250
1247,Falkirk,2022,269
1248,"Perth and Kinross, and Stirling",2017,585
1249,"Perth and Kinross, and Stirling",2018,614
1250,"Perth and Kinross, and Stirling",2019,624
1251,"Perth and Kinross, and Stirling",2020,576
1252,"Perth and Kinross, and Stirling",2021,613
1253,"Perth and Kinross, and Stirling",2022,584
1254,West Lothian,2017,211
1255,West Lothian,2018,211
1256,West Lothian,2019,215
1257,West Lothian,2020,195
1258,West Lothian,2021,231
1259,West Lothian,2022,240
1260,West Central Scotland,2017,2220
1261,West Central Scotland,2018,2361
1262,West Central Scotland,2019,2460
1263,West Central Scotland,2020,2382
1264,West Central Scotland,2021,2513
1265,West Central Scotland,2022,2565
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,227
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,239
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,246
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,233
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,250
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,249
1272,Glasgow City,2017,986
1273,Glasgow City,2018,1042
1274,Glasgow City,2019,1077
1275,Glasgow City,2020,1160
1276,Glasgow City,2021,1230
1277,Glasgow City,2022,1263
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,473
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,490
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,506
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,412
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,472
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,517
1284,North Lanarkshire,2017,535
1285,North Lanarkshire,2018,590
1286,North Lanarkshire,2019,631
1287,North Lanarkshire,2020,577
1288,North Lanarkshire,2021,561
1289,North Lanarkshire,2022,536
1290,Southern Scotland,2017,1398
1291,Southern Scotland,2018,1439
1292,Southern Scotland,2019,1482
1293,Southern Scotland,2020,1411
1294,Southern Scotland,2021,1442
1295,Southern Scotland,2022,1519
1296,Scottish Borders,2017,159
1297,Scottish Borders,2018,167
1298,Scottish Borders,2019,169
1299,Scottish Borders,2020,153
1300,Scottish Borders,2021,156
1301,Scottish Borders,2022,150
1302,Dumfries and Galloway,2017,252
1303,Dumfries and Galloway,2018,254
1304,Dumfries and Galloway,2019,257
1305,Dumfries and Galloway,2020,240
1306,Dumfries and Galloway,2021,258
1307,Dumfries and Galloway,2022,262
1308,East Ayrshire and North Ayrshire mainland,2017,306
1309,East Ayrshire and North Ayrshire mainland,2018,320
1310,East Ayrshire and North Ayrshire mainland,2019,329
1311,East Ayrshire and North Ayrshire mainland,2020,331
1312,East Ayrshire and North Ayrshire mainland,2021,325
1313,East Ayrshire and North Ayrshire mainland,2022,323
1314,South Ayrshire,2017,174
1315,South Ayrshire,2018,175
1316,South Ayrshire,2019,181
1317,South Ayrshire,2020,150
1318,South Ayrshire,2021,181
1319,South Ayrshire,2022,209
1320,South Lanarkshire,2017,507
1321,South Lanarkshire,2018,524
1322,South Lanarkshire,2019,546
1323,South Lanarkshire,2020,538
1324,South Lanarkshire,2021,523
1325,South Lanarkshire,2022,575
1326,Northern Ireland,2017,2447
1327,Northern Ireland,2018,2392
1328,Northern Ireland,2019,2365
1329,Northern Ireland,2020,2110
1330,Northern Ireland,2021,2266
1331,Northern Ireland,2022,2322
1332,Northern Ireland,2017,2447
1333,Northern Ireland,2018,2392
1334,Northern Ireland,2019,2365
1335,Northern Ireland,2020,2110
1336,Northern Ireland,2021,2266
1337,Northern Ireland,2022,2322
1338,Belfast,2017,421
1339,Belfast,2018,414
1340,Belfast,2019,421
1341,Belfast,2020,366
1342,Belfast,2021,374
1343,Belfast,2022,391
1344,"Armagh City, Banbridge and Craigavon",2017,279
1345,"Armagh City, Banbridge and Craigavon",2018,271
1346,"Armagh City, Banbridge and Craigavon",2019,264
1347,"Armagh City, Banbridge and Craigavon",2020,232
1348,"Armagh City, Banbridge and Craigavon",2021,254
1349,"Armagh City, Banbridge and Craigavon",2022,256
1350,"Newry, Mourne and Down",2017,238
1351,"Newry, Mourne and Down",2018,231
1352,"Newry, Mourne and Down",2019,227
1353,"Newry, Mourne and Down",2020,203
1354,"Newry, Mourne and Down",2021,222
1355,"Newry, Mourne and Down",2022,227
1356,Ards and North Down,2017,156
1357,Ards and North Down,2018,150
1358,Ards and North Down,2019,145
1359,Ards and North Down,2020,131
1360,Ards and North Down,2021,141
1361,Ards and North Down,2022,146
1362,Derry City and Strabane,2017,167
1363,Derry City and Strabane,2018,167
1364,Derry City and Strabane,2019,166
1365,Derry City and Strabane,2020,156
1366,Derry City and Strabane,2021,168
1367,Derry City and Strabane,2022,166
1368,Mid Ulster,2017,229
1369,Mid Ulster,2018,222
1370,Mid Ulster,2019,216
1371,Mid Ulster,2020,192
1372,Mid Ulster,2021,212
1373,Mid Ulster,2022,219
1374,Causeway Coast and Glens,2017,183
1375,Causeway Coast and Glens,2018,175
1376,Causeway Coast and Glens,2019,171
1377,Causeway Coast and Glens,2020,156
1378,Causeway Coast and Glens,2021,170
1379,Causeway Coast and Glens,2022,172
1380,Antrim and Newtownabbey,2017,234
1381,Antrim and Newtownabbey,2018,227
1382,Antrim and Newtownabbey,2019,215
1383,Antrim and Newtownabbey,2020,172
1384,Antrim and Newtownabbey,2021,185
1385,Antrim and Newtownabbey,2022,202
1386,Lisburn and Castlereagh,2017,186
1387,Lisburn and Castlereagh,2018,184
1388,Lisburn and Castlereagh,2019,181
1389,Lisburn and Castlereagh,2020,161
1390,Lisburn and Castlereagh,2021,176
1391,Lisburn and Castlereagh,2022,170
1392,Mid and East Antrim,2017,186
1393,Mid and East Antrim,2018,186
1394,Mid and East Antrim,2019,196
1395,Mid and East Antrim,2020,192
1396,Mid and East Antrim,2021,200
1397,Mid and East Antrim,2022,210
1398,Fermanagh and Omagh,2017,168
1399,Fermanagh and Omagh,2018,166
1400,Fermanagh and Omagh,2019,162
1401,Fermanagh and Omagh,2020,150
1402,Fermanagh and Omagh,2021,163
1403,Fermanagh and Omagh,2022,163
1404,Extra-Regio,2017,0
1405,Extra-Regio,2018,0
1406,Extra-Regio,2019,0
1407,Extra-Regio,2020,0
1408,Extra-Regio,2021,0
1409,Extra-Regio,2022,0
1410,United Kingdom less Extra-Regio,2017,92948
1411,United Kingdom less Extra-Regio,2018,94505
1412,United Kingdom less Extra-Regio,2019,95701
1413,United Kingdom less Extra-Regio,2020,84087
1414,United Kingdom less Extra-Regio,2021,94318
1415,United Kingdom less Extra-Regio,2022,100716
