,Region,Year,Other taxes on products
184,Warrington,2021,447
185,Warrington,2022,445
186,Cheshire East,2017,591
187,Cheshire East,2018,598
188,Cheshire East,2019,607
189,Cheshire East,2020,542
190,Cheshire East,2021,595
191,Cheshire East,2022,615
192,Cheshire West and Chester,2017,454
193,Cheshire West and Chester,2018,481
194,Cheshire West and Chester,2019,499
195,Cheshire West and Chester,2020,447
196,Cheshire West and Chester,2021,522
197,Cheshire West and Chester,2022,569
198,Merseyside,2017,1625
199,Merseyside,2018,1675
200,Merseyside,2019,1695
201,Merseyside,2020,1541
202,Merseyside,2021,1736
203,Merseyside,2022,1835
204,East Merseyside,2017,546
205,East Merseyside,2018,558
206,East Merseyside,2019,565
207,East Merseyside,2020,513
208,East Merseyside,2021,590
209,East Merseyside,2022,612
210,Liverpool,2017,546
211,Liverpool,2018,565
212,Liverpool,2019,572
213,Liverpool,2020,512
214,Liverpool,2021,604
215,Liverpool,2022,667
216,Sefton,2017,229
217,Sefton,2018,237
218,Sefton,2019,239
219,Sefton,2020,226
220,Sefton,2021,252
221,Sefton,2022,261
222,Wirral,2017,304
223,Wirral,2018,315
224,Wirral,2019,320
225,Wirral,2020,290
226,Wirral,2021,289
227,Wirral,2022,295
228,Yorkshire and The Humber,2017,6968
229,Yorkshire and The Humber,2018,7028
230,Yorkshire and The Humber,2019,7094
231,Yorkshire and The Humber,2020,6333
232,Yorkshire and The Humber,2021,7027
233,Yorkshire and The Humber,2022,7341
234,East Yorkshire and Northern Lincolnshire,2017,1213
235,East Yorkshire and Northern Lincolnshire,2018,1267
236,East Yorkshire and Northern Lincolnshire,2019,1283
237,East Yorkshire and Northern Lincolnshire,2020,1183
238,East Yorkshire and Northern Lincolnshire,2021,1512
239,East Yorkshire and Northern Lincolnshire,2022,1633
240,"Kingston upon Hull, City of",2017,318
241,"Kingston upon Hull, City of",2018,327
242,"Kingston upon Hull, City of",2019,301
243,"Kingston upon Hull, City of",2020,200
244,"Kingston upon Hull, City of",2021,280
245,"Kingston upon Hull, City of",2022,285
246,East Riding of Yorkshire,2017,419
247,East Riding of Yorkshire,2018,432
248,East Riding of Yorkshire,2019,430
249,East Riding of Yorkshire,2020,391
250,East Riding of Yorkshire,2021,438
251,East Riding of Yorkshire,2022,451
252,North and North East Lincolnshire,2017,475
253,North and North East Lincolnshire,2018,508
254,North and North East Lincolnshire,2019,552
255,North and North East Lincolnshire,2020,592
256,North and North East Lincolnshire,2021,794
257,North and North East Lincolnshire,2022,898
258,North Yorkshire,2017,1284
259,North Yorkshire,2018,1309
260,North Yorkshire,2019,1318
261,North Yorkshire,2020,1381
262,North Yorkshire,2021,1212
263,North Yorkshire,2022,1252
264,York,2017,278
265,York,2018,262
266,York,2019,252
267,York,2020,361
268,York,2021,201
269,York,2022,206
270,North Yorkshire CC,2017,1006
271,North Yorkshire CC,2018,1047
272,North Yorkshire CC,2019,1066
273,North Yorkshire CC,2020,1020
274,North Yorkshire CC,2021,1011
275,North Yorkshire CC,2022,1046
276,South Yorkshire,2017,1561
277,South Yorkshire,2018,1598
278,South Yorkshire,2019,1613
279,South Yorkshire,2020,1328
280,South Yorkshire,2021,1563
281,South Yorkshire,2022,1614
282,"Barnsley, Doncaster and Rotherham",2017,1045
283,"Barnsley, Doncaster and Rotherham",2018,1075
284,"Barnsley, Doncaster and Rotherham",2019,1090
285,"Barnsley, Doncaster and Rotherham",2020,876
286,"Barnsley, Doncaster and Rotherham",2021,1051
287,"Barnsley, Doncaster and Rotherham",2022,1090
288,Sheffield,2017,516
289,Sheffield,2018,523
290,Sheffield,2019,523
291,Sheffield,2020,452
292,Sheffield,2021,512
293,Sheffield,2022,524
294,West Yorkshire,2017,2909
295,West Yorkshire,2018,2853
296,West Yorkshire,2019,2881
297,West Yorkshire,2020,2440
298,West Yorkshire,2021,2740
299,West Yorkshire,2022,2841
300,Bradford,2017,479
301,Bradford,2018,452
302,Bradford,2019,449
303,Bradford,2020,414
304,Bradford,2021,451
305,Bradford,2022,464
306,Leeds,2017,1227
307,Leeds,2018,1211
308,Leeds,2019,1272
309,Leeds,2020,1022
310,Leeds,2021,1084
311,Leeds,2022,1114
312,Calderdale and Kirklees,2017,708
313,Calderdale and Kirklees,2018,686
314,Calderdale and Kirklees,2019,675
315,Calderdale and Kirklees,2020,597
316,Calderdale and Kirklees,2021,662
317,Calderdale and Kirklees,2022,663
318,Wakefield,2017,495
319,Wakefield,2018,504
320,Wakefield,2019,485
321,Wakefield,2020,408
322,Wakefield,2021,543
323,Wakefield,2022,600
324,East Midlands,2017,6515
325,East Midlands,2018,6754
326,East Midlands,2019,6807
327,East Midlands,2020,6105
328,East Midlands,2021,6634
329,East Midlands,2022,6859
330,Derbyshire and Nottinghamshire,2017,3030
331,Derbyshire and Nottinghamshire,2018,3128
332,Derbyshire and Nottinghamshire,2019,3172
333,Derbyshire and Nottinghamshire,2020,2815
334,Derbyshire and Nottinghamshire,2021,2919
335,Derbyshire and Nottinghamshire,2022,2980
336,Derby,2017,356
337,Derby,2018,365
338,Derby,2019,370
339,Derby,2020,307
340,Derby,2021,321
341,Derby,2022,327
342,East Derbyshire,2017,350
343,East Derbyshire,2018,351
344,East Derbyshire,2019,360
345,East Derbyshire,2020,334
346,East Derbyshire,2021,372
347,East Derbyshire,2022,366
348,South and West Derbyshire,2017,629
349,South and West Derbyshire,2018,640
350,South and West Derbyshire,2019,660
351,South and West Derbyshire,2020,575
352,South and West Derbyshire,2021,652
353,South and West Derbyshire,2022,659
354,Nottingham,2017,519
355,Nottingham,2018,535
356,Nottingham,2019,537
357,Nottingham,2020,500
358,Nottingham,2021,435
359,Nottingham,2022,469
360,North Nottinghamshire,2017,687
361,North Nottinghamshire,2018,712
362,North Nottinghamshire,2019,709
363,North Nottinghamshire,2020,642
364,North Nottinghamshire,2021,678
365,North Nottinghamshire,2022,705
366,South Nottinghamshire,2017,489
367,South Nottinghamshire,2018,525
368,South Nottinghamshire,2019,537
369,South Nottinghamshire,2020,458
370,South Nottinghamshire,2021,460
371,South Nottinghamshire,2022,454
372,"Leicestershire, Rutland and Northamptonshire",2017,2621
373,"Leicestershire, Rutland and Northamptonshire",2018,2680
374,"Leicestershire, Rutland and Northamptonshire",2019,2685
375,"Leicestershire, Rutland and Northamptonshire",2020,2396
376,"Leicestershire, Rutland and Northamptonshire",2021,2754
377,"Leicestershire, Rutland and Northamptonshire",2022,2880
378,Leicester,2017,332
379,Leicester,2018,326
380,Leicester,2019,335
381,Leicester,2020,332
382,Leicester,2021,375
383,Leicester,2022,393
384,Leicestershire CC and Rutland,2017,1087
385,Leicestershire CC and Rutland,2018,1112
386,Leicestershire CC and Rutland,2019,1092
387,Leicestershire CC and Rutland,2020,893
388,Leicestershire CC and Rutland,2021,1039
389,Leicestershire CC and Rutland,2022,1106
390,West Northamptonshire,2017,821
391,West Northamptonshire,2018,859
392,West Northamptonshire,2019,870
393,West Northamptonshire,2020,805
394,West Northamptonshire,2021,945
395,West Northamptonshire,2022,968
396,North Northamptonshire,2017,380
397,North Northamptonshire,2018,383
398,North Northamptonshire,2019,388
399,North Northamptonshire,2020,366
400,North Northamptonshire,2021,395
401,North Northamptonshire,2022,413
402,Lincolnshire,2017,864
403,Lincolnshire,2018,945
404,Lincolnshire,2019,950
405,Lincolnshire,2020,895
406,Lincolnshire,2021,961
407,Lincolnshire,2022,999
408,Lincolnshire CC,2017,864
409,Lincolnshire CC,2018,945
410,Lincolnshire CC,2019,950
411,Lincolnshire CC,2020,895
412,Lincolnshire CC,2021,961
413,Lincolnshire CC,2022,999
414,West Midlands,2017,7356
415,West Midlands,2018,7420
416,West Midlands,2019,7419
417,West Midlands,2020,6524
418,West Midlands,2021,7369
419,West Midlands,2022,7675
420,"Herefordshire, Worcestershire and Warwickshire",2017,2430
421,"Herefordshire, Worcestershire and Warwickshire",2018,2431
422,"Herefordshire, Worcestershire and Warwickshire",2019,2462
423,"Herefordshire, Worcestershire and Warwickshire",2020,2292
424,"Herefordshire, Worcestershire and Warwickshire",2021,2622
425,"Herefordshire, Worcestershire and Warwickshire",2022,2736
426,"Herefordshire, County of",2017,224
427,"Herefordshire, County of",2018,222
428,"Herefordshire, County of",2019,220
429,"Herefordshire, County of",2020,198
430,"Herefordshire, County of",2021,225
431,"Herefordshire, County of",2022,232
