,Region,Year,Value Added Tax (VAT) on products
207,East Merseyside,2020,968
208,East Merseyside,2021,1129
209,East Merseyside,2022,1314
210,Liverpool,2017,962
211,Liverpool,2018,1081
212,Liverpool,2019,1110
213,Liverpool,2020,1009
214,Liverpool,2021,1173
215,Liverpool,2022,1387
216,Sefton,2017,556
217,Sefton,2018,621
218,Sefton,2019,639
219,Sefton,2020,581
220,Sefton,2021,676
221,Sefton,2022,784
222,Wirral,2017,644
223,Wirral,2018,716
224,Wirral,2019,734
225,Wirral,2020,668
226,Wirral,2021,775
227,Wirral,2022,900
228,Yorkshire and The Humber,2017,11328
229,Yorkshire and The Humber,2018,11744
230,Yorkshire and The Humber,2019,12061
231,Yorkshire and The Humber,2020,10541
232,Yorkshire and The Humber,2021,11843
233,Yorkshire and The Humber,2022,13840
234,East Yorkshire and Northern Lincolnshire,2017,2005
235,East Yorkshire and Northern Lincolnshire,2018,2129
236,East Yorkshire and Northern Lincolnshire,2019,2186
237,East Yorkshire and Northern Lincolnshire,2020,1911
238,East Yorkshire and Northern Lincolnshire,2021,2147
239,East Yorkshire and Northern Lincolnshire,2022,2509
240,"Kingston upon Hull, City of",2017,575
241,"Kingston upon Hull, City of",2018,611
242,"Kingston upon Hull, City of",2019,628
243,"Kingston upon Hull, City of",2020,546
244,"Kingston upon Hull, City of",2021,611
245,"Kingston upon Hull, City of",2022,715
246,East Riding of Yorkshire,2017,723
247,East Riding of Yorkshire,2018,768
248,East Riding of Yorkshire,2019,792
249,East Riding of Yorkshire,2020,696
250,East Riding of Yorkshire,2021,786
251,East Riding of Yorkshire,2022,921
252,North and North East Lincolnshire,2017,707
253,North and North East Lincolnshire,2018,749
254,North and North East Lincolnshire,2019,767
255,North and North East Lincolnshire,2020,668
256,North and North East Lincolnshire,2021,750
257,North and North East Lincolnshire,2022,872
258,North Yorkshire,2017,1862
259,North Yorkshire,2018,1961
260,North Yorkshire,2019,2014
261,North Yorkshire,2020,1760
262,North Yorkshire,2021,1977
263,North Yorkshire,2022,2311
264,York,2017,467
265,York,2018,493
266,York,2019,504
267,York,2020,438
268,York,2021,486
269,York,2022,571
270,North Yorkshire CC,2017,1394
271,North Yorkshire CC,2018,1468
272,North Yorkshire CC,2019,1510
273,North Yorkshire CC,2020,1322
274,North Yorkshire CC,2021,1491
275,North Yorkshire CC,2022,1740
276,South Yorkshire,2017,2844
277,South Yorkshire,2018,2929
278,South Yorkshire,2019,3008
279,South Yorkshire,2020,2629
280,South Yorkshire,2021,2954
281,South Yorkshire,2022,3452
282,"Barnsley, Doncaster and Rotherham",2017,1689
283,"Barnsley, Doncaster and Rotherham",2018,1741
284,"Barnsley, Doncaster and Rotherham",2019,1790
285,"Barnsley, Doncaster and Rotherham",2020,1566
286,"Barnsley, Doncaster and Rotherham",2021,1761
287,"Barnsley, Doncaster and Rotherham",2022,2048
288,Sheffield,2017,1155
289,Sheffield,2018,1188
290,Sheffield,2019,1218
291,Sheffield,2020,1063
292,Sheffield,2021,1193
293,Sheffield,2022,1404
294,West Yorkshire,2017,4617
295,West Yorkshire,2018,4725
296,West Yorkshire,2019,4852
297,West Yorkshire,2020,4241
298,West Yorkshire,2021,4764
299,West Yorkshire,2022,5568
300,Bradford,2017,1078
301,Bradford,2018,1102
302,Bradford,2019,1132
303,Bradford,2020,989
304,Bradford,2021,1108
305,Bradford,2022,1294
306,Leeds,2017,1582
307,Leeds,2018,1621
308,Leeds,2019,1669
309,Leeds,2020,1461
310,Leeds,2021,1641
311,Leeds,2022,1926
312,Calderdale and Kirklees,2017,1278
313,Calderdale and Kirklees,2018,1302
314,Calderdale and Kirklees,2019,1329
315,Calderdale and Kirklees,2020,1156
316,Calderdale and Kirklees,2021,1298
317,Calderdale and Kirklees,2022,1511
318,Wakefield,2017,680
319,Wakefield,2018,700
320,Wakefield,2019,722
321,Wakefield,2020,634
322,Wakefield,2021,717
323,Wakefield,2022,838
324,East Midlands,2017,9607
325,East Midlands,2018,10075
326,East Midlands,2019,10414
327,East Midlands,2020,9361
328,East Midlands,2021,10712
329,East Midlands,2022,12514
330,Derbyshire and Nottinghamshire,2017,4504
331,Derbyshire and Nottinghamshire,2018,4772
332,Derbyshire and Nottinghamshire,2019,4932
333,Derbyshire and Nottinghamshire,2020,4434
334,Derbyshire and Nottinghamshire,2021,5073
335,Derbyshire and Nottinghamshire,2022,5927
336,Derby,2017,540
337,Derby,2018,573
338,Derby,2019,591
339,Derby,2020,529
340,Derby,2021,601
341,Derby,2022,700
342,East Derbyshire,2017,585
