,Region,Year,Value Added Tax (VAT) on products
849,Brighton and Hove,2020,600
850,Brighton and Hove,2021,651
851,Brighton and Hove,2022,761
852,East Sussex CC,2017,1268
853,East Sussex CC,2018,1266
854,East Sussex CC,2019,1312
855,East Sussex CC,2020,1174
856,East Sussex CC,2021,1288
857,East Sussex CC,2022,1508
858,West Surrey,2017,1828
859,West Surrey,2018,1825
860,West Surrey,2019,1898
861,West Surrey,2020,1705
862,West Surrey,2021,1879
863,West Surrey,2022,2199
864,East Surrey,2017,932
865,East Surrey,2018,934
866,East Surrey,2019,971
867,East Surrey,2020,873
868,East Surrey,2021,961
869,East Surrey,2022,1126
870,West Sussex (South West),2017,1064
871,West Sussex (South West),2018,1068
872,West Sussex (South West),2019,1111
873,West Sussex (South West),2020,996
874,West Sussex (South West),2021,1098
875,West Sussex (South West),2022,1285
876,West Sussex (North East),2017,938
877,West Sussex (North East),2018,946
878,West Sussex (North East),2019,987
879,West Sussex (North East),2020,890
880,West Sussex (North East),2021,987
881,West Sussex (North East),2022,1159
882,Hampshire and Isle of Wight,2017,5044
883,Hampshire and Isle of Wight,2018,5287
884,Hampshire and Isle of Wight,2019,5492
885,Hampshire and Isle of Wight,2020,4928
886,Hampshire and Isle of Wight,2021,5423
887,Hampshire and Isle of Wight,2022,6351
888,Portsmouth,2017,538
889,Portsmouth,2018,563
890,Portsmouth,2019,582
891,Portsmouth,2020,518
892,Portsmouth,2021,561
893,Portsmouth,2022,656
894,Southampton,2017,639
895,Southampton,2018,669
896,Southampton,2019,690
897,Southampton,2020,616
898,Southampton,2021,671
899,Southampton,2022,795
900,Isle of Wight,2017,361
901,Isle of Wight,2018,378
902,Isle of Wight,2019,392
903,Isle of Wight,2020,349
904,Isle of Wight,2021,382
905,Isle of Wight,2022,443
906,South Hampshire,2017,1155
907,South Hampshire,2018,1210
908,South Hampshire,2019,1256
909,South Hampshire,2020,1128
910,South Hampshire,2021,1242
911,South Hampshire,2022,1449
912,Central Hampshire,2017,1394
913,Central Hampshire,2018,1463
914,Central Hampshire,2019,1525
915,Central Hampshire,2020,1373
916,Central Hampshire,2021,1521
917,Central Hampshire,2022,1782
918,North Hampshire,2017,957
919,North Hampshire,2018,1004
920,North Hampshire,2019,1048
921,North Hampshire,2020,945
922,North Hampshire,2021,1046
923,North Hampshire,2022,1226
924,Kent,2017,3939
925,Kent,2018,4189
926,Kent,2019,4352
927,Kent,2020,3905
928,Kent,2021,4297
929,Kent,2022,5032
930,Medway,2017,603
931,Medway,2018,638
932,Medway,2019,661
933,Medway,2020,592
934,Medway,2021,647
935,Medway,2022,758
936,Kent Thames Gateway,2017,782
937,Kent Thames Gateway,2018,837
938,Kent Thames Gateway,2019,876
939,Kent Thames Gateway,2020,789
940,Kent Thames Gateway,2021,869
941,Kent Thames Gateway,2022,1020
942,East Kent,2017,1129
943,East Kent,2018,1196
944,East Kent,2019,1236
945,East Kent,2020,1105
946,East Kent,2021,1211
947,East Kent,2022,1411
948,Mid Kent,2017,640
949,Mid Kent,2018,685
950,Mid Kent,2019,714
951,Mid Kent,2020,644
952,Mid Kent,2021,717
953,Mid Kent,2022,848
954,West Kent,2017,784
955,West Kent,2018,833
956,West Kent,2019,865
957,West Kent,2020,776
958,West Kent,2021,853
959,West Kent,2022,995
960,South West,2017,11872
961,South West,2018,12771
962,South West,2019,13417
963,South West,2020,11849
964,South West,2021,13273
965,South West,2022,15481
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,5661
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,6050
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,6356
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,5613
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,6288
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,7333
972,"Bristol, City of",2017,1050
973,"Bristol, City of",2018,1123
974,"Bristol, City of",2019,1179
975,"Bristol, City of",2020,1040
976,"Bristol, City of",2021,1155
977,"Bristol, City of",2022,1355
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,1540
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,1648
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,1732
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,1532
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,1717
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,2007
984,Gloucestershire CC,2017,1428
985,Gloucestershire CC,2018,1526
986,Gloucestershire CC,2019,1602
987,Gloucestershire CC,2020,1412
988,Gloucestershire CC,2021,1584
989,Gloucestershire CC,2022,1845
990,Swindon,2017,516
991,Swindon,2018,553
992,Swindon,2019,582
993,Swindon,2020,513
994,Swindon,2021,573
995,Swindon,2022,667
996,Wiltshire,2017,1127
997,Wiltshire,2018,1199
998,Wiltshire,2019,1262
999,Wiltshire,2020,1117
1000,Wiltshire,2021,1258
1001,Wiltshire,2022,1459
1002,Dorset and Somerset,2017,2665
1003,Dorset and Somerset,2018,2820
1004,Dorset and Somerset,2019,2963
1005,Dorset and Somerset,2020,2617
1006,Dorset and Somerset,2021,2931
1007,Dorset and Somerset,2022,3419
1008,Somerset CC,2017,1118
1009,Somerset CC,2018,1185
1010,Somerset CC,2019,1247
1011,Somerset CC,2020,1103
1012,Somerset CC,2021,1240
1013,Somerset CC,2022,1448
1014,"Bournemouth, Christchurch and Poole",2017,799
1015,"Bournemouth, Christchurch and Poole",2018,843
1016,"Bournemouth, Christchurch and Poole",2019,883
1017,"Bournemouth, Christchurch and Poole",2020,778
1018,"Bournemouth, Christchurch and Poole",2021,866
1019,"Bournemouth, Christchurch and Poole",2022,1009
1020,Dorset,2017,749
1021,Dorset,2018,792
1022,Dorset,2019,833
1023,Dorset,2020,736
1024,Dorset,2021,825
1025,Dorset,2022,962
1026,Cornwall and Isles of Scilly,2017,1047
1027,Cornwall and Isles of Scilly,2018,1216
1028,Cornwall and Isles of Scilly,2019,1278
1029,Cornwall and Isles of Scilly,2020,1128
1030,Cornwall and Isles of Scilly,2021,1264
1031,Cornwall and Isles of Scilly,2022,1474
1032,Cornwall and Isles of Scilly,2017,1047
1033,Cornwall and Isles of Scilly,2018,1216
1034,Cornwall and Isles of Scilly,2019,1278
1035,Cornwall and Isles of Scilly,2020,1128
1036,Cornwall and Isles of Scilly,2021,1264
1037,Cornwall and Isles of Scilly,2022,1474
1038,Devon,2017,2499
1039,Devon,2018,2684
1040,Devon,2019,2820
1041,Devon,2020,2491
1042,Devon,2021,2790
1043,Devon,2022,3254
1044,Plymouth,2017,559
1045,Plymouth,2018,598
1046,Plymouth,2019,623
1047,Plymouth,2020,548
1048,Plymouth,2021,606
1049,Plymouth,2022,705
1050,Torbay,2017,289
1051,Torbay,2018,311
1052,Torbay,2019,326
1053,Torbay,2020,287
1054,Torbay,2021,319
1055,Torbay,2022,368
1056,Devon CC,2017,1650
1057,Devon CC,2018,1776
1058,Devon CC,2019,1872
1059,Devon CC,2020,1656
1060,Devon CC,2021,1865
1061,Devon CC,2022,2181
1062,Wales,2017,6310
1063,Wales,2018,6631
1064,Wales,2019,6941
1065,Wales,2020,6256
1066,Wales,2021,6961
1067,Wales,2022,8003
1068,West Wales and The Valleys,2017,4110
1069,West Wales and The Valleys,2018,4387
1070,West Wales and The Valleys,2019,4593
1071,West Wales and The Valleys,2020,4139
1072,West Wales and The Valleys,2021,4605
1073,West Wales and The Valleys,2022,5295
1074,Isle of Anglesey,2017,146
1075,Isle of Anglesey,2018,156
1076,Isle of Anglesey,2019,162
1077,Isle of Anglesey,2020,147
1078,Isle of Anglesey,2021,164
1079,Isle of Anglesey,2022,188
1080,Gwynedd,2017,253
1081,Gwynedd,2018,269
1082,Gwynedd,2019,280
1083,Gwynedd,2020,252
1084,Gwynedd,2021,278
1085,Gwynedd,2022,320
1086,Conwy and Denbighshire,2017,446
1087,Conwy and Denbighshire,2018,475
1088,Conwy and Denbighshire,2019,497
1089,Conwy and Denbighshire,2020,449
1090,Conwy and Denbighshire,2021,501
1091,Conwy and Denbighshire,2022,574
1092,South West Wales,2017,806
1093,South West Wales,2018,859
1094,South West Wales,2019,900
1095,South West Wales,2020,814
1096,South West Wales,2021,910
1097,South West Wales,2022,1048
1098,Central Valleys,2017,629
1099,Central Valleys,2018,673
1100,Central Valleys,2019,706
1101,Central Valleys,2020,635
1102,Central Valleys,2021,705
1103,Central Valleys,2022,811
1104,Gwent Valleys,2017,715
1105,Gwent Valleys,2018,764
1106,Gwent Valleys,2019,799
1107,Gwent Valleys,2020,718
1108,Gwent Valleys,2021,798
1109,Gwent Valleys,2022,914
1110,Bridgend and Neath Port Talbot,2017,605
1111,Bridgend and Neath Port Talbot,2018,648
1112,Bridgend and Neath Port Talbot,2019,680
1113,Bridgend and Neath Port Talbot,2020,614
1114,Bridgend and Neath Port Talbot,2021,684
1115,Bridgend and Neath Port Talbot,2022,784
1116,Swansea,2017,509
1117,Swansea,2018,544
1118,Swansea,2019,568
1119,Swansea,2020,510
1120,Swansea,2021,566
1121,Swansea,2022,657
1122,East Wales,2017,2199
1123,East Wales,2018,2244
1124,East Wales,2019,2349
1125,East Wales,2020,2117
1126,East Wales,2021,2355
1127,East Wales,2022,2708
1128,Monmouthshire and Newport,2017,468
1129,Monmouthshire and Newport,2018,480
1130,Monmouthshire and Newport,2019,504
1131,Monmouthshire and Newport,2020,456
1132,Monmouthshire and Newport,2021,509
1133,Monmouthshire and Newport,2022,583
1134,Cardiff and Vale of Glamorgan,2017,923
1135,Cardiff and Vale of Glamorgan,2018,942
1136,Cardiff and Vale of Glamorgan,2019,988
1137,Cardiff and Vale of Glamorgan,2020,893
1138,Cardiff and Vale of Glamorgan,2021,992
1139,Cardiff and Vale of Glamorgan,2022,1155
1140,Flintshire and Wrexham,2017,555
1141,Flintshire and Wrexham,2018,565
1142,Flintshire and Wrexham,2019,589
1143,Flintshire and Wrexham,2020,528
1144,Flintshire and Wrexham,2021,585
1145,Flintshire and Wrexham,2022,664
1146,Powys,2017,253
1147,Powys,2018,257
1148,Powys,2019,267
1149,Powys,2020,240
1150,Powys,2021,269
1151,Powys,2022,306
1152,Scotland,2017,12003
1153,Scotland,2018,12451
1154,Scotland,2019,13089
1155,Scotland,2020,11733
1156,Scotland,2021,13492
1157,Scotland,2022,15394
1158,North Eastern Scotland,2017,1240
1159,North Eastern Scotland,2018,1238
1160,North Eastern Scotland,2019,1302
1161,North Eastern Scotland,2020,1167
1162,North Eastern Scotland,2021,1342
1163,North Eastern Scotland,2022,1531
1164,Aberdeen City and Aberdeenshire,2017,1240
1165,Aberdeen City and Aberdeenshire,2018,1238
1166,Aberdeen City and Aberdeenshire,2019,1302
1167,Aberdeen City and Aberdeenshire,2020,1167
1168,Aberdeen City and Aberdeenshire,2021,1342
1169,Aberdeen City and Aberdeenshire,2022,1531
1170,Highlands and Islands,2017,944
1171,Highlands and Islands,2018,937
1172,Highlands and Islands,2019,985
1173,Highlands and Islands,2020,883
1174,Highlands and Islands,2021,1015
1175,Highlands and Islands,2022,1158
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,188
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,187
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,197
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,176
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,203
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,231
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,411
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,408
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,430
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,386
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,443
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,506
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,200
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,198
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,208
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,185
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,214
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,244
1194,Na h-Eileanan Siar,2017,54
1195,Na h-Eileanan Siar,2018,54
1196,Na h-Eileanan Siar,2019,56
1197,Na h-Eileanan Siar,2020,50
1198,Na h-Eileanan Siar,2021,57
1199,Na h-Eileanan Siar,2022,65
1200,Orkney Islands,2017,44
1201,Orkney Islands,2018,44
1202,Orkney Islands,2019,47
1203,Orkney Islands,2020,42
1204,Orkney Islands,2021,48
1205,Orkney Islands,2022,55
1206,Shetland Islands,2017,46
1207,Shetland Islands,2018,46
1208,Shetland Islands,2019,48
1209,Shetland Islands,2020,43
1210,Shetland Islands,2021,49
1211,Shetland Islands,2022,56
1212,Eastern Scotland,2017,4341
1213,Eastern Scotland,2018,4509
1214,Eastern Scotland,2019,4739
1215,Eastern Scotland,2020,4248
1216,Eastern Scotland,2021,4885
1217,Eastern Scotland,2022,5574
1218,Angus and Dundee City,2017,580
1219,Angus and Dundee City,2018,599
1220,Angus and Dundee City,2019,628
1221,Angus and Dundee City,2020,560
1222,Angus and Dundee City,2021,640
1223,Angus and Dundee City,2022,730
1224,Clackmannanshire and Fife,2017,926
1225,Clackmannanshire and Fife,2018,958
1226,Clackmannanshire and Fife,2019,1005
1227,Clackmannanshire and Fife,2020,900
1228,Clackmannanshire and Fife,2021,1034
1229,Clackmannanshire and Fife,2022,1180
1230,East Lothian and Midlothian,2017,427
1231,East Lothian and Midlothian,2018,446
1232,East Lothian and Midlothian,2019,472
1233,East Lothian and Midlothian,2020,425
1234,East Lothian and Midlothian,2021,495
1235,East Lothian and Midlothian,2022,565
1236,City of Edinburgh,2017,1124
1237,City of Edinburgh,2018,1174
1238,City of Edinburgh,2019,1241
1239,City of Edinburgh,2020,1116
1240,City of Edinburgh,2021,1277
1241,City of Edinburgh,2022,1457
1242,Falkirk,2017,351
1243,Falkirk,2018,363
1244,Falkirk,2019,380
1245,Falkirk,2020,340
1246,Falkirk,2021,390
1247,Falkirk,2022,445
1248,"Perth and Kinross, and Stirling",2017,537
1249,"Perth and Kinross, and Stirling",2018,556
1250,"Perth and Kinross, and Stirling",2019,582
1251,"Perth and Kinross, and Stirling",2020,520
1252,"Perth and Kinross, and Stirling",2021,600
1253,"Perth and Kinross, and Stirling",2022,684
1254,West Lothian,2017,397
1255,West Lothian,2018,412
1256,West Lothian,2019,433
1257,West Lothian,2020,389
1258,West Lothian,2021,450
1259,West Lothian,2022,514
1260,West Central Scotland,2017,3449
1261,West Central Scotland,2018,3615
1262,West Central Scotland,2019,3800
1263,West Central Scotland,2020,3406
1264,West Central Scotland,2021,3917
1265,West Central Scotland,2022,4469
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,503
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,524
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,548
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,489
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,562
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,641
1272,Glasgow City,2017,1395
1273,Glasgow City,2018,1469
1274,Glasgow City,2019,1552
1275,Glasgow City,2020,1395
1276,Glasgow City,2021,1603
1277,Glasgow City,2022,1829
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,787
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,824
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,864
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,774
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,891
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,1017
1284,North Lanarkshire,2017,764
1285,North Lanarkshire,2018,798
1286,North Lanarkshire,2019,837
1287,North Lanarkshire,2020,749
1288,North Lanarkshire,2021,862
1289,North Lanarkshire,2022,983
1290,Southern Scotland,2017,2029
1291,Southern Scotland,2018,2152
1292,Southern Scotland,2019,2262
1293,Southern Scotland,2020,2028
1294,Southern Scotland,2021,2332
1295,Southern Scotland,2022,2661
1296,Scottish Borders,2017,246
1297,Scottish Borders,2018,262
1298,Scottish Borders,2019,276
1299,Scottish Borders,2020,247
1300,Scottish Borders,2021,285
1301,Scottish Borders,2022,325
1302,Dumfries and Galloway,2017,320
1303,Dumfries and Galloway,2018,338
1304,Dumfries and Galloway,2019,355
1305,Dumfries and Galloway,2020,318
1306,Dumfries and Galloway,2021,365
1307,Dumfries and Galloway,2022,417
1308,East Ayrshire and North Ayrshire mainland,2017,540
1309,East Ayrshire and North Ayrshire mainland,2018,571
1310,East Ayrshire and North Ayrshire mainland,2019,599
1311,East Ayrshire and North Ayrshire mainland,2020,536
1312,East Ayrshire and North Ayrshire mainland,2021,614
1313,East Ayrshire and North Ayrshire mainland,2022,701
1314,South Ayrshire,2017,241
1315,South Ayrshire,2018,256
1316,South Ayrshire,2019,269
1317,South Ayrshire,2020,240
1318,South Ayrshire,2021,276
1319,South Ayrshire,2022,315
1320,South Lanarkshire,2017,682
1321,South Lanarkshire,2018,725
1322,South Lanarkshire,2019,765
1323,South Lanarkshire,2020,687
1324,South Lanarkshire,2021,792
1325,South Lanarkshire,2022,903
1326,Northern Ireland,2017,4106
1327,Northern Ireland,2018,4143
1328,Northern Ireland,2019,4194
1329,Northern Ireland,2020,3817
1330,Northern Ireland,2021,4440
1331,Northern Ireland,2022,5099
1332,Northern Ireland,2017,4106
1333,Northern Ireland,2018,4143
1334,Northern Ireland,2019,4194
1335,Northern Ireland,2020,3817
1336,Northern Ireland,2021,4440
1337,Northern Ireland,2022,5099
1338,Belfast,2017,749
1339,Belfast,2018,755
1340,Belfast,2019,763
1341,Belfast,2020,693
1342,Belfast,2021,804
1343,Belfast,2022,929
1344,"Armagh City, Banbridge and Craigavon",2017,466
1345,"Armagh City, Banbridge and Craigavon",2018,472
1346,"Armagh City, Banbridge and Craigavon",2019,480
1347,"Armagh City, Banbridge and Craigavon",2020,438
1348,"Armagh City, Banbridge and Craigavon",2021,511
1349,"Armagh City, Banbridge and Craigavon",2022,588
1350,"Newry, Mourne and Down",2017,392
1351,"Newry, Mourne and Down",2018,396
1352,"Newry, Mourne and Down",2019,401
1353,"Newry, Mourne and Down",2020,365
1354,"Newry, Mourne and Down",2021,425
1355,"Newry, Mourne and Down",2022,487
1356,Ards and North Down,2017,352
1357,Ards and North Down,2018,355
1358,Ards and North Down,2019,360
1359,Ards and North Down,2020,328
1360,Ards and North Down,2021,382
1361,Ards and North Down,2022,438
1362,Derry City and Strabane,2017,330
1363,Derry City and Strabane,2018,331
1364,Derry City and Strabane,2019,334
1365,Derry City and Strabane,2020,303
1366,Derry City and Strabane,2021,352
1367,Derry City and Strabane,2022,403
1368,Mid Ulster,2017,322
1369,Mid Ulster,2018,325
1370,Mid Ulster,2019,330
1371,Mid Ulster,2020,301
1372,Mid Ulster,2021,351
1373,Mid Ulster,2022,403
1374,Causeway Coast and Glens,2017,312
1375,Causeway Coast and Glens,2018,313
1376,Causeway Coast and Glens,2019,315
1377,Causeway Coast and Glens,2020,286
1378,Causeway Coast and Glens,2021,330
1379,Causeway Coast and Glens,2022,377
1380,Antrim and Newtownabbey,2017,313
1381,Antrim and Newtownabbey,2018,316
1382,Antrim and Newtownabbey,2019,321
1383,Antrim and Newtownabbey,2020,292
1384,Antrim and Newtownabbey,2021,340
1385,Antrim and Newtownabbey,2022,390
1386,Lisburn and Castlereagh,2017,315
1387,Lisburn and Castlereagh,2018,320
1388,Lisburn and Castlereagh,2019,326
1389,Lisburn and Castlereagh,2020,297
1390,Lisburn and Castlereagh,2021,348
1391,Lisburn and Castlereagh,2022,400
1392,Mid and East Antrim,2017,302
1393,Mid and East Antrim,2018,304
1394,Mid and East Antrim,2019,307
1395,Mid and East Antrim,2020,279
1396,Mid and East Antrim,2021,324
1397,Mid and East Antrim,2022,372
1398,Fermanagh and Omagh,2017,254
1399,Fermanagh and Omagh,2018,256
1400,Fermanagh and Omagh,2019,258
1401,Fermanagh and Omagh,2020,234
1402,Fermanagh and Omagh,2021,273
1403,Fermanagh and Omagh,2022,312
1404,Extra-Regio,2017,0
1405,Extra-Regio,2018,0
1406,Extra-Regio,2019,0
1407,Extra-Regio,2020,0
1408,Extra-Regio,2021,0
1409,Extra-Regio,2022,0
1410,United Kingdom less Extra-Regio,2017,143636
1411,United Kingdom less Extra-Regio,2018,149454
1412,United Kingdom less Extra-Regio,2019,155148
1413,United Kingdom less Extra-Regio,2020,139872
1414,United Kingdom less Extra-Regio,2021,158121
1415,United Kingdom less Extra-Regio,2022,183614
