,Region,Year,Gross value added (Balanced) at current basic prices
199,Merseyside,2018,32310
200,Merseyside,2019,34250
201,Merseyside,2020,33262
202,Merseyside,2021,36582
203,Merseyside,2022,39589
204,East Merseyside,2017,10247
205,East Merseyside,2018,10323
206,East Merseyside,2019,10772
207,East Merseyside,2020,10137
208,East Merseyside,2021,11312
209,East Merseyside,2022,11823
210,Liverpool,2017,12806
211,Liverpool,2018,12958
212,Liverpool,2019,14078
213,Liverpool,2020,13599
214,Liverpool,2021,15061
215,Liverpool,2022,16693
216,Sefton,2017,4038
217,Sefton,2018,4106
218,Sefton,2019,4174
219,Sefton,2020,4196
220,Sefton,2021,4663
221,Sefton,2022,4991
222,Wirral,2017,4878
223,Wirral,2018,4923
224,Wirral,2019,5227
225,Wirral,2020,5330
226,Wirral,2021,5546
227,Wirral,2022,6081
228,Yorkshire and The Humber,2017,120103
229,Yorkshire and The Humber,2018,123864
230,Yorkshire and The Humber,2019,128454
231,Yorkshire and The Humber,2020,123702
232,Yorkshire and The Humber,2021,137913
233,Yorkshire and The Humber,2022,151325
234,East Yorkshire and Northern Lincolnshire,2017,19651
235,East Yorkshire and Northern Lincolnshire,2018,20116
236,East Yorkshire and Northern Lincolnshire,2019,21452
237,East Yorkshire and Northern Lincolnshire,2020,20071
238,East Yorkshire and Northern Lincolnshire,2021,23928
239,East Yorkshire and Northern Lincolnshire,2022,26718
240,"Kingston upon Hull, City of",2017,5758
241,"Kingston upon Hull, City of",2018,5938
242,"Kingston upon Hull, City of",2019,6039
243,"Kingston upon Hull, City of",2020,5433
244,"Kingston upon Hull, City of",2021,6325
245,"Kingston upon Hull, City of",2022,6930
246,East Riding of Yorkshire,2017,6416
247,East Riding of Yorkshire,2018,6827
248,East Riding of Yorkshire,2019,7130
249,East Riding of Yorkshire,2020,6924
250,East Riding of Yorkshire,2021,8057
251,East Riding of Yorkshire,2022,8935
252,North and North East Lincolnshire,2017,7477
253,North and North East Lincolnshire,2018,7351
254,North and North East Lincolnshire,2019,8283
255,North and North East Lincolnshire,2020,7714
256,North and North East Lincolnshire,2021,9546
257,North and North East Lincolnshire,2022,10853
258,North Yorkshire,2017,20666
259,North Yorkshire,2018,20866
260,North Yorkshire,2019,21609
261,North Yorkshire,2020,20536
262,North Yorkshire,2021,23396
263,North Yorkshire,2022,25721
264,York,2017,6210
265,York,2018,6366
266,York,2019,6419
267,York,2020,5943
268,York,2021,6776
269,York,2022,7632
270,North Yorkshire CC,2017,14455
271,North Yorkshire CC,2018,14500
272,North Yorkshire CC,2019,15190
273,North Yorkshire CC,2020,14593
274,North Yorkshire CC,2021,16620
275,North Yorkshire CC,2022,18089
276,South Yorkshire,2017,26211
277,South Yorkshire,2018,26536
278,South Yorkshire,2019,27584
279,South Yorkshire,2020,27504
280,South Yorkshire,2021,29548
281,South Yorkshire,2022,32159
282,"Barnsley, Doncaster and Rotherham",2017,13712
283,"Barnsley, Doncaster and Rotherham",2018,13965
284,"Barnsley, Doncaster and Rotherham",2019,14439
285,"Barnsley, Doncaster and Rotherham",2020,14265
286,"Barnsley, Doncaster and Rotherham",2021,15222
287,"Barnsley, Doncaster and Rotherham",2022,16477
288,Sheffield,2017,12500
289,Sheffield,2018,12571
290,Sheffield,2019,13146
291,Sheffield,2020,13240
292,Sheffield,2021,14326
293,Sheffield,2022,15681
294,West Yorkshire,2017,53575
295,West Yorkshire,2018,56346
296,West Yorkshire,2019,57807
297,West Yorkshire,2020,55591
298,West Yorkshire,2021,61041
299,West Yorkshire,2022,66727
300,Bradford,2017,9469
301,Bradford,2018,9600
302,Bradford,2019,9714
303,Bradford,2020,9661
304,Bradford,2021,10352
305,Bradford,2022,11411
306,Leeds,2017,24964
307,Leeds,2018,26483
308,Leeds,2019,27405
309,Leeds,2020,25982
310,Leeds,2021,28920
311,Leeds,2022,31959
312,Calderdale and Kirklees,2017,12059
313,Calderdale and Kirklees,2018,12718
314,Calderdale and Kirklees,2019,12776
315,Calderdale and Kirklees,2020,12273
316,Calderdale and Kirklees,2021,13483
317,Calderdale and Kirklees,2022,14164
318,Wakefield,2017,7083
319,Wakefield,2018,7546
320,Wakefield,2019,7913
321,Wakefield,2020,7674
322,Wakefield,2021,8287
323,Wakefield,2022,9194
324,East Midlands,2017,104846
325,East Midlands,2018,109472
326,East Midlands,2019,113367
327,East Midlands,2020,110744
