,Region,Year,Gross value added (Balanced) at current basic prices
828,Buckinghamshire CC,2017,14402
829,Buckinghamshire CC,2018,14938
830,Buckinghamshire CC,2019,16144
831,Buckinghamshire CC,2020,15859
832,Buckinghamshire CC,2021,16685
833,Buckinghamshire CC,2022,18054
834,Oxfordshire CC,2017,21065
835,Oxfordshire CC,2018,22059
836,Oxfordshire CC,2019,23589
837,Oxfordshire CC,2020,24628
838,Oxfordshire CC,2021,25517
839,Oxfordshire CC,2022,28218
840,"Surrey, East and West Sussex",2017,82713
841,"Surrey, East and West Sussex",2018,84802
842,"Surrey, East and West Sussex",2019,88802
843,"Surrey, East and West Sussex",2020,86540
844,"Surrey, East and West Sussex",2021,91329
845,"Surrey, East and West Sussex",2022,99982
846,Brighton and Hove,2017,8104
847,Brighton and Hove,2018,8454
848,Brighton and Hove,2019,8885
849,Brighton and Hove,2020,8733
850,Brighton and Hove,2021,9623
851,Brighton and Hove,2022,11263
852,East Sussex CC,2017,8754
853,East Sussex CC,2018,8957
854,East Sussex CC,2019,9344
855,East Sussex CC,2020,9255
856,East Sussex CC,2021,10050
857,East Sussex CC,2022,10688
858,West Surrey,2017,29357
859,West Surrey,2018,30616
860,West Surrey,2019,32643
861,West Surrey,2020,33092
862,West Surrey,2021,33688
863,West Surrey,2022,35312
864,East Surrey,2017,14167
865,East Surrey,2018,13465
866,East Surrey,2019,13791
867,East Surrey,2020,12958
868,East Surrey,2021,13882
869,East Surrey,2022,15994
870,West Sussex (South West),2017,10272
871,West Sussex (South West),2018,10731
872,West Sussex (South West),2019,11155
873,West Sussex (South West),2020,10924
874,West Sussex (South West),2021,11649
875,West Sussex (South West),2022,12923
876,West Sussex (North East),2017,12059
877,West Sussex (North East),2018,12579
878,West Sussex (North East),2019,12983
879,West Sussex (North East),2020,11577
880,West Sussex (North East),2021,12437
881,West Sussex (North East),2022,13802
882,Hampshire and Isle of Wight,2017,56612
883,Hampshire and Isle of Wight,2018,58072
884,Hampshire and Isle of Wight,2019,62018
885,Hampshire and Isle of Wight,2020,59699
886,Hampshire and Isle of Wight,2021,63009
887,Hampshire and Isle of Wight,2022,69543
888,Portsmouth,2017,5832
889,Portsmouth,2018,5929
890,Portsmouth,2019,6436
891,Portsmouth,2020,6371
892,Portsmouth,2021,6743
893,Portsmouth,2022,7509
894,Southampton,2017,8276
895,Southampton,2018,8558
896,Southampton,2019,8856
897,Southampton,2020,8475
898,Southampton,2021,8931
899,Southampton,2022,10023
900,Isle of Wight,2017,2420
901,Isle of Wight,2018,2451
902,Isle of Wight,2019,2637
903,Isle of Wight,2020,2554
904,Isle of Wight,2021,2747
905,Isle of Wight,2022,3067
906,South Hampshire,2017,10851
907,South Hampshire,2018,10576
908,South Hampshire,2019,11044
909,South Hampshire,2020,10627
910,South Hampshire,2021,11259
911,South Hampshire,2022,12145
912,Central Hampshire,2017,15134
913,Central Hampshire,2018,15491
914,Central Hampshire,2019,16422
915,Central Hampshire,2020,15462
916,Central Hampshire,2021,16664
917,Central Hampshire,2022,18662
918,North Hampshire,2017,14098
919,North Hampshire,2018,15068
920,North Hampshire,2019,16623
921,North Hampshire,2020,16209
922,North Hampshire,2021,16665
923,North Hampshire,2022,18137
924,Kent,2017,41373
925,Kent,2018,42927
926,Kent,2019,45287
927,Kent,2020,44561
928,Kent,2021,46538
929,Kent,2022,50692
930,Medway,2017,5353
931,Medway,2018,5491
932,Medway,2019,5902
933,Medway,2020,5993
934,Medway,2021,6000
935,Medway,2022,6715
936,Kent Thames Gateway,2017,7951
937,Kent Thames Gateway,2018,8250
938,Kent Thames Gateway,2019,8799
939,Kent Thames Gateway,2020,8590
940,Kent Thames Gateway,2021,9237
941,Kent Thames Gateway,2022,9523
942,East Kent,2017,9756
943,East Kent,2018,10070
944,East Kent,2019,10328
945,East Kent,2020,10081
946,East Kent,2021,10525
947,East Kent,2022,11841
948,Mid Kent,2017,6853
949,Mid Kent,2018,7176
950,Mid Kent,2019,7745
951,Mid Kent,2020,7641
952,Mid Kent,2021,7966
953,Mid Kent,2022,8726
954,West Kent,2017,11461
955,West Kent,2018,11941
956,West Kent,2019,12513
957,West Kent,2020,12257
958,West Kent,2021,12810
959,West Kent,2022,13887
960,South West,2017,137317
961,South West,2018,140949
962,South West,2019,146854
963,South West,2020,140362
964,South West,2021,156289
965,South West,2022,172264
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,72232
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,74295
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,78015
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,74882
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,82317
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,90942
972,"Bristol, City of",2017,15242
973,"Bristol, City of",2018,15103
974,"Bristol, City of",2019,15910
975,"Bristol, City of",2020,15369
976,"Bristol, City of",2021,17543
977,"Bristol, City of",2022,19306
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,19147
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,19957
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,20945
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,20488
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,22523
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,25333
984,Gloucestershire CC,2017,17129
985,Gloucestershire CC,2018,17591
986,Gloucestershire CC,2019,18743
987,Gloucestershire CC,2020,17851
988,Gloucestershire CC,2021,19470
989,Gloucestershire CC,2022,20442
990,Swindon,2017,9283
991,Swindon,2018,9818
992,Swindon,2019,10174
993,Swindon,2020,9334
994,Swindon,2021,9795
995,Swindon,2022,11469
996,Wiltshire,2017,11432
997,Wiltshire,2018,11826
998,Wiltshire,2019,12243
999,Wiltshire,2020,11840
1000,Wiltshire,2021,12987
1001,Wiltshire,2022,14391
1002,Dorset and Somerset,2017,29468
1003,Dorset and Somerset,2018,30410
1004,Dorset and Somerset,2019,31335
1005,Dorset and Somerset,2020,30187
1006,Dorset and Somerset,2021,32900
1007,Dorset and Somerset,2022,36045
1008,Somerset CC,2017,11609
1009,Somerset CC,2018,12035
1010,Somerset CC,2019,12307
1011,Somerset CC,2020,11960
1012,Somerset CC,2021,12768
1013,Somerset CC,2022,14113
1014,"Bournemouth, Christchurch and Poole",2017,10432
1015,"Bournemouth, Christchurch and Poole",2018,10422
1016,"Bournemouth, Christchurch and Poole",2019,10827
1017,"Bournemouth, Christchurch and Poole",2020,10372
1018,"Bournemouth, Christchurch and Poole",2021,11449
1019,"Bournemouth, Christchurch and Poole",2022,12346
1020,Dorset,2017,7427
1021,Dorset,2018,7953
1022,Dorset,2019,8201
1023,Dorset,2020,7855
1024,Dorset,2021,8683
1025,Dorset,2022,9585
1026,Cornwall and Isles of Scilly,2017,10839
1027,Cornwall and Isles of Scilly,2018,11116
1028,Cornwall and Isles of Scilly,2019,11485
1029,Cornwall and Isles of Scilly,2020,10950
1030,Cornwall and Isles of Scilly,2021,12602
1031,Cornwall and Isles of Scilly,2022,13852
1032,Cornwall and Isles of Scilly,2017,10839
1033,Cornwall and Isles of Scilly,2018,11116
1034,Cornwall and Isles of Scilly,2019,11485
1035,Cornwall and Isles of Scilly,2020,10950
1036,Cornwall and Isles of Scilly,2021,12602
1037,Cornwall and Isles of Scilly,2022,13852
1038,Devon,2017,24778
1039,Devon,2018,25126
1040,Devon,2019,26019
1041,Devon,2020,24343
1042,Devon,2021,28469
1043,Devon,2022,31426
1044,Plymouth,2017,5570
1045,Plymouth,2018,5724
1046,Plymouth,2019,5874
1047,Plymouth,2020,5487
1048,Plymouth,2021,6253
1049,Plymouth,2022,6970
1050,Torbay,2017,1891
1051,Torbay,2018,1839
1052,Torbay,2019,1932
1053,Torbay,2020,1839
1054,Torbay,2021,2208
1055,Torbay,2022,2404
1056,Devon CC,2017,17318
1057,Devon CC,2018,17564
1058,Devon CC,2019,18214
1059,Devon CC,2020,17017
1060,Devon CC,2021,20008
1061,Devon CC,2022,22053
1062,Wales,2017,62822
1063,Wales,2018,65188
1064,Wales,2019,68040
1065,Wales,2020,64841
1066,Wales,2021,68053
1067,Wales,2022,74545
1068,West Wales and The Valleys,2017,34413
1069,West Wales and The Valleys,2018,35513
1070,West Wales and The Valleys,2019,37196
1071,West Wales and The Valleys,2020,34913
1072,West Wales and The Valleys,2021,36823
1073,West Wales and The Valleys,2022,40408
1074,Isle of Anglesey,2017,1019
1075,Isle of Anglesey,2018,1082
1076,Isle of Anglesey,2019,1151
1077,Isle of Anglesey,2020,1014
1078,Isle of Anglesey,2021,1139
1079,Isle of Anglesey,2022,1345
1080,Gwynedd,2017,2345
1081,Gwynedd,2018,2389
1082,Gwynedd,2019,2464
1083,Gwynedd,2020,2217
1084,Gwynedd,2021,2426
1085,Gwynedd,2022,2611
1086,Conwy and Denbighshire,2017,3587
1087,Conwy and Denbighshire,2018,3658
1088,Conwy and Denbighshire,2019,3751
1089,Conwy and Denbighshire,2020,3622
1090,Conwy and Denbighshire,2021,3796
1091,Conwy and Denbighshire,2022,4131
1092,South West Wales,2017,6767
1093,South West Wales,2018,6876
1094,South West Wales,2019,7334
1095,South West Wales,2020,6796
1096,South West Wales,2021,7241
1097,South West Wales,2022,8201
1098,Central Valleys,2017,5082
1099,Central Valleys,2018,5177
1100,Central Valleys,2019,5290
1101,Central Valleys,2020,5073
1102,Central Valleys,2021,5195
1103,Central Valleys,2022,5777
1104,Gwent Valleys,2017,5079
1105,Gwent Valleys,2018,5316
1106,Gwent Valleys,2019,5586
1107,Gwent Valleys,2020,5320
1108,Gwent Valleys,2021,5641
1109,Gwent Valleys,2022,6268
1110,Bridgend and Neath Port Talbot,2017,5289
1111,Bridgend and Neath Port Talbot,2018,5478
1112,Bridgend and Neath Port Talbot,2019,5906
1113,Bridgend and Neath Port Talbot,2020,5517
1114,Bridgend and Neath Port Talbot,2021,5882
1115,Bridgend and Neath Port Talbot,2022,6302
1116,Swansea,2017,5244
1117,Swansea,2018,5537
1118,Swansea,2019,5714
1119,Swansea,2020,5353
1120,Swansea,2021,5502
1121,Swansea,2022,5774
1122,East Wales,2017,28410
1123,East Wales,2018,29675
1124,East Wales,2019,30845
1125,East Wales,2020,29928
1126,East Wales,2021,31230
1127,East Wales,2022,34136
1128,Monmouthshire and Newport,2017,5578
1129,Monmouthshire and Newport,2018,6048
1130,Monmouthshire and Newport,2019,6231
1131,Monmouthshire and Newport,2020,5981
1132,Monmouthshire and Newport,2021,6130
1133,Monmouthshire and Newport,2022,6644
1134,Cardiff and Vale of Glamorgan,2017,13510
1135,Cardiff and Vale of Glamorgan,2018,13796
1136,Cardiff and Vale of Glamorgan,2019,14494
1137,Cardiff and Vale of Glamorgan,2020,14160
1138,Cardiff and Vale of Glamorgan,2021,14858
1139,Cardiff and Vale of Glamorgan,2022,16217
1140,Flintshire and Wrexham,2017,7151
1141,Flintshire and Wrexham,2018,7583
1142,Flintshire and Wrexham,2019,7852
1143,Flintshire and Wrexham,2020,7562
1144,Flintshire and Wrexham,2021,7941
1145,Flintshire and Wrexham,2022,8725
1146,Powys,2017,2170
1147,Powys,2018,2248
1148,Powys,2019,2268
1149,Powys,2020,2225
1150,Powys,2021,2300
1151,Powys,2022,2550
1152,Scotland,2017,140538
1153,Scotland,2018,143341
1154,Scotland,2019,148903
1155,Scotland,2020,140724
1156,Scotland,2021,151499
1157,Scotland,2022,165714
1158,North Eastern Scotland,2017,16482
1159,North Eastern Scotland,2018,16688
1160,North Eastern Scotland,2019,16933
1161,North Eastern Scotland,2020,15383
1162,North Eastern Scotland,2021,16089
1163,North Eastern Scotland,2022,17905
1164,Aberdeen City and Aberdeenshire,2017,16482
1165,Aberdeen City and Aberdeenshire,2018,16688
1166,Aberdeen City and Aberdeenshire,2019,16933
1167,Aberdeen City and Aberdeenshire,2020,15383
1168,Aberdeen City and Aberdeenshire,2021,16089
1169,Aberdeen City and Aberdeenshire,2022,17905
1170,Highlands and Islands,2017,11555
1171,Highlands and Islands,2018,11737
1172,Highlands and Islands,2019,12227
1173,Highlands and Islands,2020,11379
1174,Highlands and Islands,2021,12165
1175,Highlands and Islands,2022,13302
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,1965
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,2004
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,2124
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,2063
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,2221
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,2463
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,5402
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,5543
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,5639
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,5239
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,5599
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,6193
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,2373
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,2397
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,2535
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,2278
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,2452
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,2691
1194,Na h-Eileanan Siar,2017,500
1195,Na h-Eileanan Siar,2018,524
1196,Na h-Eileanan Siar,2019,565
1197,Na h-Eileanan Siar,2020,549
1198,Na h-Eileanan Siar,2021,581
1199,Na h-Eileanan Siar,2022,583
1200,Orkney Islands,2017,552
1201,Orkney Islands,2018,515
1202,Orkney Islands,2019,555
1203,Orkney Islands,2020,512
1204,Orkney Islands,2021,553
1205,Orkney Islands,2022,603
1206,Shetland Islands,2017,762
1207,Shetland Islands,2018,755
1208,Shetland Islands,2019,810
1209,Shetland Islands,2020,739
1210,Shetland Islands,2021,759
1211,Shetland Islands,2022,770
1212,Eastern Scotland,2017,55069
1213,Eastern Scotland,2018,56581
1214,Eastern Scotland,2019,59124
1215,Eastern Scotland,2020,55933
1216,Eastern Scotland,2021,61037
1217,Eastern Scotland,2022,66842
1218,Angus and Dundee City,2017,5252
1219,Angus and Dundee City,2018,5439
1220,Angus and Dundee City,2019,5749
1221,Angus and Dundee City,2020,5400
1222,Angus and Dundee City,2021,5877
1223,Angus and Dundee City,2022,6330
1224,Clackmannanshire and Fife,2017,8060
1225,Clackmannanshire and Fife,2018,8066
1226,Clackmannanshire and Fife,2019,8421
1227,Clackmannanshire and Fife,2020,8227
1228,Clackmannanshire and Fife,2021,8876
1229,Clackmannanshire and Fife,2022,9690
1230,East Lothian and Midlothian,2017,3123
1231,East Lothian and Midlothian,2018,3305
1232,East Lothian and Midlothian,2019,3449
1233,East Lothian and Midlothian,2020,3295
1234,East Lothian and Midlothian,2021,3638
1235,East Lothian and Midlothian,2022,3886
1236,City of Edinburgh,2017,23882
1237,City of Edinburgh,2018,24659
1238,City of Edinburgh,2019,25759
1239,City of Edinburgh,2020,24200
1240,City of Edinburgh,2021,26582
1241,City of Edinburgh,2022,29713
1242,Falkirk,2017,3669
1243,Falkirk,2018,3814
1244,Falkirk,2019,3995
1245,Falkirk,2020,3800
1246,Falkirk,2021,4074
1247,Falkirk,2022,4199
1248,"Perth and Kinross, and Stirling",2017,6634
1249,"Perth and Kinross, and Stirling",2018,6614
1250,"Perth and Kinross, and Stirling",2019,6943
1251,"Perth and Kinross, and Stirling",2020,6273
1252,"Perth and Kinross, and Stirling",2021,6816
1253,"Perth and Kinross, and Stirling",2022,7232
1254,West Lothian,2017,4449
1255,West Lothian,2018,4685
1256,West Lothian,2019,4808
1257,West Lothian,2020,4737
1258,West Lothian,2021,5173
1259,West Lothian,2022,5791
1260,West Central Scotland,2017,38614
1261,West Central Scotland,2018,39435
1262,West Central Scotland,2019,41231
1263,West Central Scotland,2020,39663
1264,West Central Scotland,2021,42987
1265,West Central Scotland,2022,46642
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,3690
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,3832
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,3974
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,3672
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,3991
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,4371
1272,Glasgow City,2017,20671
1273,Glasgow City,2018,21075
1274,Glasgow City,2019,22250
1275,Glasgow City,2020,21531
1276,Glasgow City,2021,23438
1277,Glasgow City,2022,25845
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,6536
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,6627
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,6734
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,6447
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,7053
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,7218
1284,North Lanarkshire,2017,7716
1285,North Lanarkshire,2018,7901
1286,North Lanarkshire,2019,8274
1287,North Lanarkshire,2020,8013
1288,North Lanarkshire,2021,8505
1289,North Lanarkshire,2022,9208
1290,Southern Scotland,2017,18818
1291,Southern Scotland,2018,18899
1292,Southern Scotland,2019,19387
1293,Southern Scotland,2020,18365
1294,Southern Scotland,2021,19222
1295,Southern Scotland,2022,21023
1296,Scottish Borders,2017,2257
1297,Scottish Borders,2018,2367
1298,Scottish Borders,2019,2422
1299,Scottish Borders,2020,2335
1300,Scottish Borders,2021,2512
1301,Scottish Borders,2022,2506
1302,Dumfries and Galloway,2017,3395
1303,Dumfries and Galloway,2018,3393
1304,Dumfries and Galloway,2019,3559
1305,Dumfries and Galloway,2020,3397
1306,Dumfries and Galloway,2021,3537
1307,Dumfries and Galloway,2022,3782
1308,East Ayrshire and North Ayrshire mainland,2017,4010
1309,East Ayrshire and North Ayrshire mainland,2018,3974
1310,East Ayrshire and North Ayrshire mainland,2019,4079
1311,East Ayrshire and North Ayrshire mainland,2020,3989
1312,East Ayrshire and North Ayrshire mainland,2021,4240
1313,East Ayrshire and North Ayrshire mainland,2022,4720
1314,South Ayrshire,2017,2361
1315,South Ayrshire,2018,2424
1316,South Ayrshire,2019,2446
1317,South Ayrshire,2020,2168
1318,South Ayrshire,2021,2263
1319,South Ayrshire,2022,2552
1320,South Lanarkshire,2017,6795
1321,South Lanarkshire,2018,6741
1322,South Lanarkshire,2019,6881
1323,South Lanarkshire,2020,6476
1324,South Lanarkshire,2021,6670
1325,South Lanarkshire,2022,7463
1326,Northern Ireland,2017,40166
1327,Northern Ireland,2018,41406
1328,Northern Ireland,2019,43816
1329,Northern Ireland,2020,42110
1330,Northern Ireland,2021,46193
1331,Northern Ireland,2022,49901
1332,Northern Ireland,2017,40166
1333,Northern Ireland,2018,41406
1334,Northern Ireland,2019,43816
1335,Northern Ireland,2020,42110
1336,Northern Ireland,2021,46193
1337,Northern Ireland,2022,49901
1338,Belfast,2017,12772
1339,Belfast,2018,13189
1340,Belfast,2019,13715
1341,Belfast,2020,13067
1342,Belfast,2021,14978
1343,Belfast,2022,16187
1344,"Armagh City, Banbridge and Craigavon",2017,3642
1345,"Armagh City, Banbridge and Craigavon",2018,3889
1346,"Armagh City, Banbridge and Craigavon",2019,4119
1347,"Armagh City, Banbridge and Craigavon",2020,3942
1348,"Armagh City, Banbridge and Craigavon",2021,4256
1349,"Armagh City, Banbridge and Craigavon",2022,4575
1350,"Newry, Mourne and Down",2017,2882
1351,"Newry, Mourne and Down",2018,3016
1352,"Newry, Mourne and Down",2019,3239
1353,"Newry, Mourne and Down",2020,3127
1354,"Newry, Mourne and Down",2021,3317
1355,"Newry, Mourne and Down",2022,3606
1356,Ards and North Down,2017,2019
1357,Ards and North Down,2018,2120
1358,Ards and North Down,2019,2240
1359,Ards and North Down,2020,2150
1360,Ards and North Down,2021,2252
1361,Ards and North Down,2022,2342
1362,Derry City and Strabane,2017,2657
1363,Derry City and Strabane,2018,2725
1364,Derry City and Strabane,2019,2954
1365,Derry City and Strabane,2020,2965
1366,Derry City and Strabane,2021,3119
1367,Derry City and Strabane,2022,3421
1368,Mid Ulster,2017,3097
1369,Mid Ulster,2018,3386
1370,Mid Ulster,2019,3678
1371,Mid Ulster,2020,3403
1372,Mid Ulster,2021,3769
1373,Mid Ulster,2022,4185
1374,Causeway Coast and Glens,2017,2154
1375,Causeway Coast and Glens,2018,2156
1376,Causeway Coast and Glens,2019,2245
1377,Causeway Coast and Glens,2020,2133
1378,Causeway Coast and Glens,2021,2330
1379,Causeway Coast and Glens,2022,2504
1380,Antrim and Newtownabbey,2017,3103
1381,Antrim and Newtownabbey,2018,3183
1382,Antrim and Newtownabbey,2019,3394
1383,Antrim and Newtownabbey,2020,3409
1384,Antrim and Newtownabbey,2021,3547
1385,Antrim and Newtownabbey,2022,3746
1386,Lisburn and Castlereagh,2017,3017
1387,Lisburn and Castlereagh,2018,3210
1388,Lisburn and Castlereagh,2019,3445
1389,Lisburn and Castlereagh,2020,3260
1390,Lisburn and Castlereagh,2021,3563
1391,Lisburn and Castlereagh,2022,3907
1392,Mid and East Antrim,2017,2764
1393,Mid and East Antrim,2018,2356
1394,Mid and East Antrim,2019,2491
1395,Mid and East Antrim,2020,2397
1396,Mid and East Antrim,2021,2581
1397,Mid and East Antrim,2022,2769
1398,Fermanagh and Omagh,2017,2061
1399,Fermanagh and Omagh,2018,2176
1400,Fermanagh and Omagh,2019,2295
1401,Fermanagh and Omagh,2020,2256
1402,Fermanagh and Omagh,2021,2481
1403,Fermanagh and Omagh,2022,2660
1404,Extra-Regio,2017,14758
1405,Extra-Regio,2018,20187
1406,Extra-Regio,2019,18510
1407,Extra-Regio,2020,12346
1408,Extra-Regio,2021,12105
1409,Extra-Regio,2022,15620
1410,United Kingdom less Extra-Regio,2017,1842006
1411,United Kingdom less Extra-Regio,2018,1900102
1412,United Kingdom less Extra-Regio,2019,1977198
1413,United Kingdom less Extra-Regio,2020,1885611
1414,United Kingdom less Extra-Regio,2021,2034531
1415,United Kingdom less Extra-Regio,2022,2230427
