,Region,Year,Gross domestic product (GDP) at current market prices
199,Merseyside,2018,37320
200,Merseyside,2019,39369
201,Merseyside,2020,37866
202,Merseyside,2021,41911
203,Merseyside,2022,45413
204,East Merseyside,2017,11685
205,East Merseyside,2018,11881
206,East Merseyside,2019,12366
207,East Merseyside,2020,11580
208,East Merseyside,2021,12987
209,East Merseyside,2022,13630
210,Liverpool,2017,14270
211,Liverpool,2018,14556
212,Liverpool,2019,15706
213,Liverpool,2020,15038
214,Liverpool,2021,16755
215,Liverpool,2022,18604
216,Sefton,2017,4815
217,Sefton,2018,4957
218,Sefton,2019,5044
219,Sefton,2020,4990
220,Sefton,2021,5578
221,Sefton,2022,5976
222,Wirral,2017,5803
223,Wirral,2018,5927
224,Wirral,2019,6253
225,Wirral,2020,6258
226,Wirral,2021,6591
227,Wirral,2022,7203
228,Yorkshire and The Humber,2017,137625
229,Yorkshire and The Humber,2018,141828
230,Yorkshire and The Humber,2019,146697
231,Yorkshire and The Humber,2020,139350
232,Yorkshire and The Humber,2021,155548
233,Yorkshire and The Humber,2022,170304
234,East Yorkshire and Northern Lincolnshire,2017,22750
235,East Yorkshire and Northern Lincolnshire,2018,23375
236,East Yorkshire and Northern Lincolnshire,2019,24760
237,East Yorkshire and Northern Lincolnshire,2020,22810
238,East Yorkshire and Northern Lincolnshire,2021,27183
239,East Yorkshire and Northern Lincolnshire,2022,30174
240,"Kingston upon Hull, City of",2017,6592
241,"Kingston upon Hull, City of",2018,6815
242,"Kingston upon Hull, City of",2019,6921
243,"Kingston upon Hull, City of",2020,6147
244,"Kingston upon Hull, City of",2021,7171
245,"Kingston upon Hull, City of",2022,7861
246,East Riding of Yorkshire,2017,7539
247,East Riding of Yorkshire,2018,8007
248,East Riding of Yorkshire,2019,8336
249,East Riding of Yorkshire,2020,7926
250,East Riding of Yorkshire,2021,9190
251,East Riding of Yorkshire,2022,10163
252,North and North East Lincolnshire,2017,8619
253,North and North East Lincolnshire,2018,8552
254,North and North East Lincolnshire,2019,9503
255,North and North East Lincolnshire,2020,8737
256,North and North East Lincolnshire,2021,10822
257,North and North East Lincolnshire,2022,12150
258,North Yorkshire,2017,23577
259,North Yorkshire,2018,23900
260,North Yorkshire,2019,24689
261,North Yorkshire,2020,23305
262,North Yorkshire,2021,26279
263,North Yorkshire,2022,28856
264,York,2017,6892
265,York,2018,7069
266,York,2019,7125
267,York,2020,6695
268,York,2021,7427
269,York,2022,8351
270,North Yorkshire CC,2017,16684
271,North Yorkshire CC,2018,16832
272,North Yorkshire CC,2019,17564
273,North Yorkshire CC,2020,16609
274,North Yorkshire CC,2021,18852
275,North Yorkshire CC,2022,20505
276,South Yorkshire,2017,30487
277,South Yorkshire,2018,30942
278,South Yorkshire,2019,32070
279,South Yorkshire,2020,31317
280,South Yorkshire,2021,33932
281,South Yorkshire,2022,36869
282,"Barnsley, Doncaster and Rotherham",2017,16356
283,"Barnsley, Doncaster and Rotherham",2018,16693
284,"Barnsley, Doncaster and Rotherham",2019,17218
285,"Barnsley, Doncaster and Rotherham",2020,16607
286,"Barnsley, Doncaster and Rotherham",2021,17938
287,"Barnsley, Doncaster and Rotherham",2022,19375
288,Sheffield,2017,14132
289,Sheffield,2018,14249
290,Sheffield,2019,14851
291,Sheffield,2020,14710
292,Sheffield,2021,15993
293,Sheffield,2022,17494
294,West Yorkshire,2017,60811
295,West Yorkshire,2018,63610
296,West Yorkshire,2019,65178
297,West Yorkshire,2020,61919
298,West Yorkshire,2021,68155
299,West Yorkshire,2022,74405
300,Bradford,2017,11009
301,Bradford,2018,11139
302,Bradford,2019,11282
303,Bradford,2020,11037
304,Bradford,2021,11892
305,Bradford,2022,13067
306,Leeds,2017,27574
307,Leeds,2018,29096
308,Leeds,2019,30066
