,Region,Year,Gross domestic product (GDP) at current market prices
830,Buckinghamshire CC,2019,18246
831,Buckinghamshire CC,2020,17733
832,Buckinghamshire CC,2021,18787
833,Buckinghamshire CC,2022,20366
834,Oxfordshire CC,2017,23502
835,Oxfordshire CC,2018,24586
836,Oxfordshire CC,2019,26187
837,Oxfordshire CC,2020,26846
838,Oxfordshire CC,2021,28050
839,Oxfordshire CC,2022,31072
840,"Surrey, East and West Sussex",2017,93711
841,"Surrey, East and West Sussex",2018,95764
842,"Surrey, East and West Sussex",2019,100019
843,"Surrey, East and West Sussex",2020,95754
844,"Surrey, East and West Sussex",2021,101662
845,"Surrey, East and West Sussex",2022,111766
846,Brighton and Hove,2017,9013
847,Brighton and Hove,2018,9366
848,Brighton and Hove,2019,9831
849,Brighton and Hove,2020,9521
850,Brighton and Hove,2021,10456
851,Brighton and Hove,2022,12234
852,East Sussex CC,2017,10549
853,East Sussex CC,2018,10737
854,East Sussex CC,2019,11172
855,East Sussex CC,2020,10858
856,East Sussex CC,2021,11825
857,East Sussex CC,2022,12633
858,West Surrey,2017,32576
859,West Surrey,2018,33833
860,West Surrey,2019,35918
861,West Surrey,2020,35817
862,West Surrey,2021,36834
863,West Surrey,2022,38823
864,East Surrey,2017,15881
865,East Surrey,2018,15153
866,East Surrey,2019,15522
867,East Surrey,2020,14370
868,East Surrey,2021,15466
869,East Surrey,2022,17802
870,West Sussex (South West),2017,11795
871,West Sussex (South West),2018,12241
872,West Sussex (South West),2019,12717
873,West Sussex (South West),2020,12286
874,West Sussex (South West),2021,13144
875,West Sussex (South West),2022,14638
876,West Sussex (North East),2017,13898
877,West Sussex (North East),2018,14434
878,West Sussex (North East),2019,14860
879,West Sussex (North East),2020,12902
880,West Sussex (North East),2021,13937
881,West Sussex (North East),2022,15635
882,Hampshire and Isle of Wight,2017,64372
883,Hampshire and Isle of Wight,2018,66050
884,Hampshire and Isle of Wight,2019,70228
885,Hampshire and Isle of Wight,2020,66773
886,Hampshire and Isle of Wight,2021,71053
887,Hampshire and Isle of Wight,2022,78583
888,Portsmouth,2017,6609
889,Portsmouth,2018,6725
890,Portsmouth,2019,7254
891,Portsmouth,2020,7071
892,Portsmouth,2021,7512
893,Portsmouth,2022,8377
894,Southampton,2017,9103
895,Southampton,2018,9418
896,Southampton,2019,9739
897,Southampton,2020,9227
898,Southampton,2021,9790
899,Southampton,2022,10993
900,Isle of Wight,2017,2898
901,Isle of Wight,2018,2947
902,Isle of Wight,2019,3151
903,Isle of Wight,2020,3008
904,Isle of Wight,2021,3250
905,Isle of Wight,2022,3622
906,South Hampshire,2017,12622
907,South Hampshire,2018,12357
908,South Hampshire,2019,12858
909,South Hampshire,2020,12212
910,South Hampshire,2021,13031
911,South Hampshire,2022,14107
912,Central Hampshire,2017,17521
913,Central Hampshire,2018,17906
914,Central Hampshire,2019,18907
915,Central Hampshire,2020,17601
916,Central Hampshire,2021,19139
917,Central Hampshire,2022,21370
918,North Hampshire,2017,15619
919,North Hampshire,2018,16698
920,North Hampshire,2019,18319
921,North Hampshire,2020,17654
922,North Hampshire,2021,18330
923,North Hampshire,2022,20113
924,Kent,2017,47616
925,Kent,2018,49458
926,Kent,2019,51938
927,Kent,2020,50256
928,Kent,2021,53105
929,Kent,2022,58012
930,Medway,2017,6221
931,Medway,2018,6404
932,Medway,2019,6847
933,Medway,2020,6810
934,Medway,2021,6909
935,Medway,2022,7708
936,Kent Thames Gateway,2017,9242
937,Kent Thames Gateway,2018,9581
938,Kent Thames Gateway,2019,10159
939,Kent Thames Gateway,2020,9798
940,Kent Thames Gateway,2021,10668
941,Kent Thames Gateway,2022,11083
942,East Kent,2017,11332
943,East Kent,2018,11716
944,East Kent,2019,12011
945,East Kent,2020,11442
946,East Kent,2021,12080
947,East Kent,2022,13607
948,Mid Kent,2017,7865
949,Mid Kent,2018,8252
950,Mid Kent,2019,8843
951,Mid Kent,2020,8596
952,Mid Kent,2021,9064
953,Mid Kent,2022,9977
954,West Kent,2017,12956
955,West Kent,2018,13506
956,West Kent,2019,14078
957,West Kent,2020,13612
958,West Kent,2021,14384
959,West Kent,2022,15638
960,South West,2017,155596
961,South West,2018,160262
962,South West,2019,166873
963,South West,2020,157517
964,South West,2021,176067
965,South West,2022,194030
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,80933
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,83459
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,87498
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,83066
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,91701
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,101300
972,"Bristol, City of",2017,16722
973,"Bristol, City of",2018,16666
974,"Bristol, City of",2019,17537
975,"Bristol, City of",2020,16797
976,"Bristol, City of",2021,19160
977,"Bristol, City of",2022,21098
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,21643
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,22587
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,23642
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,22792
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,25177
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,28268
984,Gloucestershire CC,2017,19404
985,Gloucestershire CC,2018,19968
986,Gloucestershire CC,2019,21209
987,Gloucestershire CC,2020,19968
988,Gloucestershire CC,2021,21914
989,Gloucestershire CC,2022,23118
990,Swindon,2017,10057
991,Swindon,2018,10659
992,Swindon,2019,11038
993,Swindon,2020,10108
994,Swindon,2021,10649
995,Swindon,2022,12457
996,Wiltshire,2017,13106
997,Wiltshire,2018,13580
998,Wiltshire,2019,14072
999,Wiltshire,2020,13402
1000,Wiltshire,2021,14801
1001,Wiltshire,2022,16360
1002,Dorset and Somerset,2017,33532
1003,Dorset and Somerset,2018,34637
1004,Dorset and Somerset,2019,35715
1005,Dorset and Somerset,2020,33978
1006,Dorset and Somerset,2021,37227
1007,Dorset and Somerset,2022,40758
1008,Somerset CC,2017,13385
1009,Somerset CC,2018,13886
1010,Somerset CC,2019,14225
1011,Somerset CC,2020,13628
1012,Somerset CC,2021,14659
1013,Somerset CC,2022,16173
1014,"Bournemouth, Christchurch and Poole",2017,11586
1015,"Bournemouth, Christchurch and Poole",2018,11615
1016,"Bournemouth, Christchurch and Poole",2019,12063
1017,"Bournemouth, Christchurch and Poole",2020,11462
1018,"Bournemouth, Christchurch and Poole",2021,12680
1019,"Bournemouth, Christchurch and Poole",2022,13685
1020,Dorset,2017,8561
1021,Dorset,2018,9136
1022,Dorset,2019,9426
1023,Dorset,2020,8888
1024,Dorset,2021,9888
1025,Dorset,2022,10900
1026,Cornwall and Isles of Scilly,2017,12450
1027,Cornwall and Isles of Scilly,2018,12908
1028,Cornwall and Isles of Scilly,2019,13352
1029,Cornwall and Isles of Scilly,2020,12456
1030,Cornwall and Isles of Scilly,2021,14387
1031,Cornwall and Isles of Scilly,2022,15853
1032,Cornwall and Isles of Scilly,2017,12450
1033,Cornwall and Isles of Scilly,2018,12908
1034,Cornwall and Isles of Scilly,2019,13352
1035,Cornwall and Isles of Scilly,2020,12456
1036,Cornwall and Isles of Scilly,2021,14387
1037,Cornwall and Isles of Scilly,2022,15853
1038,Devon,2017,28682
1039,Devon,2018,29258
1040,Devon,2019,30309
1041,Devon,2020,28017
1042,Devon,2021,32752
1043,Devon,2022,36120
1044,Plymouth,2017,6364
1045,Plymouth,2018,6573
1046,Plymouth,2019,6749
1047,Plymouth,2020,6248
1048,Plymouth,2021,7126
1049,Plymouth,2022,7922
1050,Torbay,2017,2292
1051,Torbay,2018,2267
1052,Torbay,2019,2376
1053,Torbay,2020,2232
1054,Torbay,2021,2651
1055,Torbay,2022,2883
1056,Devon CC,2017,20027
1057,Devon CC,2018,20418
1058,Devon CC,2019,21185
1059,Devon CC,2020,19537
1060,Devon CC,2021,22974
1061,Devon CC,2022,25315
1062,Wales,2017,72590
1063,Wales,2018,75297
1064,Wales,2019,78479
1065,Wales,2020,73913
1066,Wales,2021,78460
1067,Wales,2022,85412
1068,West Wales and The Valleys,2017,40654
1069,West Wales and The Valleys,2018,42063
1070,West Wales and The Valleys,2019,43964
1071,West Wales and The Valleys,2020,40796
1072,West Wales and The Valleys,2021,43616
1073,West Wales and The Valleys,2022,47469
1074,Isle of Anglesey,2017,1235
1075,Isle of Anglesey,2018,1308
1076,Isle of Anglesey,2019,1385
1077,Isle of Anglesey,2020,1196
1078,Isle of Anglesey,2021,1352
1079,Isle of Anglesey,2022,1576
1080,Gwynedd,2017,2759
1081,Gwynedd,2018,2817
1082,Gwynedd,2019,2906
1083,Gwynedd,2020,2598
1084,Gwynedd,2021,2879
1085,Gwynedd,2022,3072
1086,Conwy and Denbighshire,2017,4275
1087,Conwy and Denbighshire,2018,4377
1088,Conwy and Denbighshire,2019,4493
1089,Conwy and Denbighshire,2020,4262
1090,Conwy and Denbighshire,2021,4523
1091,Conwy and Denbighshire,2022,4906
1092,South West Wales,2017,8038
1093,South West Wales,2018,8216
1094,South West Wales,2019,8713
1095,South West Wales,2020,7950
1096,South West Wales,2021,8633
1097,South West Wales,2022,9776
1098,Central Valleys,2017,6044
1099,Central Valleys,2018,6181
1100,Central Valleys,2019,6330
1101,Central Valleys,2020,6004
1102,Central Valleys,2021,6257
1103,Central Valleys,2022,6902
1104,Gwent Valleys,2017,6099
1105,Gwent Valleys,2018,6392
1106,Gwent Valleys,2019,6696
1107,Gwent Valleys,2020,6310
1108,Gwent Valleys,2021,6755
1109,Gwent Valleys,2022,7279
1110,Bridgend and Neath Port Talbot,2017,6217
1111,Bridgend and Neath Port Talbot,2018,6456
1112,Bridgend and Neath Port Talbot,2019,6922
1113,Bridgend and Neath Port Talbot,2020,6411
1114,Bridgend and Neath Port Talbot,2021,6908
1115,Bridgend and Neath Port Talbot,2022,7317
1116,Swansea,2017,5987
1117,Swansea,2018,6315
1118,Swansea,2019,6519
1119,Swansea,2020,6064
1120,Swansea,2021,6308
1121,Swansea,2022,6641
1122,East Wales,2017,31936
1123,East Wales,2018,33234
1124,East Wales,2019,34515
1125,East Wales,2020,33117
1126,East Wales,2021,34844
1127,East Wales,2022,37942
1128,Monmouthshire and Newport,2017,6355
1129,Monmouthshire and Newport,2018,6836
1130,Monmouthshire and Newport,2019,7039
1131,Monmouthshire and Newport,2020,6681
1132,Monmouthshire and Newport,2021,6921
1133,Monmouthshire and Newport,2022,7469
1134,Cardiff and Vale of Glamorgan,2017,14987
1135,Cardiff and Vale of Glamorgan,2018,15291
1136,Cardiff and Vale of Glamorgan,2019,16042
1137,Cardiff and Vale of Glamorgan,2020,15523
1138,Cardiff and Vale of Glamorgan,2021,16391
1139,Cardiff and Vale of Glamorgan,2022,17839
1140,Flintshire and Wrexham,2017,8027
1141,Flintshire and Wrexham,2018,8463
1142,Flintshire and Wrexham,2019,8758
1143,Flintshire and Wrexham,2020,8354
1144,Flintshire and Wrexham,2021,8853
1145,Flintshire and Wrexham,2022,9681
1146,Powys,2017,2567
1147,Powys,2018,2644
1148,Powys,2019,2675
1149,Powys,2020,2559
1150,Powys,2021,2679
1151,Powys,2022,2953
1152,Scotland,2017,158895
1153,Scotland,2018,162291
1154,Scotland,2019,168681
1155,Scotland,2020,157814
1156,Scotland,2021,171173
1157,Scotland,2022,186851
1158,North Eastern Scotland,2017,18385
1159,North Eastern Scotland,2018,18564
1160,North Eastern Scotland,2019,18887
1161,North Eastern Scotland,2020,17021
1162,North Eastern Scotland,2021,17970
1163,North Eastern Scotland,2022,20033
1164,Aberdeen City and Aberdeenshire,2017,18385
1165,Aberdeen City and Aberdeenshire,2018,18564
1166,Aberdeen City and Aberdeenshire,2019,18887
1167,Aberdeen City and Aberdeenshire,2020,17021
1168,Aberdeen City and Aberdeenshire,2021,17970
1169,Aberdeen City and Aberdeenshire,2022,20033
1170,Highlands and Islands,2017,13031
1171,Highlands and Islands,2018,13233
1172,Highlands and Islands,2019,13795
1173,Highlands and Islands,2020,12718
1174,Highlands and Islands,2021,13690
1175,Highlands and Islands,2022,14933
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,2273
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,2316
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,2451
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,2340
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,2537
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,2797
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,6053
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,6204
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,6327
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,5829
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,6264
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,6900
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,2678
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,2706
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,2863
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,2558
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,2774
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,3033
1194,Na h-Eileanan Siar,2017,576
1195,Na h-Eileanan Siar,2018,601
1196,Na h-Eileanan Siar,2019,646
1197,Na h-Eileanan Siar,2020,620
1198,Na h-Eileanan Siar,2021,665
1199,Na h-Eileanan Siar,2022,674
1200,Orkney Islands,2017,614
1201,Orkney Islands,2018,578
1202,Orkney Islands,2019,621
1203,Orkney Islands,2020,567
1204,Orkney Islands,2021,617
1205,Orkney Islands,2022,675
1206,Shetland Islands,2017,836
1207,Shetland Islands,2018,828
1208,Shetland Islands,2019,886
1209,Shetland Islands,2020,803
1210,Shetland Islands,2021,833
1211,Shetland Islands,2022,854
1212,Eastern Scotland,2017,61541
1213,Eastern Scotland,2018,63221
1214,Eastern Scotland,2019,66067
1215,Eastern Scotland,2020,61943
1216,Eastern Scotland,2021,68026
1217,Eastern Scotland,2022,74310
1218,Angus and Dundee City,2017,6065
1219,Angus and Dundee City,2018,6270
1220,Angus and Dundee City,2019,6617
1221,Angus and Dundee City,2020,6139
1222,Angus and Dundee City,2021,6727
1223,Angus and Dundee City,2022,7242
1224,Clackmannanshire and Fife,2017,9372
1225,Clackmannanshire and Fife,2018,9404
1226,Clackmannanshire and Fife,2019,9817
1227,Clackmannanshire and Fife,2020,9445
1228,Clackmannanshire and Fife,2021,10287
1229,Clackmannanshire and Fife,2022,11179
1230,East Lothian and Midlothian,2017,3725
1231,East Lothian and Midlothian,2018,3925
1232,East Lothian and Midlothian,2019,4101
1233,East Lothian and Midlothian,2020,3864
1234,East Lothian and Midlothian,2021,4303
1235,East Lothian and Midlothian,2022,4606
1236,City of Edinburgh,2017,25600
1237,City of Edinburgh,2018,26430
1238,City of Edinburgh,2019,27641
1239,City of Edinburgh,2020,25826
1240,City of Edinburgh,2021,28508
1241,City of Edinburgh,2022,31802
1242,Falkirk,2017,4218
1243,Falkirk,2018,4372
1244,Falkirk,2019,4573
1245,Falkirk,2020,4307
1246,Falkirk,2021,4670
1247,Falkirk,2022,4828
1248,"Perth and Kinross, and Stirling",2017,7548
1249,"Perth and Kinross, and Stirling",2018,7550
1250,"Perth and Kinross, and Stirling",2019,7896
1251,"Perth and Kinross, and Stirling",2020,7085
1252,"Perth and Kinross, and Stirling",2021,7716
1253,"Perth and Kinross, and Stirling",2022,8169
1254,West Lothian,2017,5014
1255,West Lothian,2018,5270
1256,West Lothian,2019,5423
1257,West Lothian,2020,5277
1258,West Lothian,2021,5816
1259,West Lothian,2022,6484
1260,West Central Scotland,2017,43929
1261,West Central Scotland,2018,45036
1262,West Central Scotland,2019,47066
1263,West Central Scotland,2020,44813
1264,West Central Scotland,2021,48874
1265,West Central Scotland,2022,52935
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,4403
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,4575
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,4748
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,4368
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,4779
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,5211
1272,Glasgow City,2017,22845
1273,Glasgow City,2018,23376
1274,Glasgow City,2019,24649
1275,Glasgow City,2020,23666
1276,Glasgow City,2021,25889
1277,Glasgow City,2022,28439
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,7781
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,7929
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,8093
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,7609
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,8397
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,8673
1284,North Lanarkshire,2017,8900
1285,North Lanarkshire,2018,9156
1286,North Lanarkshire,2019,9576
1287,North Lanarkshire,2020,9170
1288,North Lanarkshire,2021,9809
1289,North Lanarkshire,2022,10611
1290,Southern Scotland,2017,22010
1291,Southern Scotland,2018,22237
1292,Southern Scotland,2019,22866
1293,Southern Scotland,2020,21319
1294,Southern Scotland,2021,22612
1295,Southern Scotland,2022,24639
1296,Scottish Borders,2017,2637
1297,Scottish Borders,2018,2765
1298,Scottish Borders,2019,2838
1299,Scottish Borders,2020,2656
1300,Scottish Borders,2021,2884
1301,Scottish Borders,2022,2920
1302,Dumfries and Galloway,2017,3939
1303,Dumfries and Galloway,2018,3956
1304,Dumfries and Galloway,2019,4141
1305,Dumfries and Galloway,2020,3863
1306,Dumfries and Galloway,2021,4073
1307,Dumfries and Galloway,2022,4351
1308,East Ayrshire and North Ayrshire mainland,2017,4806
1309,East Ayrshire and North Ayrshire mainland,2018,4808
1310,East Ayrshire and North Ayrshire mainland,2019,4945
1311,East Ayrshire and North Ayrshire mainland,2020,4761
1312,East Ayrshire and North Ayrshire mainland,2021,5114
1313,East Ayrshire and North Ayrshire mainland,2022,5622
1314,South Ayrshire,2017,2767
1315,South Ayrshire,2018,2846
1316,South Ayrshire,2019,2887
1317,South Ayrshire,2020,2537
1318,South Ayrshire,2021,2703
1319,South Ayrshire,2022,3039
1320,South Lanarkshire,2017,7860
1321,South Lanarkshire,2018,7862
1322,South Lanarkshire,2019,8056
1323,South Lanarkshire,2020,7503
1324,South Lanarkshire,2021,7838
1325,South Lanarkshire,2022,8708
1326,Northern Ireland,2017,46481
1327,Northern Ireland,2018,47652
1328,Northern Ireland,2019,50057
1329,Northern Ireland,2020,47519
1330,Northern Ireland,2021,52389
1331,Northern Ireland,2022,56694
1332,Northern Ireland,2017,46481
1333,Northern Ireland,2018,47652
1334,Northern Ireland,2019,50057
1335,Northern Ireland,2020,47519
1336,Northern Ireland,2021,52389
1337,Northern Ireland,2022,56694
1338,Belfast,2017,13848
1339,Belfast,2018,14233
1340,Belfast,2019,14750
1341,Belfast,2020,13971
1342,Belfast,2021,16009
1343,Belfast,2022,17338
1344,"Armagh City, Banbridge and Craigavon",2017,4364
1345,"Armagh City, Banbridge and Craigavon",2018,4610
1346,"Armagh City, Banbridge and Craigavon",2019,4843
1347,"Armagh City, Banbridge and Craigavon",2020,4557
1348,"Armagh City, Banbridge and Craigavon",2021,4970
1349,"Armagh City, Banbridge and Craigavon",2022,5352
1350,"Newry, Mourne and Down",2017,3504
1351,"Newry, Mourne and Down",2018,3635
1352,"Newry, Mourne and Down",2019,3862
1353,"Newry, Mourne and Down",2020,3667
1354,"Newry, Mourne and Down",2021,3942
1355,"Newry, Mourne and Down",2022,4289
1356,Ards and North Down,2017,2523
1357,Ards and North Down,2018,2620
1358,Ards and North Down,2019,2740
1359,Ards and North Down,2020,2592
1360,Ards and North Down,2021,2763
1361,Ards and North Down,2022,2896
1362,Derry City and Strabane,2017,3143
1363,Derry City and Strabane,2018,3207
1364,Derry City and Strabane,2019,3438
1365,Derry City and Strabane,2020,3393
1366,Derry City and Strabane,2021,3606
1367,Derry City and Strabane,2022,3952
1368,Mid Ulster,2017,3630
1369,Mid Ulster,2018,3915
1370,Mid Ulster,2019,4206
1371,Mid Ulster,2020,3852
1372,Mid Ulster,2021,4284
1373,Mid Ulster,2022,4752
1374,Causeway Coast and Glens,2017,2640
1375,Causeway Coast and Glens,2018,2633
1376,Causeway Coast and Glens,2019,2722
1377,Causeway Coast and Glens,2020,2543
1378,Causeway Coast and Glens,2021,2806
1379,Causeway Coast and Glens,2022,3019
1380,Antrim and Newtownabbey,2017,3633
1381,Antrim and Newtownabbey,2018,3708
1382,Antrim and Newtownabbey,2019,3916
1383,Antrim and Newtownabbey,2020,3849
1384,Antrim and Newtownabbey,2021,4050
1385,Antrim and Newtownabbey,2022,4310
1386,Lisburn and Castlereagh,2017,3503
1387,Lisburn and Castlereagh,2018,3697
1388,Lisburn and Castlereagh,2019,3934
1389,Lisburn and Castlereagh,2020,3693
1390,Lisburn and Castlereagh,2021,4060
1391,Lisburn and Castlereagh,2022,4443
1392,Mid and East Antrim,2017,3220
1393,Mid and East Antrim,2018,2808
1394,Mid and East Antrim,2019,2943
1395,Mid and East Antrim,2020,2797
1396,Mid and East Antrim,2021,3021
1397,Mid and East Antrim,2022,3253
1398,Fermanagh and Omagh,2017,2472
1399,Fermanagh and Omagh,2018,2585
1400,Fermanagh and Omagh,2019,2703
1401,Fermanagh and Omagh,2020,2604
1402,Fermanagh and Omagh,2021,2878
1403,Fermanagh and Omagh,2022,3090
1404,Extra-Regio,2017,14758
1405,Extra-Regio,2018,20187
1406,Extra-Regio,2019,18510
1407,Extra-Regio,2020,12346
1408,Extra-Regio,2021,12105
1409,Extra-Regio,2022,15620
1410,United Kingdom less Extra-Regio,2017,2067724
1411,United Kingdom less Extra-Regio,2018,2132117
1412,United Kingdom less Extra-Regio,2019,2215411
1413,United Kingdom less Extra-Regio,2020,2091942
1414,United Kingdom less Extra-Regio,2021,2271974
1415,United Kingdom less Extra-Regio,2022,2490550
