,Region,Year,Gross domestic product (GDP) per head at current market prices
200,Merseyside,2019,25463
201,Merseyside,2020,24489
202,Merseyside,2021,26999
203,Merseyside,2022,28906
204,East Merseyside,2017,25640
205,East Merseyside,2018,25892
206,East Merseyside,2019,26778
207,East Merseyside,2020,24956
208,East Merseyside,2021,27812
209,East Merseyside,2022,28951
210,Liverpool,2017,29742
211,Liverpool,2018,30099
212,Liverpool,2019,32405
213,Liverpool,2020,31113
214,Liverpool,2021,34545
215,Liverpool,2022,37449
216,Sefton,2017,17386
217,Sefton,2018,17838
218,Sefton,2019,18085
219,Sefton,2020,17908
220,Sefton,2021,19944
221,Sefton,2022,21264
222,Wirral,2017,18077
223,Wirral,2018,18485
224,Wirral,2019,19495
225,Wirral,2020,19542
226,Wirral,2021,20555
227,Wirral,2022,22340
228,Yorkshire and The Humber,2017,25356
229,Yorkshire and The Humber,2018,26053
230,Yorkshire and The Humber,2019,26845
231,Yorkshire and The Humber,2020,25482
232,Yorkshire and The Humber,2021,28372
233,Yorkshire and The Humber,2022,30734
234,East Yorkshire and Northern Lincolnshire,2017,24369
235,East Yorkshire and Northern Lincolnshire,2018,25020
236,East Yorkshire and Northern Lincolnshire,2019,26455
237,East Yorkshire and Northern Lincolnshire,2020,24370
238,East Yorkshire and Northern Lincolnshire,2021,29017
239,East Yorkshire and Northern Lincolnshire,2022,32000
240,"Kingston upon Hull, City of",2017,24636
241,"Kingston upon Hull, City of",2018,25409
242,"Kingston upon Hull, City of",2019,25754
243,"Kingston upon Hull, City of",2020,22970
244,"Kingston upon Hull, City of",2021,26905
245,"Kingston upon Hull, City of",2022,29240
246,East Riding of Yorkshire,2017,22392
247,East Riding of Yorkshire,2018,23747
248,East Riding of Yorkshire,2019,24595
249,East Riding of Yorkshire,2020,23239
250,East Riding of Yorkshire,2021,26780
251,East Riding of Yorkshire,2022,29347
252,North and North East Lincolnshire,2017,26172
253,North and North East Lincolnshire,2018,26007
254,North and North East Lincolnshire,2019,28950
255,North and North East Lincolnshire,2020,26692
256,North and North East Lincolnshire,2021,33084
257,North and North East Lincolnshire,2022,37065
258,North Yorkshire,2017,29077
259,North Yorkshire,2018,29447
260,North Yorkshire,2019,30310
261,North Yorkshire,2020,28663
262,North Yorkshire,2021,32029
263,North Yorkshire,2022,34848
264,York,2017,33860
265,York,2018,34667
266,York,2019,34948
267,York,2020,33118
268,York,2021,36795
269,York,2022,40828
270,North Yorkshire CC,2017,27474
271,North Yorkshire CC,2018,27696
272,North Yorkshire CC,2019,28762
273,North Yorkshire CC,2020,27188
274,North Yorkshire CC,2021,30474
275,North Yorkshire CC,2022,32886
276,South Yorkshire,2017,22283
277,South Yorkshire,2018,22544
278,South Yorkshire,2019,23334
279,South Yorkshire,2020,22809
280,South Yorkshire,2021,24681
281,South Yorkshire,2022,26485
282,"Barnsley, Doncaster and Rotherham",2017,20130
283,"Barnsley, Doncaster and Rotherham",2018,20464
284,"Barnsley, Doncaster and Rotherham",2019,21050
