,Region,Year,Gross domestic product (GDP) per head at current market prices
828,Buckinghamshire CC,2017,30431
829,Buckinghamshire CC,2018,31351
830,Buckinghamshire CC,2019,33427
831,Buckinghamshire CC,2020,32297
832,Buckinghamshire CC,2021,33841
833,Buckinghamshire CC,2022,36341
834,Oxfordshire CC,2017,33758
835,Oxfordshire CC,2018,35010
836,Oxfordshire CC,2019,36960
837,Oxfordshire CC,2020,37559
838,Oxfordshire CC,2021,38598
839,Oxfordshire CC,2022,42088
840,"Surrey, East and West Sussex",2017,32665
841,"Surrey, East and West Sussex",2018,33263
842,"Surrey, East and West Sussex",2019,34619
843,"Surrey, East and West Sussex",2020,33084
844,"Surrey, East and West Sussex",2021,34883
845,"Surrey, East and West Sussex",2022,38073
846,Brighton and Hove,2017,32247
847,Brighton and Hove,2018,33302
848,Brighton and Hove,2019,35120
849,Brighton and Hove,2020,34186
850,Brighton and Hove,2021,37822
851,Brighton and Hove,2022,44013
852,East Sussex CC,2017,19366
853,East Sussex CC,2018,19710
854,East Sussex CC,2019,20489
855,East Sussex CC,2020,19938
856,East Sussex CC,2021,21623
857,East Sussex CC,2022,22940
858,West Surrey,2017,41501
859,West Surrey,2018,43091
860,West Surrey,2019,45535
861,West Surrey,2020,45284
862,West Surrey,2021,46172
863,West Surrey,2022,48333
864,East Surrey,2017,39686
865,East Surrey,2018,37733
866,East Surrey,2019,38475
867,East Surrey,2020,35489
868,East Surrey,2021,37885
869,East Surrey,2022,43284
870,West Sussex (South West),2017,25813
871,West Sussex (South West),2018,26648
872,West Sussex (South West),2019,27549
873,West Sussex (South West),2020,26576
874,West Sussex (South West),2021,28205
875,West Sussex (South West),2022,31197
876,West Sussex (North East),2017,34518
877,West Sussex (North East),2018,35472
878,West Sussex (North East),2019,36235
879,West Sussex (North East),2020,31237
880,West Sussex (North East),2021,33261
881,West Sussex (North East),2022,36951
882,Hampshire and Isle of Wight,2017,32569
883,Hampshire and Isle of Wight,2018,33327
884,Hampshire and Isle of Wight,2019,35362
885,Hampshire and Isle of Wight,2020,33554
886,Hampshire and Isle of Wight,2021,35495
887,Hampshire and Isle of Wight,2022,38927
888,Portsmouth,2017,31328
889,Portsmouth,2018,31837
890,Portsmouth,2019,34477
891,Portsmouth,2020,33810
892,Portsmouth,2021,36267
893,Portsmouth,2022,40194
894,Southampton,2017,36342
895,Southampton,2018,37551
896,Southampton,2019,39046
897,Southampton,2020,37105
898,Southampton,2021,39528
899,Southampton,2022,43503
900,Isle of Wight,2017,20510
901,Isle of Wight,2018,20802
902,Isle of Wight,2019,22224
903,Isle of Wight,2020,21348
904,Isle of Wight,2021,23072
905,Isle of Wight,2022,25727
906,South Hampshire,2017,27882
907,South Hampshire,2018,27252
908,South Hampshire,2019,28311
909,South Hampshire,2020,26812
910,South Hampshire,2021,28418
911,South Hampshire,2022,30627
912,Central Hampshire,2017,32085
913,Central Hampshire,2018,32644
914,Central Hampshire,2019,34293
915,Central Hampshire,2020,31756
916,Central Hampshire,2021,34087
917,Central Hampshire,2022,37729
918,North Hampshire,2017,41650
919,North Hampshire,2018,44382
920,North Hampshire,2019,48351
921,North Hampshire,2020,46266
922,North Hampshire,2021,47479
923,North Hampshire,2022,51601
924,Kent,2017,26143
925,Kent,2018,27002
926,Kent,2019,28186
927,Kent,2020,27190
928,Kent,2021,28575
929,Kent,2022,30925
930,Medway,2017,22325
931,Medway,2018,22966
932,Medway,2019,24468
933,Medway,2020,24288
934,Medway,2021,24683
935,Medway,2022,27265
936,Kent Thames Gateway,2017,25547
937,Kent Thames Gateway,2018,26180
938,Kent Thames Gateway,2019,27381
939,Kent Thames Gateway,2020,26246
940,Kent Thames Gateway,2021,28378
941,Kent Thames Gateway,2022,29134
942,East Kent,2017,21706
943,East Kent,2018,22403
944,East Kent,2019,22952
945,East Kent,2020,21883
946,East Kent,2021,23058
947,East Kent,2022,25871
948,Mid Kent,2017,26557
949,Mid Kent,2018,27536
950,Mid Kent,2019,29254
951,Mid Kent,2020,28210
952,Mid Kent,2021,29248
953,Mid Kent,2022,31568
954,West Kent,2017,35720
955,West Kent,2018,37078
956,West Kent,2019,38439
957,West Kent,2020,37078
958,West Kent,2021,39000
959,West Kent,2022,42175
960,South West,2017,27911
961,South West,2018,28569
962,South West,2019,29573
963,South West,2020,27820
964,South West,2021,30820
965,South West,2022,33657
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,32416
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,33170
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,34532
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,32613
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,35745
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,39074
972,"Bristol, City of",2017,36109
973,"Bristol, City of",2018,35685
974,"Bristol, City of",2019,37319
975,"Bristol, City of",2020,35597
976,"Bristol, City of",2021,40654
977,"Bristol, City of",2022,44043
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,31876
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,32946
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,34250
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,32794
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,35932
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,39840
984,Gloucestershire CC,2017,30814
985,Gloucestershire CC,2018,31462
986,Gloucestershire CC,2019,33207
987,Gloucestershire CC,2020,31172
988,Gloucestershire CC,2021,33897
989,Gloucestershire CC,2022,35435
990,Swindon,2017,44173
991,Swindon,2018,46307
992,Swindon,2019,47592
993,Swindon,2020,43461
994,Swindon,2021,45557
995,Swindon,2022,52860
996,Wiltshire,2017,26361
997,Wiltshire,2018,27230
998,Wiltshire,2019,27976
999,Wiltshire,2020,26431
1000,Wiltshire,2021,28838
1001,Wiltshire,2022,31712
1002,Dorset and Somerset,2017,25156
1003,Dorset and Somerset,2018,25891
1004,Dorset and Somerset,2019,26596
1005,Dorset and Somerset,2020,25290
1006,Dorset and Somerset,2021,27484
1007,Dorset and Somerset,2022,29924
1008,Somerset CC,2017,23948
1009,Somerset CC,2018,24701
1010,Somerset CC,2019,25178
1011,Somerset CC,2020,24065
1012,Somerset CC,2021,25579
1013,Somerset CC,2022,28036
1014,"Bournemouth, Christchurch and Poole",2017,29011
1015,"Bournemouth, Christchurch and Poole",2018,29033
1016,"Bournemouth, Christchurch and Poole",2019,30145
1017,"Bournemouth, Christchurch and Poole",2020,28686
1018,"Bournemouth, Christchurch and Poole",2021,31688
1019,"Bournemouth, Christchurch and Poole",2022,34051
1020,Dorset,2017,22848
1021,Dorset,2018,24324
1022,Dorset,2019,24957
1023,Dorset,2020,23534
1024,Dorset,2021,25936
1025,Dorset,2022,28439
1026,Cornwall and Isles of Scilly,2017,22269
1027,Cornwall and Isles of Scilly,2018,22962
1028,Cornwall and Isles of Scilly,2019,23598
1029,Cornwall and Isles of Scilly,2020,21965
1030,Cornwall and Isles of Scilly,2021,25055
1031,Cornwall and Isles of Scilly,2022,27441
1032,Cornwall and Isles of Scilly,2017,22269
1033,Cornwall and Isles of Scilly,2018,22962
1034,Cornwall and Isles of Scilly,2019,23598
1035,Cornwall and Isles of Scilly,2020,21965
1036,Cornwall and Isles of Scilly,2021,25055
1037,Cornwall and Isles of Scilly,2022,27441
1038,Devon,2017,24184
1039,Devon,2018,24512
1040,Devon,2019,25250
1041,Devon,2020,23264
1042,Devon,2021,26876
1043,Devon,2022,29302
1044,Plymouth,2017,23988
1045,Plymouth,2018,24738
1046,Plymouth,2019,25463
1047,Plymouth,2020,23593
1048,Plymouth,2021,26914
1049,Plymouth,2022,29686
1050,Torbay,2017,16688
1051,Torbay,2018,16418
1052,Torbay,2019,17121
1053,Torbay,2020,16096
1054,Torbay,2021,19015
1055,Torbay,2022,20669
1056,Devon CC,2017,25565
1057,Devon CC,2018,25851
1058,Devon CC,2019,26596
1059,Devon CC,2020,24397
1060,Devon CC,2021,28209
1061,Devon CC,2022,30636
1062,Wales,2017,23558
1063,Wales,2018,24417
1064,Wales,2019,25417
1065,Wales,2020,23808
1066,Wales,2021,25264
1067,Wales,2022,27274
1068,West Wales and The Valleys,2017,21054
1069,West Wales and The Valleys,2018,21798
1070,West Wales and The Valleys,2019,22777
1071,West Wales and The Valleys,2020,21041
1072,West Wales and The Valleys,2021,22520
1073,West Wales and The Valleys,2022,24393
1074,Isle of Anglesey,2017,18003
1075,Isle of Anglesey,2018,19089
1076,Isle of Anglesey,2019,20287
1077,Isle of Anglesey,2020,17390
1078,Isle of Anglesey,2021,19610
1079,Isle of Anglesey,2022,22822
1080,Gwynedd,2017,23205
1081,Gwynedd,2018,23849
1082,Gwynedd,2019,24716
1083,Gwynedd,2020,21987
1084,Gwynedd,2021,24595
1085,Gwynedd,2022,26123
1086,Conwy and Denbighshire,2017,20412
1087,Conwy and Denbighshire,2018,20944
1088,Conwy and Denbighshire,2019,21501
1089,Conwy and Denbighshire,2020,20276
1090,Conwy and Denbighshire,2021,21455
1091,Conwy and Denbighshire,2022,23269
1092,South West Wales,2017,21231
1093,South West Wales,2018,21739
1094,South West Wales,2019,23038
1095,South West Wales,2020,20845
1096,South West Wales,2021,22570
1097,South West Wales,2022,25385
1098,Central Valleys,2017,20440
1099,Central Valleys,2018,20881
1100,Central Valleys,2019,21326
1101,Central Valleys,2020,20199
1102,Central Valleys,2021,21109
1103,Central Valleys,2022,23169
1104,Gwent Valleys,2017,18149
1105,Gwent Valleys,2018,19026
1106,Gwent Valleys,2019,19940
1107,Gwent Valleys,2020,18760
1108,Gwent Valleys,2021,20138
1109,Gwent Valleys,2022,21665
1110,Bridgend and Neath Port Talbot,2017,21861
1111,Bridgend and Neath Port Talbot,2018,22657
1112,Bridgend and Neath Port Talbot,2019,24212
1113,Bridgend and Neath Port Talbot,2020,22281
1114,Bridgend and Neath Port Talbot,2021,24014
1115,Bridgend and Neath Port Talbot,2022,25381
1116,Swansea,2017,25021
1117,Swansea,2018,26403
1118,Swansea,2019,27310
1119,Swansea,2020,25371
1120,Swansea,2021,26516
1121,Swansea,2022,27525
1122,East Wales,2017,27761
1123,East Wales,2018,28795
1124,East Wales,2019,29819
1125,East Wales,2020,28412
1126,East Wales,2021,29810
1127,East Wales,2022,32003
1128,Monmouthshire and Newport,2017,25938
1129,Monmouthshire and Newport,2018,27669
1130,Monmouthshire and Newport,2019,28327
1131,Monmouthshire and Newport,2020,26630
1132,Monmouthshire and Newport,2021,27373
1133,Monmouthshire and Newport,2022,29247
1134,Cardiff and Vale of Glamorgan,2017,31047
1135,Cardiff and Vale of Glamorgan,2018,31574
1136,Cardiff and Vale of Glamorgan,2019,32945
1137,Cardiff and Vale of Glamorgan,2020,31581
1138,Cardiff and Vale of Glamorgan,2021,33294
1139,Cardiff and Vale of Glamorgan,2022,35285
1140,Flintshire and Wrexham,2017,27660
1141,Flintshire and Wrexham,2018,29100
1142,Flintshire and Wrexham,2019,30150
1143,Flintshire and Wrexham,2020,28710
1144,Flintshire and Wrexham,2021,30506
1145,Flintshire and Wrexham,2022,33301
1146,Powys,2017,19376
1147,Powys,2018,20036
1148,Powys,2019,20331
1149,Powys,2020,19357
1150,Powys,2021,20066
1151,Powys,2022,22052
1152,Scotland,2017,29291
1153,Scotland,2018,29843
1154,Scotland,2019,30875
1155,Scotland,2020,28872
1156,Scotland,2021,31236
1157,Scotland,2022,34299
1158,North Eastern Scotland,2017,37474
1159,North Eastern Scotland,2018,37961
1160,North Eastern Scotland,2019,38554
1161,North Eastern Scotland,2020,34749
1162,North Eastern Scotland,2021,36664
1163,North Eastern Scotland,2022,41115
1164,Aberdeen City and Aberdeenshire,2017,37474
1165,Aberdeen City and Aberdeenshire,2018,37961
1166,Aberdeen City and Aberdeenshire,2019,38554
1167,Aberdeen City and Aberdeenshire,2020,34749
1168,Aberdeen City and Aberdeenshire,2021,36664
1169,Aberdeen City and Aberdeenshire,2022,41115
1170,Highlands and Islands,2017,27753
1171,Highlands and Islands,2018,28194
1172,Highlands and Islands,2019,29386
1173,Highlands and Islands,2020,27151
1174,Highlands and Islands,2021,28950
1175,Highlands and Islands,2022,[u]
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,24275
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,24740
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,26124
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,25022
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,26851
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,[u]
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,29629
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,30357
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,30899
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,28460
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,30333
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,[u]
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,26900
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,27231
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,28937
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,26024
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,27799
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,[u]
1194,Na h-Eileanan Siar,2017,21390
1195,Na h-Eileanan Siar,2018,22394
1196,Na h-Eileanan Siar,2019,24183
1197,Na h-Eileanan Siar,2020,23409
1198,Na h-Eileanan Siar,2021,24959
1199,Na h-Eileanan Siar,2022,25432
1200,Orkney Islands,2017,27922
1201,Orkney Islands,2018,26056
1202,Orkney Islands,2019,27906
1203,Orkney Islands,2020,25331
1204,Orkney Islands,2021,27394
1205,Orkney Islands,2022,30106
1206,Shetland Islands,2017,36209
1207,Shetland Islands,2018,36026
1208,Shetland Islands,2019,38652
1209,Shetland Islands,2020,35112
1210,Shetland Islands,2021,36322
1211,Shetland Islands,2022,37459
1212,Eastern Scotland,2017,31042
1213,Eastern Scotland,2018,31740
1214,Eastern Scotland,2019,32947
1215,Eastern Scotland,2020,30831
1216,Eastern Scotland,2021,33770
1217,Eastern Scotland,2022,37108
1218,Angus and Dundee City,2017,22886
1219,Angus and Dundee City,2018,23681
1220,Angus and Dundee City,2019,24920
1221,Angus and Dundee City,2020,23198
1222,Angus and Dundee City,2021,25496
1223,Angus and Dundee City,2022,27610
1224,Clackmannanshire and Fife,2017,22164
1225,Clackmannanshire and Fife,2018,22215
1226,Clackmannanshire and Fife,2019,23093
1227,Clackmannanshire and Fife,2020,22202
1228,Clackmannanshire and Fife,2021,24132
1229,Clackmannanshire and Fife,2022,26380
1230,East Lothian and Midlothian,2017,19108
1231,East Lothian and Midlothian,2018,19909
1232,East Lothian and Midlothian,2019,20551
1233,East Lothian and Midlothian,2020,19219
1234,East Lothian and Midlothian,2021,21064
1235,East Lothian and Midlothian,2022,22682
1236,City of Edinburgh,2017,49881
1237,City of Edinburgh,2018,50973
1238,City of Edinburgh,2019,52656
1239,City of Edinburgh,2020,48948
1240,City of Edinburgh,2021,54150
1241,City of Edinburgh,2022,60764
1242,Falkirk,2017,26340
1243,Falkirk,2018,27266
1244,Falkirk,2019,28422
1245,Falkirk,2020,26825
1246,Falkirk,2021,29060
1247,Falkirk,2022,30222
1248,"Perth and Kinross, and Stirling",2017,30796
1249,"Perth and Kinross, and Stirling",2018,30740
1250,"Perth and Kinross, and Stirling",2019,32076
1251,"Perth and Kinross, and Stirling",2020,28803
1252,"Perth and Kinross, and Stirling",2021,31204
1253,"Perth and Kinross, and Stirling",2022,33232
1254,West Lothian,2017,27652
1255,West Lothian,2018,28935
1256,West Lothian,2019,29618
1257,West Lothian,2020,28705
1258,West Lothian,2021,31338
1259,West Lothian,2022,35144
1260,West Central Scotland,2017,28614
1261,West Central Scotland,2018,29224
1262,West Central Scotland,2019,30359
1263,West Central Scotland,2020,28873
1264,West Central Scotland,2021,31485
1265,West Central Scotland,2022,[u]
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,19663
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,20486
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,21254
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,19606
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,21475
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,[u]
1272,Glasgow City,2017,36787
1273,Glasgow City,2018,37317
1274,Glasgow City,2019,38933
1275,Glasgow City,2020,37231
1276,Glasgow City,2021,40761
1277,Glasgow City,2022,45041
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,22210
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,22582
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,22964
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,21585
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,23773
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,24700
1284,North Lanarkshire,2017,26180
1285,North Lanarkshire,2018,26916
1286,North Lanarkshire,2019,28050
1287,North Lanarkshire,2020,26881
1288,North Lanarkshire,2021,28733
1289,North Lanarkshire,2022,31266
1290,Southern Scotland,2017,23244
1291,Southern Scotland,2018,23485
1292,Southern Scotland,2019,24110
1293,Southern Scotland,2020,22523
1294,Southern Scotland,2021,23797
1295,Southern Scotland,2022,[u]
1296,Scottish Borders,2017,22930
1297,Scottish Borders,2018,23991
1298,Scottish Borders,2019,24565
1299,Scottish Borders,2020,23045
1300,Scottish Borders,2021,24861
1301,Scottish Borders,2022,25315
1302,Dumfries and Galloway,2017,26402
1303,Dumfries and Galloway,2018,26586
1304,Dumfries and Galloway,2019,27816
1305,Dumfries and Galloway,2020,26048
1306,Dumfries and Galloway,2021,27373
1307,Dumfries and Galloway,2022,29413
1308,East Ayrshire and North Ayrshire mainland,2017,19084
1309,East Ayrshire and North Ayrshire mainland,2018,19137
1310,East Ayrshire and North Ayrshire mainland,2019,19708
1311,East Ayrshire and North Ayrshire mainland,2020,19039
1312,East Ayrshire and North Ayrshire mainland,2021,20430
1313,East Ayrshire and North Ayrshire mainland,2022,[u]
1314,South Ayrshire,2017,24559
1315,South Ayrshire,2018,25283
1316,South Ayrshire,2019,25634
1317,South Ayrshire,2020,22625
1318,South Ayrshire,2021,24034
1319,South Ayrshire,2022,27183
1320,South Lanarkshire,2017,24703
1321,South Lanarkshire,2018,24646
1322,South Lanarkshire,2019,25135
1323,South Lanarkshire,2020,23386
1324,South Lanarkshire,2021,24295
1325,South Lanarkshire,2022,27149
1326,Northern Ireland,2017,24787
1327,Northern Ireland,2018,25263
1328,Northern Ireland,2019,26367
1329,Northern Ireland,2020,25003
1330,Northern Ireland,2021,27507
1331,Northern Ireland,2022,29674
1332,Northern Ireland,2017,24787
1333,Northern Ireland,2018,25263
1334,Northern Ireland,2019,26367
1335,Northern Ireland,2020,25003
1336,Northern Ireland,2021,27507
1337,Northern Ireland,2022,29674
1338,Belfast,2017,40501
1339,Belfast,2018,41411
1340,Belfast,2019,42706
1341,Belfast,2020,40497
1342,Belfast,2021,46403
1343,Belfast,2022,49821
1344,"Armagh City, Banbridge and Craigavon",2017,20525
1345,"Armagh City, Banbridge and Craigavon",2018,21454
1346,"Armagh City, Banbridge and Craigavon",2019,22312
1347,"Armagh City, Banbridge and Craigavon",2020,20887
1348,"Armagh City, Banbridge and Craigavon",2021,22681
1349,"Armagh City, Banbridge and Craigavon",2022,24299
1350,"Newry, Mourne and Down",2017,19554
1351,"Newry, Mourne and Down",2018,20174
1352,"Newry, Mourne and Down",2019,21273
1353,"Newry, Mourne and Down",2020,20183
1354,"Newry, Mourne and Down",2021,21617
1355,"Newry, Mourne and Down",2022,23482
1356,Ards and North Down,2017,15676
1357,Ards and North Down,2018,16194
1358,Ards and North Down,2019,16833
1359,Ards and North Down,2020,15884
1360,Ards and North Down,2021,16864
1361,Ards and North Down,2022,17635
1362,Derry City and Strabane,2017,20872
1363,Derry City and Strabane,2018,21279
1364,Derry City and Strabane,2019,22731
1365,Derry City and Strabane,2020,22493
1366,Derry City and Strabane,2021,23908
1367,Derry City and Strabane,2022,26204
1368,Mid Ulster,2017,24693
1369,Mid Ulster,2018,26450
1370,Mid Ulster,2019,28183
1371,Mid Ulster,2020,25726
1372,Mid Ulster,2021,28446
1373,Mid Ulster,2022,31467
1374,Causeway Coast and Glens,2017,18553
1375,Causeway Coast and Glens,2018,18492
1376,Causeway Coast and Glens,2019,19068
1377,Causeway Coast and Glens,2020,17848
1378,Causeway Coast and Glens,2021,19804
1379,Causeway Coast and Glens,2022,21363
1380,Antrim and Newtownabbey,2017,25407
1381,Antrim and Newtownabbey,2018,25760
1382,Antrim and Newtownabbey,2019,26980
1383,Antrim and Newtownabbey,2020,26443
1384,Antrim and Newtownabbey,2021,27770
1385,Antrim and Newtownabbey,2022,29490
1386,Lisburn and Castlereagh,2017,24371
1387,Lisburn and Castlereagh,2018,25381
1388,Lisburn and Castlereagh,2019,26678
1389,Lisburn and Castlereagh,2020,24937
1390,Lisburn and Castlereagh,2021,27196
1391,Lisburn and Castlereagh,2022,29637
1392,Mid and East Antrim,2017,23333
1393,Mid and East Antrim,2018,20260
1394,Mid and East Antrim,2019,21162
1395,Mid and East Antrim,2020,20105
1396,Mid and East Antrim,2021,21716
1397,Mid and East Antrim,2022,23369
1398,Fermanagh and Omagh,2017,21339
1399,Fermanagh and Omagh,2018,22223
1400,Fermanagh and Omagh,2019,23140
1401,Fermanagh and Omagh,2020,22334
1402,Fermanagh and Omagh,2021,24618
1403,Fermanagh and Omagh,2022,26414
1404,Extra-Regio,2017,[z]
1405,Extra-Regio,2018,[z]
1406,Extra-Regio,2019,[z]
1407,Extra-Regio,2020,[z]
1408,Extra-Regio,2021,[z]
1409,Extra-Regio,2022,[z]
1410,United Kingdom less Extra-Regio,2017,31329
1411,United Kingdom less Extra-Regio,2018,32143
1412,United Kingdom less Extra-Regio,2019,33225
1413,United Kingdom less Extra-Regio,2020,31318
1414,United Kingdom less Extra-Regio,2021,33887
1415,United Kingdom less Extra-Regio,2022,36844
