Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover,Total Exp.,UK Exp/Head,Real terms Exp.,UK Real terms Exp/Head,General. Public. Exp.,General. Public. Exp.(common services),General. Public. Exp.(international services),Defence Exp.,Safety Exp.,Economic Total. Exp.,Economic. Exp.(Enterprise),Economic. Exp.(Sci. & Tech),Economic. Exp.(Employment),"Economic. Exp.(Agri., Fish., For.)",Economic. Exp.(Transport),Environment. Exp.,Housing & Community Exp.,Health Exp.,Culture & Religion Exp.,Education Exp.,Social Protection Exp.,Local Govt. Exp.,Local Govt. Exp/Head,Total Exp. (excl. Local Govt.),GVA (Balanced),VAT on Products,Other Taxes,Subsidies,GDP (Current),Population,GDP per Head,GVA Deflators,"GDP CVM Index, 2019 equals 100",GDP CVM (in 2019 money value),GDP CVM (Per Head in 2019 money value),GDP CVM Growth,GDP CVM Per Head Growth
2013,north east,G,   20-49,9,290,1799,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   50-99,5,70,993,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   100-199,15.98486219,30,2127,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   2-4,2,520,146,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   5-9,7.301291391,250,134,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   10-19,7.306266684,140,161,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   20-49,3,90,359,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   50-99,7.329134953,30,192,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   100-199,9.907825278,15,772,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,H,   200-249,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,1,2,665,70,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   2-4,6,1800,262,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   5-9,7,985,232,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   10-19,7,510,198,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   20-49,7,225,196,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   50-99,4,65,173,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,I,   100-199,3,20,104,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,1,13,5880,905,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   2-4,52,16285,4166,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   5-9,46,6620,3875,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   10-19,50,3595,4657,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   20-49,62,2030,5753,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   50-99,45,650,4698,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   100-199,40,290,6602,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   200-249,10,45,1381,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   250-499,41,125,5382,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,J,   500 or more,185,85,20246,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,L,1,0,70,11,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,L,   2-4,1,460,112,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,L,   10-19,1,65,63,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,L,   20-49,1,25,33,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,M,   2-4,6,2275,411,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,M,   5-9,4,610,295,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,M,   10-19,5,355,325,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,M,   20-49,5,170,349,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
