,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
198,Merseyside,2017,24764
199,Merseyside,2018,24779
200,Merseyside,2019,25463
201,Merseyside,2020,22376
202,Merseyside,2021,25092
203,Merseyside,2022,25888
204,East Merseyside,2017,26416
205,East Merseyside,2018,26495
206,East Merseyside,2019,26778
207,East Merseyside,2020,23372
208,East Merseyside,2021,26296
209,East Merseyside,2022,26023
210,Liverpool,2017,30862
211,Liverpool,2018,30750
212,Liverpool,2019,32405
213,Liverpool,2020,28109
214,Liverpool,2021,32283
215,Liverpool,2022,33741
216,Sefton,2017,18302
217,Sefton,2018,18267
218,Sefton,2019,18085
219,Sefton,2020,16207
220,Sefton,2021,18357
221,Sefton,2022,18779
222,Wirral,2017,18982
223,Wirral,2018,19028
224,Wirral,2019,19495
225,Wirral,2020,17723
226,Wirral,2021,19093
227,Wirral,2022,19987
228,Yorkshire and The Humber,2017,26446
229,Yorkshire and The Humber,2018,26722
230,Yorkshire and The Humber,2019,26845
231,Yorkshire and The Humber,2020,23933
232,Yorkshire and The Humber,2021,26896
233,Yorkshire and The Humber,2022,27649
234,East Yorkshire and Northern Lincolnshire,2017,25687
235,East Yorkshire and Northern Lincolnshire,2018,26093
236,East Yorkshire and Northern Lincolnshire,2019,26455
237,East Yorkshire and Northern Lincolnshire,2020,23153
238,East Yorkshire and Northern Lincolnshire,2021,27350
239,East Yorkshire and Northern Lincolnshire,2022,28158
240,"Kingston upon Hull, City of",2017,25514
241,"Kingston upon Hull, City of",2018,25962
242,"Kingston upon Hull, City of",2019,25754
243,"Kingston upon Hull, City of",2020,21543
244,"Kingston upon Hull, City of",2021,25834
245,"Kingston upon Hull, City of",2022,26794
246,East Riding of Yorkshire,2017,23277
247,East Riding of Yorkshire,2018,24105
248,East Riding of Yorkshire,2019,24595
249,East Riding of Yorkshire,2020,22098
250,East Riding of Yorkshire,2021,25213
251,East Riding of Yorkshire,2022,25998
252,North and North East Lincolnshire,2017,28589
253,North and North East Lincolnshire,2018,28657
254,North and North East Lincolnshire,2019,28950
255,North and North East Lincolnshire,2020,25663
256,North and North East Lincolnshire,2021,31963
257,North and North East Lincolnshire,2022,32113
258,North Yorkshire,2017,30376
259,North Yorkshire,2018,30110
260,North Yorkshire,2019,30310
261,North Yorkshire,2020,27295
262,North Yorkshire,2021,30608
263,North Yorkshire,2022,31213
264,York,2017,35265
265,York,2018,35565
266,York,2019,34948
267,York,2020,31168
268,York,2021,34908
269,York,2022,37076
270,North Yorkshire CC,2017,28642
271,North Yorkshire CC,2018,28284
272,North Yorkshire CC,2019,28762
273,North Yorkshire CC,2020,26055
274,North Yorkshire CC,2021,28973
275,North Yorkshire CC,2022,29471
276,South Yorkshire,2017,23274
277,South Yorkshire,2018,23079
278,South Yorkshire,2019,23334
279,South Yorkshire,2020,21277
280,South Yorkshire,2021,23252
281,South Yorkshire,2022,23926
282,"Barnsley, Doncaster and Rotherham",2017,21236
283,"Barnsley, Doncaster and Rotherham",2018,21056
284,"Barnsley, Doncaster and Rotherham",2019,21050
285,"Barnsley, Doncaster and Rotherham",2020,19021
286,"Barnsley, Doncaster and Rotherham",2021,20612
287,"Barnsley, Doncaster and Rotherham",2022,21080
288,Sheffield,2017,26073
289,Sheffield,2018,25904
290,Sheffield,2019,26692
291,Sheffield,2020,24629
292,Sheffield,2021,27352
293,Sheffield,2022,28205
294,West Yorkshire,2017,27255
295,West Yorkshire,2018,27943
296,West Yorkshire,2019,27856
297,West Yorkshire,2020,24635
298,West Yorkshire,2021,27547
299,West Yorkshire,2022,28383
300,Bradford,2017,21012
301,Bradford,2018,20821
302,Bradford,2019,20664
303,Bradford,2020,18625
304,Bradford,2021,20555
305,Bradford,2022,21322
306,Leeds,2017,35863
307,Leeds,2018,37219
308,Leeds,2019,37366
309,Leeds,2020,32665
310,Leeds,2021,36833
311,Leeds,2022,38382
312,Calderdale and Kirklees,2017,22655
313,Calderdale and Kirklees,2018,23346
314,Calderdale and Kirklees,2019,23033
315,Calderdale and Kirklees,2020,20596
316,Calderdale and Kirklees,2021,23133
317,Calderdale and Kirklees,2022,22797
318,Wakefield,2017,25362
319,Wakefield,2018,26015
320,Wakefield,2019,26038
321,Wakefield,2020,23070
322,Wakefield,2021,25342
323,Wakefield,2022,26279
324,East Midlands,2017,26342
325,East Midlands,2018,26676
326,East Midlands,2019,26778
327,East Midlands,2020,24138
328,East Midlands,2021,26566
329,East Midlands,2022,26755
330,Derbyshire and Nottinghamshire,2017,25892
331,Derbyshire and Nottinghamshire,2018,26262
332,Derbyshire and Nottinghamshire,2019,26429
333,Derbyshire and Nottinghamshire,2020,24432
334,Derbyshire and Nottinghamshire,2021,26353
335,Derbyshire and Nottinghamshire,2022,26126
336,Derby,2017,30112
337,Derby,2018,31197
338,Derby,2019,31860
339,Derby,2020,31072
340,Derby,2021,32846
341,Derby,2022,32070
342,East Derbyshire,2017,24070
343,East Derbyshire,2018,24432
344,East Derbyshire,2019,24221
345,East Derbyshire,2020,23081
346,East Derbyshire,2021,25197
347,East Derbyshire,2022,24921
348,South and West Derbyshire,2017,23728
349,South and West Derbyshire,2018,24065
350,South and West Derbyshire,2019,24717
351,South and West Derbyshire,2020,23265
352,South and West Derbyshire,2021,24630
353,South and West Derbyshire,2022,23500
354,Nottingham,2017,36446
355,Nottingham,2018,36345
356,Nottingham,2019,35872
357,Nottingham,2020,31447
358,Nottingham,2021,34408
359,Nottingham,2022,34865
360,North Nottinghamshire,2017,22444
361,North Nottinghamshire,2018,22688
