,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
825,Milton Keynes,2020,47137
826,Milton Keynes,2021,49583
827,Milton Keynes,2022,48988
828,Buckinghamshire CC,2017,31949
829,Buckinghamshire CC,2018,32115
830,Buckinghamshire CC,2019,33427
831,Buckinghamshire CC,2020,30587
832,Buckinghamshire CC,2021,32492
833,Buckinghamshire CC,2022,33086
834,Oxfordshire CC,2017,35373
835,Oxfordshire CC,2018,35768
836,Oxfordshire CC,2019,36960
837,Oxfordshire CC,2020,35055
838,Oxfordshire CC,2021,36626
839,Oxfordshire CC,2022,37955
840,"Surrey, East and West Sussex",2017,34074
841,"Surrey, East and West Sussex",2018,34040
842,"Surrey, East and West Sussex",2019,34619
843,"Surrey, East and West Sussex",2020,31284
844,"Surrey, East and West Sussex",2021,32868
845,"Surrey, East and West Sussex",2022,34356
846,Brighton and Hove,2017,33111
847,Brighton and Hove,2018,34228
848,Brighton and Hove,2019,35120
849,Brighton and Hove,2020,32696
850,Brighton and Hove,2021,35916
851,Brighton and Hove,2022,39692
852,East Sussex CC,2017,20320
853,East Sussex CC,2018,20154
854,East Sussex CC,2019,20489
855,East Sussex CC,2020,18596
856,East Sussex CC,2021,20358
857,East Sussex CC,2022,20655
858,West Surrey,2017,43813
859,West Surrey,2018,44254
860,West Surrey,2019,45535
861,West Surrey,2020,42936
862,West Surrey,2021,44295
863,West Surrey,2022,44126
864,East Surrey,2017,41620
865,East Surrey,2018,38736
866,East Surrey,2019,38475
867,East Surrey,2020,33852
868,East Surrey,2021,35802
869,East Surrey,2022,38768
870,West Sussex (South West),2017,26762
871,West Sussex (South West),2018,27155
872,West Sussex (South West),2019,27549
873,West Sussex (South West),2020,25329
874,West Sussex (South West),2021,27115
875,West Sussex (South West),2022,28581
876,West Sussex (North East),2017,35444
877,West Sussex (North East),2018,36203
878,West Sussex (North East),2019,36235
879,West Sussex (North East),2020,29361
880,West Sussex (North East),2021,30776
881,West Sussex (North East),2022,32385
882,Hampshire and Isle of Wight,2017,33870
883,Hampshire and Isle of Wight,2018,34181
884,Hampshire and Isle of Wight,2019,35362
885,Hampshire and Isle of Wight,2020,31878
886,Hampshire and Isle of Wight,2021,33719
887,Hampshire and Isle of Wight,2022,35250
888,Portsmouth,2017,32462
889,Portsmouth,2018,32478
890,Portsmouth,2019,34477
891,Portsmouth,2020,31610
892,Portsmouth,2021,34172
893,Portsmouth,2022,36132
894,Southampton,2017,37662
895,Southampton,2018,39588
896,Southampton,2019,39046
897,Southampton,2020,34087
898,Southampton,2021,37632
899,Southampton,2022,39925
900,Isle of Wight,2017,21714
901,Isle of Wight,2018,21437
902,Isle of Wight,2019,22224
903,Isle of Wight,2020,20005
904,Isle of Wight,2021,21628
905,Isle of Wight,2022,23368
906,South Hampshire,2017,29079
907,South Hampshire,2018,27791
908,South Hampshire,2019,28311
909,South Hampshire,2020,25816
910,South Hampshire,2021,27257
911,South Hampshire,2022,27740
912,Central Hampshire,2017,33234
913,Central Hampshire,2018,33356
914,Central Hampshire,2019,34293
915,Central Hampshire,2020,30461
916,Central Hampshire,2021,32717
917,Central Hampshire,2022,33922
918,North Hampshire,2017,43498
919,North Hampshire,2018,45269
920,North Hampshire,2019,48351
921,North Hampshire,2020,44757
922,North Hampshire,2021,45687
923,North Hampshire,2022,46912
924,Kent,2017,27427
925,Kent,2018,27675
926,Kent,2019,28186
927,Kent,2020,25770
928,Kent,2021,26972
929,Kent,2022,28018
930,Medway,2017,23496
931,Medway,2018,23625
932,Medway,2019,24468
933,Medway,2020,22996
934,Medway,2021,23380
935,Medway,2022,24627
936,Kent Thames Gateway,2017,26795
937,Kent Thames Gateway,2018,26825
938,Kent Thames Gateway,2019,27381
939,Kent Thames Gateway,2020,25103
940,Kent Thames Gateway,2021,27191
941,Kent Thames Gateway,2022,26264
942,East Kent,2017,22823
943,East Kent,2018,22996
944,East Kent,2019,22952
945,East Kent,2020,20507
946,East Kent,2021,21823
947,East Kent,2022,23330
948,Mid Kent,2017,27936
949,Mid Kent,2018,28173
950,Mid Kent,2019,29254
951,Mid Kent,2020,26316
952,Mid Kent,2021,27626
953,Mid Kent,2022,28384
954,West Kent,2017,37021
955,West Kent,2018,37901
956,West Kent,2019,38439
957,West Kent,2020,35999
958,West Kent,2021,37726
959,West Kent,2022,38518
960,South West,2017,29156
961,South West,2018,29198
962,South West,2019,29573
963,South West,2020,26263
964,South West,2021,29225
965,South West,2022,30188
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,33921
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,34000
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,34532
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,30987
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,33970
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,34994
972,"Bristol, City of",2017,38045
973,"Bristol, City of",2018,36619
974,"Bristol, City of",2019,37319
975,"Bristol, City of",2020,32793
976,"Bristol, City of",2021,38299
977,"Bristol, City of",2022,39955
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,33051
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,33520
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,34250
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,31567
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,33906
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,35467
984,Gloucestershire CC,2017,32066
985,Gloucestershire CC,2018,32325
986,Gloucestershire CC,2019,33207
987,Gloucestershire CC,2020,29929
988,Gloucestershire CC,2021,32420
989,Gloucestershire CC,2022,31994
990,Swindon,2017,46515
991,Swindon,2018,47697
992,Swindon,2019,47592
993,Swindon,2020,41873
994,Swindon,2021,43042
995,Swindon,2022,46502
996,Wiltshire,2017,27510
997,Wiltshire,2018,27796
998,Wiltshire,2019,27976
999,Wiltshire,2020,25039
1000,Wiltshire,2021,27282
1001,Wiltshire,2022,28452
1002,Dorset and Somerset,2017,26258
1003,Dorset and Somerset,2018,26406
1004,Dorset and Somerset,2019,26596
1005,Dorset and Somerset,2020,23970
1006,Dorset and Somerset,2021,25958
1007,Dorset and Somerset,2022,26829
1008,Somerset CC,2017,24861
1009,Somerset CC,2018,25151
1010,Somerset CC,2019,25178
1011,Somerset CC,2020,22861
1012,Somerset CC,2021,24205
1013,Somerset CC,2022,25143
1014,"Bournemouth, Christchurch and Poole",2017,30290
1015,"Bournemouth, Christchurch and Poole",2018,29740
1016,"Bournemouth, Christchurch and Poole",2019,30145
1017,"Bournemouth, Christchurch and Poole",2020,26959
1018,"Bournemouth, Christchurch and Poole",2021,29767
1019,"Bournemouth, Christchurch and Poole",2022,30477
1020,Dorset,2017,24519
1021,Dorset,2018,24674
1022,Dorset,2019,24957
1023,Dorset,2020,22690
1024,Dorset,2021,24495
1025,Dorset,2022,25076
1026,Cornwall and Isles of Scilly,2017,23335
1027,Cornwall and Isles of Scilly,2018,23430
1028,Cornwall and Isles of Scilly,2019,23598
1029,Cornwall and Isles of Scilly,2020,20478
1030,Cornwall and Isles of Scilly,2021,23717
1031,Cornwall and Isles of Scilly,2022,24600
1032,Cornwall and Isles of Scilly,2017,23326
1033,Cornwall and Isles of Scilly,2018,23412
1034,Cornwall and Isles of Scilly,2019,23598
1035,Cornwall and Isles of Scilly,2020,20500
1036,Cornwall and Isles of Scilly,2021,23585
1037,Cornwall and Isles of Scilly,2022,24545
1038,Devon,2017,25119
1039,Devon,2018,24912
1040,Devon,2019,25250
1041,Devon,2020,21536
1042,Devon,2021,25459
1043,Devon,2022,26413
1044,Plymouth,2017,24936
1045,Plymouth,2018,25152
1046,Plymouth,2019,25463
1047,Plymouth,2020,21761
1048,Plymouth,2021,25219
1049,Plymouth,2022,26737
1050,Torbay,2017,17624
1051,Torbay,2018,16872
1052,Torbay,2019,17121
1053,Torbay,2020,14179
1054,Torbay,2021,17541
1055,Torbay,2022,18462
1056,Devon CC,2017,26520
1057,Devon CC,2018,26315
1058,Devon CC,2019,26596
1059,Devon CC,2020,22834
1060,Devon CC,2021,26790
1061,Devon CC,2022,27692
1062,Wales,2017,24452
1063,Wales,2018,25071
1064,Wales,2019,25417
1065,Wales,2020,22567
1066,Wales,2021,23745
1067,Wales,2022,24443
1068,West Wales and The Valleys,2017,21966
1069,West Wales and The Valleys,2018,22476
1070,West Wales and The Valleys,2019,22777
1071,West Wales and The Valleys,2020,19688
1072,West Wales and The Valleys,2021,21169
1073,West Wales and The Valleys,2022,21890
1074,Isle of Anglesey,2017,18858
1075,Isle of Anglesey,2018,19563
1076,Isle of Anglesey,2019,20287
1077,Isle of Anglesey,2020,16507
1078,Isle of Anglesey,2021,18818
1079,Isle of Anglesey,2022,20572
1080,Gwynedd,2017,24152
1081,Gwynedd,2018,24339
1082,Gwynedd,2019,24716
1083,Gwynedd,2020,19861
1084,Gwynedd,2021,23093
1085,Gwynedd,2022,23512
1086,Conwy and Denbighshire,2017,21467
1087,Conwy and Denbighshire,2018,21513
1088,Conwy and Denbighshire,2019,21501
1089,Conwy and Denbighshire,2020,18483
1090,Conwy and Denbighshire,2021,19949
1091,Conwy and Denbighshire,2022,20847
1092,South West Wales,2017,22675
1093,South West Wales,2018,22984
1094,South West Wales,2019,23038
1095,South West Wales,2020,19237
1096,South West Wales,2021,21185
1097,South West Wales,2022,22465
1098,Central Valleys,2017,20956
1099,Central Valleys,2018,21303
1100,Central Valleys,2019,21326
1101,Central Valleys,2020,18779
1102,Central Valleys,2021,20218
1103,Central Valleys,2022,21090
1104,Gwent Valleys,2017,18713
1105,Gwent Valleys,2018,19469
1106,Gwent Valleys,2019,19940
1107,Gwent Valleys,2020,17994
1108,Gwent Valleys,2021,19422
1109,Gwent Valleys,2022,19841
1110,Bridgend and Neath Port Talbot,2017,23020
1111,Bridgend and Neath Port Talbot,2018,23422
1112,Bridgend and Neath Port Talbot,2019,24212
1113,Bridgend and Neath Port Talbot,2020,21264
1114,Bridgend and Neath Port Talbot,2021,22848
1115,Bridgend and Neath Port Talbot,2022,22823
1116,Swansea,2017,25706
1117,Swansea,2018,27040
1118,Swansea,2019,27310
1119,Swansea,2020,23911
1120,Swansea,2021,24849
1121,Swansea,2022,24547
1122,East Wales,2017,28637
1123,East Wales,2018,29418
1124,East Wales,2019,29819
1125,East Wales,2020,27332
1126,East Wales,2021,28014
1127,East Wales,2022,28637
1128,Monmouthshire and Newport,2017,27195
1129,Monmouthshire and Newport,2018,28453
1130,Monmouthshire and Newport,2019,28327
1131,Monmouthshire and Newport,2020,25124
1132,Monmouthshire and Newport,2021,25826
1133,Monmouthshire and Newport,2022,26283
1134,Cardiff and Vale of Glamorgan,2017,31973
1135,Cardiff and Vale of Glamorgan,2018,32368
1136,Cardiff and Vale of Glamorgan,2019,32945
1137,Cardiff and Vale of Glamorgan,2020,30308
1138,Cardiff and Vale of Glamorgan,2021,31617
1139,Cardiff and Vale of Glamorgan,2022,31898
1140,Flintshire and Wrexham,2017,28252
1141,Flintshire and Wrexham,2018,29391
1142,Flintshire and Wrexham,2019,30150
1143,Flintshire and Wrexham,2020,28143
1144,Flintshire and Wrexham,2021,29453
1145,Flintshire and Wrexham,2022,30223
1146,Powys,2017,20335
1147,Powys,2018,20466
1148,Powys,2019,20331
1149,Powys,2020,18081
1150,Powys,2021,18533
1151,Powys,2022,19383
1152,Scotland,2017,30602
1153,Scotland,2018,30557
1154,Scotland,2019,30875
1155,Scotland,2020,27016
1156,Scotland,2021,29477
1157,Scotland,2022,30586
1158,North Eastern Scotland,2017,39567
1159,North Eastern Scotland,2018,38533
1160,North Eastern Scotland,2019,38554
1161,North Eastern Scotland,2020,32956
1162,North Eastern Scotland,2021,34537
1163,North Eastern Scotland,2022,36375
1164,Aberdeen City and Aberdeenshire,2017,39601
1165,Aberdeen City and Aberdeenshire,2018,38610
1166,Aberdeen City and Aberdeenshire,2019,38554
1167,Aberdeen City and Aberdeenshire,2020,32947
1168,Aberdeen City and Aberdeenshire,2021,34508
1169,Aberdeen City and Aberdeenshire,2022,36462
1170,Highlands and Islands,2017,29094
1171,Highlands and Islands,2018,29017
1172,Highlands and Islands,2019,29386
1173,Highlands and Islands,2020,25731
1174,Highlands and Islands,2021,27152
1175,Highlands and Islands,2022,[u]
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,25270
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,25230
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,26124
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,23457
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,25010
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,[u]
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,31165
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,31189
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,30899
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,26813
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,28541
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,[u]
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,28396
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,28218
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,28937
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,25114
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,26302
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,[u]
1194,Na h-Eileanan Siar,2017,21907
1195,Na h-Eileanan Siar,2018,22884
1196,Na h-Eileanan Siar,2019,24183
1197,Na h-Eileanan Siar,2020,22136
1198,Na h-Eileanan Siar,2021,23748
1199,Na h-Eileanan Siar,2022,22859
1200,Orkney Islands,2017,29710
1201,Orkney Islands,2018,27194
1202,Orkney Islands,2019,27906
1203,Orkney Islands,2020,24545
1204,Orkney Islands,2021,25409
1205,Orkney Islands,2022,26531
1206,Shetland Islands,2017,37807
1207,Shetland Islands,2018,37363
1208,Shetland Islands,2019,38652
1209,Shetland Islands,2020,34233
1210,Shetland Islands,2021,33842
1211,Shetland Islands,2022,33600
1212,Eastern Scotland,2017,32396
1213,Eastern Scotland,2018,32578
1214,Eastern Scotland,2019,32947
1215,Eastern Scotland,2020,28852
1216,Eastern Scotland,2021,31831
1217,Eastern Scotland,2022,32982
1218,Angus and Dundee City,2017,23873
1219,Angus and Dundee City,2018,24144
1220,Angus and Dundee City,2019,24920
1221,Angus and Dundee City,2020,20978
1222,Angus and Dundee City,2021,23730
1223,Angus and Dundee City,2022,24757
1224,Clackmannanshire and Fife,2017,23164
1225,Clackmannanshire and Fife,2018,22916
1226,Clackmannanshire and Fife,2019,23093
1227,Clackmannanshire and Fife,2020,21166
1228,Clackmannanshire and Fife,2021,22879
1229,Clackmannanshire and Fife,2022,23594
1230,East Lothian and Midlothian,2017,20202
1231,East Lothian and Midlothian,2018,20390
1232,East Lothian and Midlothian,2019,20551
1233,East Lothian and Midlothian,2020,18072
1234,East Lothian and Midlothian,2021,19834
1235,East Lothian and Midlothian,2022,20211
1236,City of Edinburgh,2017,51848
1237,City of Edinburgh,2018,52359
1238,City of Edinburgh,2019,52656
1239,City of Edinburgh,2020,45356
1240,City of Edinburgh,2021,50154
1241,City of Edinburgh,2022,53587
1242,Falkirk,2017,27919
1243,Falkirk,2018,28347
1244,Falkirk,2019,28422
1245,Falkirk,2020,24372
1246,Falkirk,2021,27059
1247,Falkirk,2022,26848
1248,"Perth and Kinross, and Stirling",2017,32487
1249,"Perth and Kinross, and Stirling",2018,31619
1250,"Perth and Kinross, and Stirling",2019,32076
1251,"Perth and Kinross, and Stirling",2020,27490
1252,"Perth and Kinross, and Stirling",2021,29460
1253,"Perth and Kinross, and Stirling",2022,29347
1254,West Lothian,2017,28230
1255,West Lothian,2018,29323
1256,West Lothian,2019,29618
1257,West Lothian,2020,28167
1258,West Lothian,2021,31352
1259,West Lothian,2022,32998
1260,West Central Scotland,2017,29770
1261,West Central Scotland,2018,29895
1262,West Central Scotland,2019,30359
1263,West Central Scotland,2020,26910
1264,West Central Scotland,2021,29954
1265,West Central Scotland,2022,[u]
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,20623
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,20932
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,21254
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,18319
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,19881
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,[u]
1272,Glasgow City,2017,38101
1273,Glasgow City,2018,38167
1274,Glasgow City,2019,38933
1275,Glasgow City,2020,34693
1276,Glasgow City,2021,38574
1277,Glasgow City,2022,40888
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,23064
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,23035
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,22964
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,19923
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,22188
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,22018
1284,North Lanarkshire,2017,27460
1285,North Lanarkshire,2018,27657
1286,North Lanarkshire,2019,28050
1287,North Lanarkshire,2020,24987
1288,North Lanarkshire,2021,27217
1289,North Lanarkshire,2022,28360
1290,Southern Scotland,2017,24297
1291,Southern Scotland,2018,24025
1292,Southern Scotland,2019,24110
1293,Southern Scotland,2020,20842
1294,Southern Scotland,2021,22247
1295,Southern Scotland,2022,[u]
1296,Scottish Borders,2017,23914
1297,Scottish Borders,2018,24363
1298,Scottish Borders,2019,24565
1299,Scottish Borders,2020,21267
1300,Scottish Borders,2021,23157
1301,Scottish Borders,2022,22387
1302,Dumfries and Galloway,2017,27654
1303,Dumfries and Galloway,2018,27209
1304,Dumfries and Galloway,2019,27816
1305,Dumfries and Galloway,2020,24160
1306,Dumfries and Galloway,2021,25435
1307,Dumfries and Galloway,2022,26054
1308,East Ayrshire and North Ayrshire mainland,2017,19900
1309,East Ayrshire and North Ayrshire mainland,2018,19612
1310,East Ayrshire and North Ayrshire mainland,2019,19708
1311,East Ayrshire and North Ayrshire mainland,2020,17625
1312,East Ayrshire and North Ayrshire mainland,2021,19284
1313,East Ayrshire and North Ayrshire mainland,2022,[u]
1314,South Ayrshire,2017,25769
1315,South Ayrshire,2018,25870
1316,South Ayrshire,2019,25634
1317,South Ayrshire,2020,20977
1318,South Ayrshire,2021,22337
1319,South Ayrshire,2022,24242
1320,South Lanarkshire,2017,26047
1321,South Lanarkshire,2018,25345
1322,South Lanarkshire,2019,25135
1323,South Lanarkshire,2020,21804
1324,South Lanarkshire,2021,22799
1325,South Lanarkshire,2022,24206
1326,Northern Ireland,2017,25961
1327,Northern Ireland,2018,25877
1328,Northern Ireland,2019,26367
1329,Northern Ireland,2020,23111
1330,Northern Ireland,2021,25781
1331,Northern Ireland,2022,26480
1332,Northern Ireland,2017,25961
1333,Northern Ireland,2018,25877
1334,Northern Ireland,2019,26367
1335,Northern Ireland,2020,23111
1336,Northern Ireland,2021,25781
1337,Northern Ireland,2022,26480
1338,Belfast,2017,42352
1339,Belfast,2018,42432
1340,Belfast,2019,42706
1341,Belfast,2020,37323
1342,Belfast,2021,42990
1343,Belfast,2022,44082
1344,"Armagh City, Banbridge and Craigavon",2017,21415
1345,"Armagh City, Banbridge and Craigavon",2018,21931
1346,"Armagh City, Banbridge and Craigavon",2019,22312
1347,"Armagh City, Banbridge and Craigavon",2020,19221
1348,"Armagh City, Banbridge and Craigavon",2021,21413
1349,"Armagh City, Banbridge and Craigavon",2022,21790
1350,"Newry, Mourne and Down",2017,20521
1351,"Newry, Mourne and Down",2018,20638
1352,"Newry, Mourne and Down",2019,21273
1353,"Newry, Mourne and Down",2020,18905
1354,"Newry, Mourne and Down",2021,20412
1355,"Newry, Mourne and Down",2022,21065
1356,Ards and North Down,2017,16453
1357,Ards and North Down,2018,16554
1358,Ards and North Down,2019,16833
1359,Ards and North Down,2020,14873
1360,Ards and North Down,2021,15904
1361,Ards and North Down,2022,15932
1362,Derry City and Strabane,2017,21631
1363,Derry City and Strabane,2018,21755
1364,Derry City and Strabane,2019,22731
1365,Derry City and Strabane,2020,20556
1366,Derry City and Strabane,2021,22284
1367,Derry City and Strabane,2022,23573
1368,Mid Ulster,2017,25965
1369,Mid Ulster,2018,27222
1370,Mid Ulster,2019,28183
1371,Mid Ulster,2020,24894
1372,Mid Ulster,2021,27667
1373,Mid Ulster,2022,28499
1374,Causeway Coast and Glens,2017,19590
1375,Causeway Coast and Glens,2018,19000
1376,Causeway Coast and Glens,2019,19068
1377,Causeway Coast and Glens,2020,16494
1378,Causeway Coast and Glens,2021,18357
1379,Causeway Coast and Glens,2022,18846
1380,Antrim and Newtownabbey,2017,26560
1381,Antrim and Newtownabbey,2018,26479
1382,Antrim and Newtownabbey,2019,26980
1383,Antrim and Newtownabbey,2020,22986
1384,Antrim and Newtownabbey,2021,25676
1385,Antrim and Newtownabbey,2022,25980
1386,Lisburn and Castlereagh,2017,25602
1387,Lisburn and Castlereagh,2018,26029
1388,Lisburn and Castlereagh,2019,26678
1389,Lisburn and Castlereagh,2020,22581
1390,Lisburn and Castlereagh,2021,25407
1391,Lisburn and Castlereagh,2022,26537
1392,Mid and East Antrim,2017,24464
1393,Mid and East Antrim,2018,20819
1394,Mid and East Antrim,2019,21162
1395,Mid and East Antrim,2020,19470
1396,Mid and East Antrim,2021,20525
1397,Mid and East Antrim,2022,20674
1398,Fermanagh and Omagh,2017,22226
1399,Fermanagh and Omagh,2018,22738
1400,Fermanagh and Omagh,2019,23140
1401,Fermanagh and Omagh,2020,20664
1402,Fermanagh and Omagh,2021,22892
1403,Fermanagh and Omagh,2022,23270
1404,Extra-Regio,2017,[z]
1405,Extra-Regio,2018,[z]
1406,Extra-Regio,2019,[z]
1407,Extra-Regio,2020,[z]
1408,Extra-Regio,2021,[z]
1409,Extra-Regio,2022,[z]
1410,United Kingdom less Extra-Regio,2017,32574
1411,United Kingdom less Extra-Regio,2018,32849
1412,United Kingdom less Extra-Regio,2019,33225
1413,United Kingdom less Extra-Regio,2020,29567
1414,United Kingdom less Extra-Regio,2021,32246
1415,United Kingdom less Extra-Regio,2022,33274
