,Region,Year,Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value
198,Merseyside,2017,37976
199,Merseyside,2018,38185
200,Merseyside,2019,39369
201,Merseyside,2020,34598
202,Merseyside,2021,38950
203,Merseyside,2022,40672
204,East Merseyside,2017,12039
205,East Merseyside,2018,12157
206,East Merseyside,2019,12366
207,East Merseyside,2020,10845
208,East Merseyside,2021,12279
209,East Merseyside,2022,12251
210,Liverpool,2017,14808
211,Liverpool,2018,14870
212,Liverpool,2019,15706
213,Liverpool,2020,13586
214,Liverpool,2021,15658
215,Liverpool,2022,16762
216,Sefton,2017,5069
217,Sefton,2018,5076
218,Sefton,2019,5044
219,Sefton,2020,4516
220,Sefton,2021,5134
221,Sefton,2022,5277
222,Wirral,2017,6093
223,Wirral,2018,6101
224,Wirral,2019,6253
225,Wirral,2020,5676
226,Wirral,2021,6122
227,Wirral,2022,6445
228,Yorkshire and The Humber,2017,143545
229,Yorkshire and The Humber,2018,145470
230,Yorkshire and The Humber,2019,146697
231,Yorkshire and The Humber,2020,130875
232,Yorkshire and The Humber,2021,147456
233,Yorkshire and The Humber,2022,153209
234,East Yorkshire and Northern Lincolnshire,2017,23980
235,East Yorkshire and Northern Lincolnshire,2018,24378
236,East Yorkshire and Northern Lincolnshire,2019,24760
237,East Yorkshire and Northern Lincolnshire,2020,21671
238,East Yorkshire and Northern Lincolnshire,2021,25621
239,East Yorkshire and Northern Lincolnshire,2022,26552
240,"Kingston upon Hull, City of",2017,6827
241,"Kingston upon Hull, City of",2018,6964
242,"Kingston upon Hull, City of",2019,6921
243,"Kingston upon Hull, City of",2020,5765
244,"Kingston upon Hull, City of",2021,6885
245,"Kingston upon Hull, City of",2022,7204
246,East Riding of Yorkshire,2017,7837
247,East Riding of Yorkshire,2018,8128
248,East Riding of Yorkshire,2019,8336
249,East Riding of Yorkshire,2020,7536
250,East Riding of Yorkshire,2021,8652
251,East Riding of Yorkshire,2022,9003
252,North and North East Lincolnshire,2017,9415
253,North and North East Lincolnshire,2018,9424
254,North and North East Lincolnshire,2019,9503
255,North and North East Lincolnshire,2020,8401
256,North and North East Lincolnshire,2021,10456
257,North and North East Lincolnshire,2022,10527
258,North Yorkshire,2017,24630
259,North Yorkshire,2018,24438
260,North Yorkshire,2019,24689
261,North Yorkshire,2020,22193
262,North Yorkshire,2021,25113
263,North Yorkshire,2022,25846
264,York,2017,7178
265,York,2018,7252
266,York,2019,7125
267,York,2020,6301
268,York,2021,7046
269,York,2022,7584
270,North Yorkshire CC,2017,17394
271,North Yorkshire CC,2018,17189
272,North Yorkshire CC,2019,17564
273,North Yorkshire CC,2020,15917
274,North Yorkshire CC,2021,17923
275,North Yorkshire CC,2022,18375
276,South Yorkshire,2017,31843
277,South Yorkshire,2018,31676
278,South Yorkshire,2019,32070
279,South Yorkshire,2020,29214
280,South Yorkshire,2021,31967
281,South Yorkshire,2022,33308
282,"Barnsley, Doncaster and Rotherham",2017,17254
283,"Barnsley, Doncaster and Rotherham",2018,17176
284,"Barnsley, Doncaster and Rotherham",2019,17218
285,"Barnsley, Doncaster and Rotherham",2020,15559
286,"Barnsley, Doncaster and Rotherham",2021,16897
287,"Barnsley, Doncaster and Rotherham",2022,17409
288,Sheffield,2017,14488
289,Sheffield,2018,14423
290,Sheffield,2019,14851
291,Sheffield,2020,13670
292,Sheffield,2021,15181
293,Sheffield,2022,15971
294,West Yorkshire,2017,63101
295,West Yorkshire,2018,64981
296,West Yorkshire,2019,65178
297,West Yorkshire,2020,57804
298,West Yorkshire,2021,64748
299,West Yorkshire,2022,67499
300,Bradford,2017,11356
301,Bradford,2018,11296
302,Bradford,2019,11282
303,Bradford,2020,10190
304,Bradford,2021,11240
305,Bradford,2022,11784
306,Leeds,2017,28444
307,Leeds,2018,29689
308,Leeds,2019,30066
309,Leeds,2020,26408
310,Leeds,2021,29816
311,Leeds,2022,31568
312,Calderdale and Kirklees,2017,14518
313,Calderdale and Kirklees,2018,14960
314,Calderdale and Kirklees,2019,14764
315,Calderdale and Kirklees,2020,13179
316,Calderdale and Kirklees,2021,14812
317,Calderdale and Kirklees,2022,14711
318,Wakefield,2017,8642
319,Wakefield,2018,8961
320,Wakefield,2019,9066
321,Wakefield,2020,8097
322,Wakefield,2021,8966
323,Wakefield,2022,9401
324,East Midlands,2017,125872
325,East Midlands,2018,128451
326,East Midlands,2019,129712
327,East Midlands,2020,117202
328,East Midlands,2021,129682
329,East Midlands,2022,132036
330,Derbyshire and Nottinghamshire,2017,56359
331,Derbyshire and Nottinghamshire,2018,57420
