,Region,Year,Total resident population numbers
197,Cheshire West and Chester,2022,361694
198,Merseyside,2017,1533538
199,Merseyside,2018,1540983
200,Merseyside,2019,1546117
201,Merseyside,2020,1546236
202,Merseyside,2021,1552288
203,Merseyside,2022,1571045
204,East Merseyside,2017,455755
205,East Merseyside,2018,458852
206,East Merseyside,2019,461790
207,East Merseyside,2020,464018
208,East Merseyside,2021,466942
209,East Merseyside,2022,470795
210,Liverpool,2017,479801
211,Liverpool,2018,483598
212,Liverpool,2019,484687
213,Liverpool,2020,483348
214,Liverpool,2021,485022
215,Liverpool,2022,496770
216,Sefton,2017,276962
217,Sefton,2018,277890
218,Sefton,2019,278908
219,Sefton,2020,278621
220,Sefton,2021,279693
221,Sefton,2022,281027
222,Wirral,2017,321020
223,Wirral,2018,320643
224,Wirral,2019,320732
225,Wirral,2020,320249
226,Wirral,2021,320631
227,Wirral,2022,322453
228,Yorkshire and The Humber,2017,5427784
229,Yorkshire and The Humber,2018,5443883
230,Yorkshire and The Humber,2019,5464651
231,Yorkshire and The Humber,2020,5468487
232,Yorkshire and The Humber,2021,5482455
233,Yorkshire and The Humber,2022,5541262
234,East Yorkshire and Northern Lincolnshire,2017,933578
235,East Yorkshire and Northern Lincolnshire,2018,934259
236,East Yorkshire and Northern Lincolnshire,2019,935933
237,East Yorkshire and Northern Lincolnshire,2020,935988
238,East Yorkshire and Northern Lincolnshire,2021,936778
239,East Yorkshire and Northern Lincolnshire,2022,942957
240,"Kingston upon Hull, City of",2017,267566
241,"Kingston upon Hull, City of",2018,268223
242,"Kingston upon Hull, City of",2019,268749
243,"Kingston upon Hull, City of",2020,267591
244,"Kingston upon Hull, City of",2021,266516
245,"Kingston upon Hull, City of",2022,268852
246,East Riding of Yorkshire,2017,336697
247,East Riding of Yorkshire,2018,337192
248,East Riding of Yorkshire,2019,338944
249,East Riding of Yorkshire,2020,341050
250,East Riding of Yorkshire,2021,343145
251,East Riding of Yorkshire,2022,346309
252,North and North East Lincolnshire,2017,329315
253,North and North East Lincolnshire,2018,328844
254,North and North East Lincolnshire,2019,328240
255,North and North East Lincolnshire,2020,327347
256,North and North East Lincolnshire,2021,327117
257,North and North East Lincolnshire,2022,327796
258,North Yorkshire,2017,810837
259,North Yorkshire,2018,811641
260,North Yorkshire,2019,814537
261,North Yorkshire,2020,813068
262,North Yorkshire,2021,820478
263,North Yorkshire,2022,828052
264,York,2017,203546
265,York,2018,203906
266,York,2019,203877
267,York,2020,202169
268,York,2021,201851
269,York,2022,204551
270,North Yorkshire CC,2017,607291
271,North Yorkshire CC,2018,607735
272,North Yorkshire CC,2019,610660
273,North Yorkshire CC,2020,610899
274,North Yorkshire CC,2021,618627
275,North Yorkshire CC,2022,623501
276,South Yorkshire,2017,1368187
277,South Yorkshire,2018,1372522
278,South Yorkshire,2019,1374386
279,South Yorkshire,2020,1373015
280,South Yorkshire,2021,1374792
281,South Yorkshire,2022,1392105
282,"Barnsley, Doncaster and Rotherham",2017,812512
283,"Barnsley, Doncaster and Rotherham",2018,815751
284,"Barnsley, Doncaster and Rotherham",2019,817987
285,"Barnsley, Doncaster and Rotherham",2020,817979
286,"Barnsley, Doncaster and Rotherham",2021,819757
