,Region,Year,Total resident population numbers
820,Berkshire,2021,951031
821,Berkshire,2022,958803
822,Milton Keynes,2017,276588
823,Milton Keynes,2018,278892
824,Milton Keynes,2019,281434
825,Milton Keynes,2020,283707
826,Milton Keynes,2021,288312
827,Milton Keynes,2022,292180
828,Buckinghamshire CC,2017,538762
829,Buckinghamshire CC,2018,541983
830,Buckinghamshire CC,2019,545859
831,Buckinghamshire CC,2020,549066
832,Buckinghamshire CC,2021,555161
833,Buckinghamshire CC,2022,560409
834,Oxfordshire CC,2017,696188
835,Oxfordshire CC,2018,702259
836,Oxfordshire CC,2019,708513
837,Oxfordshire CC,2020,714766
838,Oxfordshire CC,2021,726727
839,Oxfordshire CC,2022,738276
840,"Surrey, East and West Sussex",2017,2868837
841,"Surrey, East and West Sussex",2018,2878969
842,"Surrey, East and West Sussex",2019,2889145
843,"Surrey, East and West Sussex",2020,2894279
844,"Surrey, East and West Sussex",2021,2914357
845,"Surrey, East and West Sussex",2022,2935561
846,Brighton and Hove,2017,279500
847,Brighton and Hove,2018,281250
848,Brighton and Hove,2019,279920
849,Brighton and Hove,2020,278496
850,Brighton and Hove,2021,276454
851,Brighton and Hove,2022,277965
852,East Sussex CC,2017,544697
853,East Sussex CC,2018,544719
854,East Sussex CC,2019,545261
855,East Sussex CC,2020,544582
856,East Sussex CC,2021,546861
857,East Sussex CC,2022,550720
858,West Surrey,2017,784943
859,West Surrey,2018,785155
860,West Surrey,2019,788806
861,West Surrey,2020,790933
862,West Surrey,2021,797765
863,West Surrey,2022,803251
864,East Surrey,2017,400160
865,East Surrey,2018,401597
866,East Surrey,2019,403418
867,East Surrey,2020,404914
868,East Surrey,2021,408229
869,East Surrey,2022,411289
870,West Sussex (South West),2017,456913
871,West Sussex (South West),2018,459342
872,West Sussex (South West),2019,461637
873,West Sussex (South West),2020,462307
874,West Sussex (South West),2021,466022
875,West Sussex (South West),2022,469201
876,West Sussex (North East),2017,402624
877,West Sussex (North East),2018,406906
878,West Sussex (North East),2019,410103
879,West Sussex (North East),2020,413047
880,West Sussex (North East),2021,419026
881,West Sussex (North East),2022,423135
882,Hampshire and Isle of Wight,2017,1976517
883,Hampshire and Isle of Wight,2018,1981860
884,Hampshire and Isle of Wight,2019,1985982
885,Hampshire and Isle of Wight,2020,1990047
886,Hampshire and Isle of Wight,2021,2001786
887,Hampshire and Isle of Wight,2022,2018711
888,Portsmouth,2017,210965
889,Portsmouth,2018,211215
890,Portsmouth,2019,210412
891,Portsmouth,2020,209142
892,Portsmouth,2021,207119
893,Portsmouth,2022,208420
894,Southampton,2017,250492
895,Southampton,2018,250803
896,Southampton,2019,249428
897,Southampton,2020,248679
898,Southampton,2021,247672
899,Southampton,2022,252689
900,Isle of Wight,2017,141277
901,Isle of Wight,2018,141665
902,Isle of Wight,2019,141764
903,Isle of Wight,2020,140915
904,Isle of Wight,2021,140885
905,Isle of Wight,2022,140794
906,South Hampshire,2017,452700
907,South Hampshire,2018,453432
908,South Hampshire,2019,454175
909,South Hampshire,2020,455473
910,South Hampshire,2021,458551
911,South Hampshire,2022,460621
912,Central Hampshire,2017,546088
913,Central Hampshire,2018,548523
914,Central Hampshire,2019,551324
915,Central Hampshire,2020,554274
916,Central Hampshire,2021,561488
917,Central Hampshire,2022,566400
918,North Hampshire,2017,374995
919,North Hampshire,2018,376222
920,North Hampshire,2019,378879
921,North Hampshire,2020,381564
922,North Hampshire,2021,386071
923,North Hampshire,2022,389787
924,Kent,2017,1821359
925,Kent,2018,1831680
926,Kent,2019,1842692
927,Kent,2020,1848335
928,Kent,2021,1858455
929,Kent,2022,1875893
930,Medway,2017,278652
931,Medway,2018,278827
932,Medway,2019,279852
933,Medway,2020,280364
934,Medway,2021,279903
935,Medway,2022,282702
936,Kent Thames Gateway,2017,361761
937,Kent Thames Gateway,2018,365944
938,Kent Thames Gateway,2019,371029
939,Kent Thames Gateway,2020,373302
940,Kent Thames Gateway,2021,375920
941,Kent Thames Gateway,2022,380409
942,East Kent,2017,522054
943,East Kent,2018,522980
944,East Kent,2019,523294
945,East Kent,2020,522853
946,East Kent,2021,523878
947,East Kent,2022,525949
948,Mid Kent,2017,296164
949,Mid Kent,2018,299675
950,Mid Kent,2019,302282
951,Mid Kent,2020,304703
952,Mid Kent,2021,309918
953,Mid Kent,2022,316038
954,West Kent,2017,362728
955,West Kent,2018,364254
956,West Kent,2019,366235
957,West Kent,2020,367113
958,West Kent,2021,368836
959,West Kent,2022,370795
960,South West,2017,5574666
961,South West,2018,5609701
962,South West,2019,5642792
963,South West,2020,5661990
964,South West,2021,5712822
965,South West,2022,5764881
966,"Gloucestershire, Wiltshire and Bath/Bristol Area",2017,2496656
967,"Gloucestershire, Wiltshire and Bath/Bristol Area",2018,2516124
968,"Gloucestershire, Wiltshire and Bath/Bristol Area",2019,2533794
969,"Gloucestershire, Wiltshire and Bath/Bristol Area",2020,2547050
970,"Gloucestershire, Wiltshire and Bath/Bristol Area",2021,2565460
971,"Gloucestershire, Wiltshire and Bath/Bristol Area",2022,2592503
972,"Bristol, City of",2017,463113
973,"Bristol, City of",2018,467026
974,"Bristol, City of",2019,469920
975,"Bristol, City of",2020,471851
976,"Bristol, City of",2021,471285
977,"Bristol, City of",2022,479024
978,"Bath and North East Somerset, North Somerset and South Gloucestershire",2017,678974
979,"Bath and North East Somerset, North Somerset and South Gloucestershire",2018,685568
980,"Bath and North East Somerset, North Somerset and South Gloucestershire",2019,690279
981,"Bath and North East Somerset, North Somerset and South Gloucestershire",2020,695006
982,"Bath and North East Somerset, North Somerset and South Gloucestershire",2021,700690
983,"Bath and North East Somerset, North Somerset and South Gloucestershire",2022,709528
984,Gloucestershire CC,2017,629712
985,Gloucestershire CC,2018,634653
986,Gloucestershire CC,2019,638676
987,Gloucestershire CC,2020,640572
988,Gloucestershire CC,2021,646485
989,Gloucestershire CC,2022,652409
990,Swindon,2017,227680
991,Swindon,2018,230174
992,Swindon,2019,231934
993,Swindon,2020,232574
994,Swindon,2021,233760
995,Swindon,2022,235657
996,Wiltshire,2017,497177
997,Wiltshire,2018,498703
998,Wiltshire,2019,502985
999,Wiltshire,2020,507047
1000,Wiltshire,2021,513240
1001,Wiltshire,2022,515885
1002,Dorset and Somerset,2017,1332944
1003,Dorset and Somerset,2018,1337827
1004,Dorset and Somerset,2019,1342868
1005,Dorset and Somerset,2020,1343544
1006,Dorset and Somerset,2021,1354500
1007,Dorset and Somerset,2022,1362024
1008,Somerset CC,2017,558895
1009,Somerset CC,2018,562159
1010,Somerset CC,2019,564987
1011,Somerset CC,2020,566310
1012,Somerset CC,2021,573100
1013,Somerset CC,2022,576852
1014,"Bournemouth, Christchurch and Poole",2017,399374
1015,"Bournemouth, Christchurch and Poole",2018,400064
1016,"Bournemouth, Christchurch and Poole",2019,400182
1017,"Bournemouth, Christchurch and Poole",2020,399564
1018,"Bournemouth, Christchurch and Poole",2021,400155
1019,"Bournemouth, Christchurch and Poole",2022,401898
1020,Dorset,2017,374675
1021,Dorset,2018,375604
1022,Dorset,2019,377699
1023,Dorset,2020,377670
1024,Dorset,2021,381245
1025,Dorset,2022,383274
1026,Cornwall and Isles of Scilly,2017,559091
1027,Cornwall and Isles of Scilly,2018,562127
1028,Cornwall and Isles of Scilly,2019,565793
1029,Cornwall and Isles of Scilly,2020,567075
1030,Cornwall and Isles of Scilly,2021,574219
1031,Cornwall and Isles of Scilly,2022,577694
1032,Cornwall and Isles of Scilly,2017,559091
1033,Cornwall and Isles of Scilly,2018,562127
1034,Cornwall and Isles of Scilly,2019,565793
1035,Cornwall and Isles of Scilly,2020,567075
1036,Cornwall and Isles of Scilly,2021,574219
1037,Cornwall and Isles of Scilly,2022,577694
1038,Devon,2017,1185975
1039,Devon,2018,1193623
1040,Devon,2019,1200337
1041,Devon,2020,1204321
1042,Devon,2021,1218643
1043,Devon,2022,1232660
1044,Plymouth,2017,265294
1045,Plymouth,2018,265689
1046,Plymouth,2019,265041
1047,Plymouth,2020,264830
1048,Plymouth,2021,264768
1049,Plymouth,2022,266862
1050,Torbay,2017,137329
1051,Torbay,2018,138100
1052,Torbay,2019,138754
1053,Torbay,2020,138695
1054,Torbay,2021,139440
1055,Torbay,2022,139479
1056,Devon CC,2017,783352
1057,Devon CC,2018,789834
1058,Devon CC,2019,796542
1059,Devon CC,2020,800796
1060,Devon CC,2021,814435
1061,Devon CC,2022,826319
1062,Wales,2017,3081366
1063,Wales,2018,3083840
1064,Wales,2019,3087732
1065,Wales,2020,3104483
1066,Wales,2021,3105633
1067,Wales,2022,3131640
1068,West Wales and The Valleys,2017,1930950
1069,West Wales and The Valleys,2018,1929696
1070,West Wales and The Valleys,2019,1930243
1071,West Wales and The Valleys,2020,1938895
1072,West Wales and The Valleys,2021,1936750
1073,West Wales and The Valleys,2022,1946063
1074,Isle of Anglesey,2017,68617
1075,Isle of Anglesey,2018,68539
1076,Isle of Anglesey,2019,68278
1077,Isle of Anglesey,2020,68794
1078,Isle of Anglesey,2021,68937
1079,Isle of Anglesey,2022,69049
1080,Gwynedd,2017,118881
1081,Gwynedd,2018,118129
1082,Gwynedd,2019,117584
1083,Gwynedd,2020,118180
1084,Gwynedd,2021,117072
1085,Gwynedd,2022,117591
1086,Conwy and Denbighshire,2017,209452
1087,Conwy and Denbighshire,2018,208983
1088,Conwy and Denbighshire,2019,208962
1089,Conwy and Denbighshire,2020,210209
1090,Conwy and Denbighshire,2021,210835
1091,Conwy and Denbighshire,2022,210848
1092,South West Wales,2017,378586
1093,South West Wales,2018,377929
1094,South West Wales,2019,378196
1095,South West Wales,2020,381384
1096,South West Wales,2021,382481
1097,South West Wales,2022,385094
1098,Central Valleys,2017,295694
1099,Central Valleys,2018,296034
1100,Central Valleys,2019,296829
1101,Central Valleys,2020,297233
1102,Central Valleys,2021,296414
1103,Central Valleys,2022,297901
1104,Gwent Valleys,2017,336077
1105,Gwent Valleys,2018,335973
1106,Gwent Valleys,2019,335802
1107,Gwent Valleys,2020,336361
1108,Gwent Valleys,2021,335442
1109,Gwent Valleys,2022,336004
1110,Bridgend and Neath Port Talbot,2017,284377
1111,Bridgend and Neath Port Talbot,2018,284925
1112,Bridgend and Neath Port Talbot,2019,285885
1113,Bridgend and Neath Port Talbot,2020,287742
1114,Bridgend and Neath Port Talbot,2021,287672
1115,Bridgend and Neath Port Talbot,2022,288294
1116,Swansea,2017,239266
1117,Swansea,2018,239184
1118,Swansea,2019,238707
1119,Swansea,2020,238992
1120,Swansea,2021,237897
1121,Swansea,2022,241282
1122,East Wales,2017,1150416
1123,East Wales,2018,1154144
1124,East Wales,2019,1157489
1125,East Wales,2020,1165588
1126,East Wales,2021,1168883
1127,East Wales,2022,1185577
1128,Monmouthshire and Newport,2017,245025
1129,Monmouthshire and Newport,2018,247056
1130,Monmouthshire and Newport,2019,248503
1131,Monmouthshire and Newport,2020,250894
1132,Monmouthshire and Newport,2021,252850
1133,Monmouthshire and Newport,2022,255392
1134,Cardiff and Vale of Glamorgan,2017,482725
1135,Cardiff and Vale of Glamorgan,2018,484290
1136,Cardiff and Vale of Glamorgan,2019,486939
1137,Cardiff and Vale of Glamorgan,2020,491511
1138,Cardiff and Vale of Glamorgan,2021,492315
1139,Cardiff and Vale of Glamorgan,2022,505581
1140,Flintshire and Wrexham,2017,290206
1141,Flintshire and Wrexham,2018,290831
1142,Flintshire and Wrexham,2019,290491
1143,Flintshire and Wrexham,2020,290984
1144,Flintshire and Wrexham,2021,290197
1145,Flintshire and Wrexham,2022,290713
1146,Powys,2017,132460
1147,Powys,2018,131967
1148,Powys,2019,131556
1149,Powys,2020,132199
1150,Powys,2021,133521
1151,Powys,2022,133891
1152,Scotland,2017,5424800
1153,Scotland,2018,5438100
1154,Scotland,2019,5463300
1155,Scotland,2020,5466000
1156,Scotland,2021,5479900
1157,Scotland,2022,5447698
1158,North Eastern Scotland,2017,490600
1159,North Eastern Scotland,2018,489030
1160,North Eastern Scotland,2019,489880
1161,North Eastern Scotland,2020,489840
1162,North Eastern Scotland,2021,490120
1163,North Eastern Scotland,2022,487240
1164,Aberdeen City and Aberdeenshire,2017,490600
1165,Aberdeen City and Aberdeenshire,2018,489030
1166,Aberdeen City and Aberdeenshire,2019,489880
1167,Aberdeen City and Aberdeenshire,2020,489840
1168,Aberdeen City and Aberdeenshire,2021,490120
1169,Aberdeen City and Aberdeenshire,2022,487240
1170,Highlands and Islands,2017,469524
1171,Highlands and Islands,2018,469365
1172,Highlands and Islands,2019,469441
1173,Highlands and Islands,2020,468396
1174,Highlands and Islands,2021,472899
1175,Highlands and Islands,2022,[u]
1176,"Caithness and Sutherland, and Ross and Cromarty",2017,93634
1177,"Caithness and Sutherland, and Ross and Cromarty",2018,93605
1178,"Caithness and Sutherland, and Ross and Cromarty",2019,93827
1179,"Caithness and Sutherland, and Ross and Cromarty",2020,93527
1180,"Caithness and Sutherland, and Ross and Cromarty",2021,94501
1181,"Caithness and Sutherland, and Ross and Cromarty",2022,[u]
1182,"Inverness and Nairn, Moray, Badenoch and Strathspey",2017,204289
1183,"Inverness and Nairn, Moray, Badenoch and Strathspey",2018,204376
1184,"Inverness and Nairn, Moray, Badenoch and Strathspey",2019,204768
1185,"Inverness and Nairn, Moray, Badenoch and Strathspey",2020,204812
1186,"Inverness and Nairn, Moray, Badenoch and Strathspey",2021,206504
1187,"Inverness and Nairn, Moray, Badenoch and Strathspey",2022,[u]
1188,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2017,99571
1189,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2018,99374
1190,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2019,98936
1191,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2020,98287
1192,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2021,99774
1193,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2022,[u]
1194,Na h-Eileanan Siar,2017,26950
1195,Na h-Eileanan Siar,2018,26830
1196,Na h-Eileanan Siar,2019,26720
1197,Na h-Eileanan Siar,2020,26500
1198,Na h-Eileanan Siar,2021,26640
1199,Na h-Eileanan Siar,2022,26483
1200,Orkney Islands,2017,22000
1201,Orkney Islands,2018,22190
1202,Orkney Islands,2019,22270
1203,Orkney Islands,2020,22400
1204,Orkney Islands,2021,22540
1205,Orkney Islands,2022,22408
1206,Shetland Islands,2017,23080
1207,Shetland Islands,2018,22990
1208,Shetland Islands,2019,22920
1209,Shetland Islands,2020,22870
1210,Shetland Islands,2021,22940
1211,Shetland Islands,2022,22805
1212,Eastern Scotland,2017,1982530
1213,Eastern Scotland,2018,1991830
1214,Eastern Scotland,2019,2005240
1215,Eastern Scotland,2020,2009100
1216,Eastern Scotland,2021,2014400
1217,Eastern Scotland,2022,2002564
1218,Angus and Dundee City,2017,264990
1219,Angus and Dundee City,2018,264790
1220,Angus and Dundee City,2019,265520
1221,Angus and Dundee City,2020,264640
1222,Angus and Dundee City,2021,263840
1223,Angus and Dundee City,2022,262290
1224,Clackmannanshire and Fife,2017,422860
1225,Clackmannanshire and Fife,2018,423310
1226,Clackmannanshire and Fife,2019,425090
1227,Clackmannanshire and Fife,2020,425420
1228,Clackmannanshire and Fife,2021,426270
1229,Clackmannanshire and Fife,2022,423765
1230,East Lothian and Midlothian,2017,194930
1231,East Lothian and Midlothian,2018,197130
1232,East Lothian and Midlothian,2019,199550
1233,East Lothian and Midlothian,2020,201050
1234,East Lothian and Midlothian,2021,204260
1235,East Lothian and Midlothian,2022,203060
1236,City of Edinburgh,2017,513210
1237,City of Edinburgh,2018,518500
1238,City of Edinburgh,2019,524930
1239,City of Edinburgh,2020,527620
1240,City of Edinburgh,2021,526470
1241,City of Edinburgh,2022,523376
1242,Falkirk,2017,160130
1243,Falkirk,2018,160340
1244,Falkirk,2019,160890
1245,Falkirk,2020,160560
1246,Falkirk,2021,160700
1247,Falkirk,2022,159756
1248,"Perth and Kinross, and Stirling",2017,245100
1249,"Perth and Kinross, and Stirling",2018,245620
1250,"Perth and Kinross, and Stirling",2019,246160
1251,"Perth and Kinross, and Stirling",2020,245990
1252,"Perth and Kinross, and Stirling",2021,247280
1253,"Perth and Kinross, and Stirling",2022,245827
1254,West Lothian,2017,181310
1255,West Lothian,2018,182140
1256,West Lothian,2019,183100
1257,West Lothian,2020,183820
1258,West Lothian,2021,185580
1259,West Lothian,2022,184490
1260,West Central Scotland,2017,1535234
1261,West Central Scotland,2018,1541026
1262,West Central Scotland,2019,1550311
1263,West Central Scotland,2020,1552095
1264,West Central Scotland,2021,1552274
1265,West Central Scotland,2022,[u]
1266,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2017,223904
1267,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2018,223326
1268,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2019,223391
1269,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2020,222805
1270,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2021,222524
1271,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2022,[u]
1272,Glasgow City,2017,621020
1273,Glasgow City,2018,626410
1274,Glasgow City,2019,633120
1275,Glasgow City,2020,635640
1276,Glasgow City,2021,635130
1277,Glasgow City,2022,631398
1278,"Inverclyde, East Renfrewshire, and Renfrewshire",2017,350350
1279,"Inverclyde, East Renfrewshire, and Renfrewshire",2018,351110
1280,"Inverclyde, East Renfrewshire, and Renfrewshire",2019,352430
1281,"Inverclyde, East Renfrewshire, and Renfrewshire",2020,352510
1282,"Inverclyde, East Renfrewshire, and Renfrewshire",2021,353220
1283,"Inverclyde, East Renfrewshire, and Renfrewshire",2022,351144
1284,North Lanarkshire,2017,339960
1285,North Lanarkshire,2018,340180
1286,North Lanarkshire,2019,341370
1287,North Lanarkshire,2020,341140
1288,North Lanarkshire,2021,341400
1289,North Lanarkshire,2022,339394
1290,Southern Scotland,2017,946912
1291,Southern Scotland,2018,946849
1292,Southern Scotland,2019,948428
1293,Southern Scotland,2020,946569
1294,Southern Scotland,2021,950207
1295,Southern Scotland,2022,[u]
1296,Scottish Borders,2017,115020
1297,Scottish Borders,2018,115270
1298,Scottish Borders,2019,115510
1299,Scottish Borders,2020,115240
1300,Scottish Borders,2021,116020
1301,Scottish Borders,2022,115338
1302,Dumfries and Galloway,2017,149200
1303,Dumfries and Galloway,2018,148790
1304,Dumfries and Galloway,2019,148860
1305,Dumfries and Galloway,2020,148290
1306,Dumfries and Galloway,2021,148790
1307,Dumfries and Galloway,2022,147916
1308,East Ayrshire and North Ayrshire mainland,2017,251842
1309,East Ayrshire and North Ayrshire mainland,2018,251219
1310,East Ayrshire and North Ayrshire mainland,2019,250918
1311,East Ayrshire and North Ayrshire mainland,2020,250079
1312,East Ayrshire and North Ayrshire mainland,2021,250317
1313,East Ayrshire and North Ayrshire mainland,2022,[u]
1314,South Ayrshire,2017,112680
1315,South Ayrshire,2018,112550
1316,South Ayrshire,2019,112610
1317,South Ayrshire,2020,112140
1318,South Ayrshire,2021,112450
1319,South Ayrshire,2022,111789
1320,South Lanarkshire,2017,318170
1321,South Lanarkshire,2018,319020
1322,South Lanarkshire,2019,320530
1323,South Lanarkshire,2020,320820
1324,South Lanarkshire,2021,322630
1325,South Lanarkshire,2022,320734
1326,Northern Ireland,2017,1875178
1327,Northern Ireland,2018,1886259
1328,Northern Ireland,2019,1898519
1329,Northern Ireland,2020,1900523
1330,Northern Ireland,2021,1904564
1331,Northern Ireland,2022,1910543
1332,Northern Ireland,2017,1875178
1333,Northern Ireland,2018,1886259
1334,Northern Ireland,2019,1898519
1335,Northern Ireland,2020,1900523
1336,Northern Ireland,2021,1904564
1337,Northern Ireland,2022,1910543
1338,Belfast,2017,341915
1339,Belfast,2018,343690
1340,Belfast,2019,345391
1341,Belfast,2020,344994
1342,Belfast,2021,344992
1343,Belfast,2022,348005
1344,"Armagh City, Banbridge and Craigavon",2017,212635
1345,"Armagh City, Banbridge and Craigavon",2018,214887
1346,"Armagh City, Banbridge and Craigavon",2019,217069
1347,"Armagh City, Banbridge and Craigavon",2020,218162
1348,"Armagh City, Banbridge and Craigavon",2021,219127
1349,"Armagh City, Banbridge and Craigavon",2022,220271
1350,"Newry, Mourne and Down",2017,179199
1351,"Newry, Mourne and Down",2018,180205
1352,"Newry, Mourne and Down",2019,181528
1353,"Newry, Mourne and Down",2020,181683
1354,"Newry, Mourne and Down",2021,182345
1355,"Newry, Mourne and Down",2022,182634
1356,Ards and North Down,2017,160931
1357,Ards and North Down,2018,161816
1358,Ards and North Down,2019,162807
1359,Ards and North Down,2020,163206
1360,Ards and North Down,2021,163827
1361,Ards and North Down,2022,164223
1362,Derry City and Strabane,2017,150589
1363,Derry City and Strabane,2018,150712
1364,Derry City and Strabane,2019,151236
1365,Derry City and Strabane,2020,150831
1366,Derry City and Strabane,2021,150834
1367,Derry City and Strabane,2022,150836
1368,Mid Ulster,2017,147002
1369,Mid Ulster,2018,148028
1370,Mid Ulster,2019,149230
1371,Mid Ulster,2020,149747
1372,Mid Ulster,2021,150598
1373,Mid Ulster,2022,151001
1374,Causeway Coast and Glens,2017,142296
1375,Causeway Coast and Glens,2018,142404
1376,Causeway Coast and Glens,2019,142776
1377,Causeway Coast and Glens,2020,142507
1378,Causeway Coast and Glens,2021,141664
1379,Causeway Coast and Glens,2022,141316
1380,Antrim and Newtownabbey,2017,142996
1381,Antrim and Newtownabbey,2018,143952
1382,Antrim and Newtownabbey,2019,145152
1383,Antrim and Newtownabbey,2020,145563
1384,Antrim and Newtownabbey,2021,145852
1385,Antrim and Newtownabbey,2022,146148
1386,Lisburn and Castlereagh,2017,143737
1387,Lisburn and Castlereagh,2018,145644
1388,Lisburn and Castlereagh,2019,147467
1389,Lisburn and Castlereagh,2020,148102
1390,Lisburn and Castlereagh,2021,149272
1391,Lisburn and Castlereagh,2022,149915
1392,Mid and East Antrim,2017,138019
1393,Mid and East Antrim,2018,138592
1394,Mid and East Antrim,2019,139066
1395,Mid and East Antrim,2020,139134
1396,Mid and East Antrim,2021,139127
1397,Mid and East Antrim,2022,139200
1398,Fermanagh and Omagh,2017,115859
1399,Fermanagh and Omagh,2018,116329
1400,Fermanagh and Omagh,2019,116797
1401,Fermanagh and Omagh,2020,116594
1402,Fermanagh and Omagh,2021,116926
1403,Fermanagh and Omagh,2022,116994
1404,Extra-Regio,2017,0
1405,Extra-Regio,2018,0
1406,Extra-Regio,2019,0
1407,Extra-Regio,2020,0
1408,Extra-Regio,2021,0
1409,Extra-Regio,2022,0
1410,United Kingdom less Extra-Regio,2017,66000892
1411,United Kingdom less Extra-Regio,2018,66332727
1412,United Kingdom less Extra-Regio,2019,66679607
1413,United Kingdom less Extra-Regio,2020,66796967
1414,United Kingdom less Extra-Regio,2021,67044988
1415,United Kingdom less Extra-Regio,2022,67596279
